names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,mean_expr_Emx1_Mutant (for_DEGs),mean_expr_Nestin_Mutant (for_DEGs)
Naaladl2,11.698584,2.1434207,1.2959789292704867e-31,1.2218489345162148e-27,0.967948717948718,1.0602493,2.23402
Gm11867,7.6887717,2.800628,1.4855401109997544e-14,1.5561857962784093e-11,0.6282051282051282,0.09984215,0.54902035
Gm28307,7.5670657,3.95735,3.8174936405707223e-14,3.2719390948455244e-11,0.5384615384615384,0.040597487,0.4968975
Tenm2,7.3673725,1.0529225,1.740237206171119e-13,1.171925455698665e-10,0.9871794871794872,2.9394379,3.641485
Unc5c,7.1605897,0.9986541,8.033068630024214e-13,4.4550453555216643e-10,0.9038461538461539,1.6804466,2.2749825
Frmd4a,7.015842,0.8196146,2.2856838930077218e-12,1.1971904301820444e-09,0.9358974358974359,2.197595,2.7163723
Galntl6,6.6483593,1.5666566,2.963777174121439e-11,1.10532074700956e-08,0.8910256410256411,0.83848155,1.5869676
Opcml,6.278514,0.8813489,3.4182458980649546e-10,9.478594802045998e-08,0.9743589743589743,2.6057663,3.18233
Adarb2,6.2578354,2.1032553,3.903570514803763e-10,1.0223017448213854e-07,0.5961538461538461,0.24953881,0.79653835
Grid1,6.1018624,0.63086355,1.0483965783302452e-09,2.246427941022171e-07,0.8269230769230769,1.4682999,1.8204794
Edil3,5.615628,1.0617815,1.958501046529005e-08,2.885116854168041e-06,0.8397435897435898,1.0674876,1.6060518
Chsy3,5.532324,0.9797149,3.160160636729665e-08,4.446864848221982e-06,0.8653846153846154,1.6198944,2.1963298
Arid1b,5.4744244,0.7072942,4.3893569327832046e-08,5.911836737468579e-06,0.8333333333333334,1.2574669,1.6309627
Slc8a1,5.431886,0.6850872,5.5761431574139016e-08,7.301649678902536e-06,0.9294871794871795,2.1499572,2.5797877
Tenm4,5.4123898,0.45734584,6.218916186667101e-08,8.031772850396908e-06,0.8397435897435898,1.940306,2.2175024
Hexb,5.2924557,1.1507707,1.2068469013566592e-07,1.3708617573482628e-05,0.7628205128205128,0.54098076,0.95301074
Fat3,5.2924557,1.1397595,1.2068469013566592e-07,1.3708617573482628e-05,0.8269230769230769,1.1873717,1.7951611
Robo2,5.2357383,0.62895024,1.6432675359390455e-07,1.7605370828219685e-05,0.8525641025641025,2.0777953,2.4685
Tenm3,5.2061977,1.2831441,1.9274918625976106e-07,2.0320451167712658e-05,0.8910256410256411,1.3957783,2.1274967
Slit2,5.1695676,1.2942687,2.3463609980627907e-07,2.378654998896343e-05,0.717948717948718,0.5373771,1.0097817
Grik1,5.158933,1.4327403,2.4836092064161775e-07,2.4391112081345545e-05,0.7692307692307693,0.86969906,1.5564905
Hivep3,5.069721,0.5997307,3.9839884186186497e-07,3.4778743343274654e-05,0.8333333333333334,1.2792593,1.5955416
Il1rapl2,5.0289555,1.1638576,4.931588701301002e-07,4.18874038521314e-05,0.7243589743589743,0.5548537,0.978999
Chrm3,4.9657393,0.9726713,6.843993089211523e-07,5.710191756202323e-05,0.8333333333333334,1.0112412,1.4889379
Pak5,4.8972054,0.61762697,9.720923718953002e-07,7.833236651477684e-05,0.7948717948717948,1.1658152,1.4790257
Mir99ahg,4.846396,1.0720829,1.2572451749090537e-06,9.665560716493071e-05,0.8846153846153846,1.0771016,1.6234802
Nrxn1,4.8192186,0.35712567,1.4412147913093197e-06,0.00010627124757483768,0.9935897435897436,3.6583848,3.9002593
Zbtb20,4.792042,1.1230291,1.6509268029087314e-06,0.00011881631983071388,0.8910256410256411,1.1278822,1.7138263
Nfia,4.759547,1.2866534,1.9402779788377916e-06,0.0001365144834662888,0.6923076923076923,0.4629476,0.8904901
Nrg3,4.756593,0.5741362,1.968874488702965e-06,0.0001366871631445326,1.0,3.861746,4.2527776
Pcdh15,4.717009,0.9154383,2.393371167833643e-06,0.000162114780667059,0.8910256410256411,1.6498903,2.1898515
Tshz2,4.7158275,1.7648089,2.4073047617085554e-06,0.000162114780667059,0.46153846153846156,0.17098834,0.49084884
Nxph1,4.6443396,1.4691241,3.4116591879904138e-06,0.00021733191097549743,0.46794871794871795,0.21278481,0.5046896
Fgf12,4.6212983,0.46142235,3.8134627867552467e-06,0.00023810150432800308,0.8910256410256411,2.5067084,2.8039703
Erbb4,4.5834866,1.1873311,4.572865458468268e-06,0.0002658726191273814,0.9038461538461539,1.5107368,2.201556
Cdh23,4.565762,3.9964848,4.976826690578318e-06,0.00028437286084104474,0.32051282051282054,0.02583776,0.3490867
Sema3c,4.5007734,1.9667482,6.770666874985127e-06,0.0003647648416991988,0.4230769230769231,0.08475684,0.29695004
Tmeff2,4.422196,0.6073535,9.770279475329162e-06,0.0005061219499637546,0.9166666666666666,2.0343957,2.4094107
Foxp1,4.4086075,0.7454726,1.0403744801148939e-05,0.000533078836876262,0.8205128205128205,0.93425024,1.2783577
Samd5,4.341255,1.5853901,1.416710153599624e-05,0.0006884919241307863,0.5128205128205128,0.204377,0.51908135
Sox2ot,4.2851286,1.4954748,1.8263356724353925e-05,0.0008566513790905911,0.46794871794871795,0.23675808,0.5614451
C130073E24Rik,4.262087,1.1184832,2.025265322148973e-05,0.0009452574978822038,0.6410256410256411,0.47866315,0.84712267
Kcnma1,4.232547,0.4008338,2.3105997088376545e-05,0.0010626504417034833,0.8974358974358975,2.6994352,2.9608262
St18,4.2024155,1.9552249,2.640818965098342e-05,0.0011856019620451032,0.3782051282051282,0.12638439,0.4202917
Grik4,4.181737,1.4094763,2.8929025914515095e-05,0.0012804828935307434,0.5512820512820513,0.23371957,0.53027874
Dab1,4.172284,0.5645512,3.0156109135105294e-05,0.0013162583191007994,0.9487179487179487,2.654554,3.0228322
Hecw2,4.1616497,0.42165402,3.159567448895775e-05,0.0013540182685540623,0.7948717948717948,1.4596893,1.691279
Ctnna2,4.1616497,0.4016068,3.159567448895775e-05,0.0013540182685540623,0.8974358974358975,2.574984,2.8346786
Pde4b,4.152197,0.6246714,3.292988956423171e-05,0.0013922107570025855,0.8269230769230769,1.9678931,2.350521
Dok6,4.13979,0.54153436,3.476241548244942e-05,0.0014437887804781195,0.8782051282051282,1.9358075,2.2649555
Dcc,4.1067047,0.69844913,4.013439710058012e-05,0.0016239789522071646,0.9166666666666666,2.2654128,2.7088954
Pip4k2a,4.0978427,1.2253526,4.1701889589229726e-05,0.00166595514850533,0.6474358974358975,0.34423578,0.67333335
Cdh8,4.0907526,0.7878454,4.299752650505339e-05,0.0017032801676035436,0.8141025641025641,1.0893037,1.4827394
Nlgn1,4.086026,0.59052074,4.3882401300650395e-05,0.0017310597467051546,0.9935897435897436,3.7048352,4.105853
Dpp10,4.0706654,0.6944013,4.687905787224851e-05,0.0018113760558178644,0.9807692307692307,2.9568987,3.4181635
Slc35f4,4.0387616,0.7131587,5.373411890996708e-05,0.0020183477015265723,0.7692307692307693,1.0644541,1.4143037
Runx1t1,4.0245824,0.8044791,5.707652622246837e-05,0.0021269465977289794,0.782051282051282,0.843579,1.1980236
Syt1,4.000359,0.31762853,6.324640804213926e-05,0.00232924662117691,0.9743589743589743,3.327173,3.540219
Ccser1,3.9832258,0.5236868,6.798610944918853e-05,0.0024619504410842564,0.8974358974358975,1.8539907,2.1681361
Cmss1,3.9666831,0.78761244,7.28797721191534e-05,0.002573447533855349,0.8461538461538461,0.8957548,1.2532209
Nr3c2,3.9465957,0.73400635,7.927024585127596e-05,0.0027679995477252954,0.8397435897435898,1.1118966,1.4800652
Pcdh9,3.939506,0.5615625,8.164955792139253e-05,0.002830117765010621,1.0,3.607403,3.9878669
Ralyl,3.9347796,0.5183314,8.327309592226995e-05,0.0028653238991064272,0.9294871794871795,2.2196772,2.5456154
Sik3,3.9188278,0.66345704,8.898067884721721e-05,0.003017661295581165,0.7692307692307693,0.7002626,0.958006
Chn2,3.9099655,1.5749564,9.230925853091219e-05,0.003097123449926833,0.47435897435897434,0.20079857,0.5083373
Hs6st3,3.9040575,0.7092609,9.45932747436619e-05,0.0031513264815662342,0.9294871794871795,2.2628102,2.7131796
Prickle2,3.894014,0.51507944,9.859903237176244e-05,0.0032277488791700565,0.8717948717948718,1.9980209,2.3134813
Plxdc2,3.8715632,1.1177384,0.00010813964711835122,0.00350357592107153,0.7435897435897436,0.657916,1.1051975
Hs3st4,3.8231168,0.9920266,0.0001317752749243542,0.004100255089065384,0.8012820512820513,1.1920834,1.7160633
Pdzrn3,3.816618,0.83897626,0.0001352933882586668,0.004141383326307502,0.782051282051282,1.1381835,1.567401
Zfp385b,3.8053927,0.8350287,0.00014157941060155107,0.004291995765760204,0.7692307692307693,1.1614865,1.5923061
Cracd,3.782942,0.91885686,0.00015498556657274432,0.0046240630431893465,0.6602564102564102,0.4179391,0.6835539
Man1a,3.7740798,1.0455432,0.00016059932611000934,0.004761416498632604,0.6410256410256411,0.5063589,0.8589853
Grm7,3.7539923,0.55589116,0.00017404015876264418,0.00500259334394576,0.9487179487179487,2.9003968,3.2679667
Kcnq5,3.7043645,0.53674096,0.00021192132788737302,0.005876453762712214,0.9230769230769231,2.1345143,2.469109
Maml3,3.6996381,1.0557387,0.00021590715907524494,0.005969421395194749,0.6346153846153846,0.3802935,0.673904
Asap1,3.693139,0.6762289,0.00022150271352098735,0.006088418609550638,0.8141025641025641,1.1341456,1.4746069
Qki,3.6452837,0.88453275,0.0002670969310521538,0.00711353069480143,0.8653846153846154,0.9585933,1.3784341
Magi2,3.6316953,0.52146065,0.0002815655903708207,0.0074567426573485885,0.9423076923076923,2.4492693,2.7841737
Gpc5,3.622833,0.9107571,0.00029139389839806035,0.007673915290773501,0.717948717948718,0.77472925,1.16304
Grm8,3.6068811,0.94954044,0.0003098993983027344,0.008093439133512964,0.7371794871794872,1.0837662,1.5638412
Cttnbp2nl,3.5980191,1.7332034,0.00032065003524684463,0.008305188275569371,0.42948717948717946,0.110360116,0.32780683
Dgki,3.5838397,0.22793894,0.0003385798624129068,0.008674268866382841,0.8141025641025641,1.7456307,1.8777869
5830416I19Rik,3.5726144,3.350864,0.0003534349997330368,0.008905902259208995,0.27564102564102566,0.02473851,0.22756962
Sgcd,3.5625706,0.72085965,0.0003672410053646709,0.009111442627837151,0.8397435897435898,1.7082127,2.133953
Nav2,3.5418923,0.37778836,0.0003972674928509833,0.009753744590101747,0.8397435897435898,1.687903,1.9062318
Elavl2,3.5147152,0.7118923,0.0004402257582592542,0.010697032084711981,0.7628205128205128,0.7958924,1.0960871
Grid2,3.5017176,0.6723139,0.0004622695353253468,0.011110772842688146,0.8653846153846154,1.4551004,1.8301663
Kcnn2,3.4952185,0.9332057,0.0004736736596630942,0.011305810793173802,0.6410256410256411,0.40355313,0.66746306
Brinp1,3.485175,0.39518064,0.0004918155394158546,0.011650343983951449,0.8269230769230769,1.6742611,1.9022272
Shb,3.447954,2.0098927,0.0005648502960750471,0.013116769929545673,0.2948717948717949,0.0525798,0.19674419
Tenm1,3.4385011,0.44225708,0.0005849442829721116,0.013550011547570191,0.8205128205128205,1.8027618,2.0648143
Egfem1,3.4272757,0.55089325,0.0006096697463554058,0.014015780673259173,0.8461538461538461,2.1948147,2.540673
Frmpd4,3.4266849,0.7014621,0.0006109976513268477,0.014015780673259173,0.8846153846153846,1.3845038,1.769313
Maml2,3.417232,1.5861063,0.0006326135297538004,0.014371759900045373,0.4230769230769231,0.18022148,0.46556723
Lrrtm3,3.4101422,0.5700702,0.0006492899938052308,0.014679870651308671,0.7564102564102564,1.0564073,1.331081
Shisa9,3.398917,0.55720705,0.000676532622766784,0.015183233491417043,0.7884615384615384,1.0617357,1.3305216
Olfm3,3.3924181,0.9998465,0.0006927865454652756,0.01544111477694236,0.44871794871794873,0.19697228,0.3614256
Lrp1b,3.3912365,0.8034153,0.000695780517971417,0.015471270574138015,0.9871794871794872,2.454778,2.9743013
Negr1,3.3823743,0.30610293,0.0007186215476695023,0.01582982231642072,0.9038461538461539,3.0233889,3.226221
Zfp804b,3.3811927,0.77056986,0.0007217191155936939,0.01586099725365349,0.5705128205128205,0.3988566,0.607653
Smyd3,3.3729215,0.64133227,0.0007437518475751024,0.01626655785734289,0.7948717948717948,0.8841977,1.1682922
Gm37529,3.367604,1.07143,0.0007582439027051769,0.01647171316752168,0.46153846153846156,0.13843831,0.271576
