names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,mean_expr_Emx1_Control (for_DEGs),mean_expr_Nestin_Control (for_DEGs)
P2ry12,-2.43588,-0.7396304,0.014855610757457975,0.04994208404439532,0.17672413793103448,0.18292673,0.11351937
Thap2,-2.43588,-0.45465603,0.014855610757457975,0.04994208404439532,0.33189655172413796,0.22529049,0.1692206
Rbbp5,-2.4363801,-0.8872289,0.014835086489836086,0.04990722114821654,0.2413793103448276,0.16033371,0.08985962
Cox19,-2.4363801,-1.155392,0.014835086489836086,0.04990722114821654,0.24568965517241378,0.16346134,0.076704964
Lrch2,-2.4373803,-0.3431006,0.014794112902678305,0.04982053094666932,0.44396551724137934,0.3934208,0.3220946
Snrpb,-2.4383805,-0.57949835,0.014753239077660336,0.049733998674005866,0.22413793103448276,0.16916926,0.11631235
Pex3,-2.4388804,-0.47769806,0.014732839512782,0.04968226840845525,0.34051724137931033,0.2348269,0.17402028
Timp4,-2.4388804,-1.5869517,0.014732839512782,0.04968226840845525,0.1336206896551724,0.12835088,0.044579145
Zmynd8,-2.4393806,-0.26426142,0.014712464812669196,0.04964762413612708,0.5560344827586207,0.6877579,0.60085356
Clk3,-2.4393806,-1.0109942,0.014712464812669196,0.04964762413612708,0.1939655172413793,0.1487341,0.07656605
Zhx3,-2.4393806,-0.6276576,0.014712464812669196,0.04964762413612708,0.3620689655172414,0.28056532,0.1903082
9330159F19Rik,-2.4393806,-0.4711472,0.014712464812669196,0.04964762413612708,0.5646551724137931,0.8070197,0.6394317
Nt5dc1,-2.4398806,-0.7086969,0.014692114952103572,0.04964712615303476,0.28879310344827586,0.20819058,0.13244535
Uba5,-2.4403808,-0.5498717,0.014671789905885222,0.04959549338887611,0.3103448275862069,0.20182459,0.14215873
Rprd2,-2.4403808,-0.35295412,0.014671789905885222,0.04959549338887611,0.49137931034482757,0.4400744,0.3596646
Ppip5k1,-2.4408808,-0.30608258,0.014651489648832504,0.04956095775912715,0.46551724137931033,0.3749218,0.31329215
Nrg4,-2.441381,-1.9656456,0.01463121415578208,0.04952645838544692,0.06896551724137931,0.09792771,0.025999648
Rnf10,-2.441381,-0.46471068,0.01463121415578208,0.04952645838544692,0.34051724137931033,0.27932346,0.20985295
Wdr82,-2.441881,-0.88118154,0.014610963401588982,0.04949199525762222,0.1939655172413793,0.16630338,0.09370134
Prpf19,-2.4423811,-0.92429423,0.014590737361126522,0.0494405199103322,0.1724137931034483,0.173462,0.09513767
Gm44724,-2.442881,-1.9946657,0.014570536009286315,0.04940612934504466,0.09051724137931035,0.12072309,0.031689472
Elapor1,-2.4433813,-0.34703764,0.014550359320978324,0.04935473848351171,0.47413793103448276,0.44231027,0.3628081
Eno2,-2.4438813,-0.32548693,0.014530207271130788,0.049303395745673335,0.40948275862068967,0.39785305,0.32925853
Mast1,-2.4438813,-0.35326344,0.014530207271130788,0.049303395745673335,0.38362068965517243,0.28271,0.22774129
Gm56864,-2.4443812,-1.7831131,0.014510079834690244,0.049269113911918856,0.05172413793103448,0.0898663,0.026953839
Fis1,-2.4443812,-0.460375,0.014510079834690244,0.049269113911918856,0.22413793103448276,0.18369539,0.13676482
Atraid,-2.4443812,-0.6851748,0.014510079834690244,0.049269113911918856,0.2801724137931034,0.22071168,0.1428826
Wwox,-2.4448814,-0.3788785,0.014489976986621552,0.049251892731151395,0.5560344827586207,0.82608056,0.6869825
Gm15813,-2.4453814,-1.9679538,0.014469898701907806,0.04920065867857273,0.07758620689655173,0.097191855,0.02575655
Pitpnb,-2.4453814,-0.3534943,0.014469898701907806,0.04920065867857273,0.33620689655172414,0.23858972,0.19136451
Acad10,-2.4463816,-2.5990942,0.014429815722569213,0.049115335371487316,0.08620689655172414,0.11297603,0.019547565
Tprgl,-2.4463816,-1.1870056,0.014429815722569213,0.049115335371487316,0.07327586206896551,0.13569331,0.06187668
Dcaf13,-2.4468818,-0.5361365,0.01440981097800205,0.04908123420435209,0.40948275862068967,0.31610528,0.22823572
Ptpn5,-2.4473817,-0.43926582,0.01438983069690524,0.049030168371084405,0.46551724137931033,0.44249615,0.34393653
Mmd,-2.4473817,-0.2687739,0.01438983069690524,0.049030168371084405,0.4267241379310345,0.3623293,0.30928347
Dnajc11,-2.4473817,-0.77750844,0.01438983069690524,0.049030168371084405,0.31896551724137934,0.2347992,0.14357433
Rnf168,-2.4473817,-0.70730484,0.01438983069690524,0.049030168371084405,0.21551724137931033,0.18619005,0.1180864
