names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,mean_expr_Emx1_Control (for_DEGs),mean_expr_Nestin_Control (for_DEGs)
Uqcrq,-3.5072477,-2.3004866,0.00045276734299043155,0.04764367644853769,0.23636363636363636,0.37033316,0.08708156
Slc25a3,-3.5114355,-1.2558064,0.00044569353892649793,0.0473683093171082,0.6,0.6544016,0.32709262
R3hdm1,-3.5449376,-0.70165765,0.00039270603261536694,0.042588568516695104,0.8,2.6931996,2.248357
Eif1,-3.553313,-1.2760231,0.00038041137030414714,0.04168053653188119,0.34545454545454546,0.51450115,0.24515736
Ly6h,-3.5658765,-1.1387289,0.0003626422671742709,0.04014752099508491,0.5636363636363636,0.73573977,0.4012449
Hectd2os,-3.5951908,-2.99027,0.0003241540318413113,0.03626430579378376,0.18181818181818182,0.27191213,0.03856981
Uqcr10,-3.6035662,-1.6812166,0.00031388072449374765,0.03626004717303859,0.2,0.37435317,0.13241488
Slc25a4,-3.6056602,-1.832181,0.00031136045323932856,0.03626004717303859,0.4727272727272727,0.6567838,0.23173225
Bex2,-3.6140356,-1.8976717,0.00030146761476992277,0.03559997566416377,0.32727272727272727,0.44479156,0.14005317
Atp5j2,-3.6286929,-1.5958319,0.0002848599946551521,0.034403318445397235,0.34545454545454546,0.45620978,0.17500106
Fkbp1a,-3.6286929,-1.3761244,0.0002848599946551521,0.034403318445397235,0.4909090909090909,0.5118011,0.22909507
5330438D12Rik,-3.6328804,-1.3393686,0.00028027479984951096,0.034403318445397235,0.4727272727272727,0.41952693,0.187302
Far1os,-3.676852,-3.3636622,0.00023612994453996012,0.0295245770655376,0.10909090909090909,0.21357737,0.022867559
Rpl21,-3.6852276,-2.8214154,0.00022849842810712217,0.02891049159431541,0.2909090909090909,0.5119075,0.09036128
Nptn,-3.6956968,-0.7392113,0.00021928444489718258,0.028078976871894656,0.8545454545454545,2.053028,1.6230527
Rplp2,-3.714542,-1.6129642,0.00020357219729852385,0.02638494284010624,0.36363636363636365,0.5002684,0.19246042
Rprml,-3.7271051,-2.6573534,0.0001936917015065112,0.025626145956873632,0.2545454545454545,0.38594177,0.07200257
Rpl18a,-3.7417622,-1.9861516,0.00018273434613057566,0.024583552287034915,0.3090909090909091,0.46896827,0.14065619
Cfl1,-3.7522316,-1.5377821,0.0001752673951065345,0.02388130609220832,0.36363636363636365,0.49718207,0.20035069
Bbln,-3.7920153,-1.9365823,0.00014942966899799564,0.0211751802948093,0.18181818181818182,0.34051028,0.10072607
Zranb2,-3.798297,-0.9171266,0.00014569368403794636,0.021102199705073033,0.7272727272727273,0.9687085,0.6235783
Rps28,-3.8087664,-2.5252874,0.00013966182588821103,0.020905998387886014,0.2545454545454545,0.38435724,0.07826613
Cox4i1,-3.8213296,-0.9969085,0.00013273407477260143,0.020444894879466782,0.6363636363636364,0.7452074,0.44123527
Rpl34,-3.8380806,-1.8528972,0.00012399973121483973,0.01954631617611289,0.2727272727272727,0.439966,0.14236256
Atp5g1,-3.8422685,-1.7266641,0.00012190239264856805,0.01954631617611289,0.2545454545454545,0.45972052,0.1624114
Snhg11,-3.8757706,-0.25233778,0.00010628781534738773,0.0179305857382863,0.9454545454545454,2.7096064,2.5473413
Aldoa,-3.884146,-1.1334183,0.00010269016965894857,0.017603082631214604,0.4727272727272727,0.6775528,0.36584222
