names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,mean_expr_Emx1_Control (for_DEGs),mean_expr_Nestin_Control (for_DEGs)
Tafa1,7.0791855,2.622383,1.4500438554320989e-12,4.76001062943177e-09,0.9090909090909091,0.25104448,1.0142139
Rgs7,6.894946,1.131385,5.388517310349427e-12,1.326652961808029e-08,1.0,1.4893105,2.1427584
Cmss1,6.170006,1.1775224,6.828755936546066e-10,6.724958846310566e-07,0.974025974025974,1.010673,1.5998966
Kazn,6.1159353,1.2338092,9.59921615298798e-10,8.593916424965966e-07,1.0,1.3422325,2.034719
Trpm3,5.9457145,2.1746173,2.7525334641636536e-09,2.0331962079154226e-06,0.8051948051948052,0.20978649,0.7196858
Naaladl2,5.937704,1.6017057,2.89040890645978e-09,2.0331962079154226e-06,0.974025974025974,0.80105937,1.5532267
Dlgap2,5.897652,0.911446,3.6871000143528904e-09,2.4207040627564844e-06,1.0,2.7544966,3.3560038
Adarb2,5.8776264,1.9916115,4.161912294982291e-09,2.5616570175616e-06,0.7792207792207793,0.19981727,0.63105315
Pknox2,5.8616056,1.517435,4.5841312431860885e-09,2.6555602636998e-06,0.948051948051948,0.69965494,1.3610271
Rbfox1,5.8375745,0.76851714,5.2966276425739735e-09,2.8978438346704715e-06,1.0,3.6658401,4.187915
Ctnna2,5.6212935,1.0333966,1.8953276257750336e-08,7.466074583453013e-06,1.0,2.6550436,3.3347244
Meg3,5.5011377,0.7170044,3.773481941714755e-08,1.161289067562716e-05,1.0,4.140627,4.6313643
Nalf1,5.4771066,0.81607634,4.323368080549044e-08,1.2901978441589996e-05,1.0,2.631172,3.1652355
4930578G10Rik,5.435052,1.7067034,5.478044657906605e-08,1.5866995232665956e-05,0.8311688311688312,0.3012637,0.7643322
Cacna2d1,5.3990054,1.738613,6.701141149389525e-08,1.7835902172753524e-05,0.8051948051948052,0.29510328,0.763384
Lingo2,5.378979,1.5734282,7.49093323390955e-08,1.8915566791677246e-05,0.935064935064935,0.71122235,1.4072424
Dab1,5.3529453,1.1888032,8.6533922452266e-08,2.1304651707747892e-05,1.0,1.9494271,2.6901596
Prickle2,5.2988753,1.1926616,1.1651815171827812e-07,2.7926352898748835e-05,0.961038961038961,0.97574943,1.5641649
