names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,mean_expr_Emx1_Mutant (for_DEGs),mean_expr_Nestin_Mutant (for_DEGs)
Tmem256,-2.7079391,-1.8621469,0.0067702441398009025,0.04965178310928415,0.09116022099447514,0.12946424,0.03731435
Glrb,-2.708221,-0.45159245,0.006764496973061147,0.049646219672495974,0.6988950276243094,0.694611,0.55007195
Guk1,-2.7090664,-1.893952,0.006747281771795743,0.04955641933056179,0.11049723756906077,0.1590348,0.045338284
Sdf4,-2.711321,-0.91615856,0.006701566919508529,0.04929341757793709,0.3011049723756906,0.26294702,0.14788283
Cadm4,-2.716958,-1.0244689,0.006588495526320203,0.04856941294662124,0.27624309392265195,0.24710166,0.12909448
Ufc1,-2.7175217,-1.1343095,0.006577283279728379,0.048522700667054726,0.17403314917127072,0.15819249,0.07517977
Atp2a2,-2.720622,-0.3621233,0.006515922086426992,0.048105679973383844,0.8370165745856354,1.0571437,0.90065986
Rnf126,-2.7237222,-1.3304007,0.006455076275986098,0.04772728016241728,0.09392265193370165,0.10847974,0.04455699
Nrbp2,-2.7242858,-0.66787636,0.006444068479800234,0.04768131562154047,0.3701657458563536,0.30359116,0.20152698
Prkacb,-2.7248497,-0.34984604,0.006433077574621327,0.047635407754934106,0.8121546961325967,0.9550743,0.8129618
Rps6kb2,-2.7321775,-0.8159958,0.006291722714849156,0.04672777944640209,0.2900552486187845,0.23601748,0.14080824
Usp19,-2.732741,-0.91297865,0.006280965939213409,0.04668272817554283,0.2292817679558011,0.21303935,0.118758425
Zbed6,-2.7335868,-0.5801339,0.0062648618132634835,0.04663268868032774,0.39779005524861877,0.30444652,0.21353346
Rnf166,-2.734714,-1.5522342,0.006243447466158581,0.04650807573593578,0.1132596685082873,0.12513806,0.04445175
Prrc2c,-2.7349958,-0.2514392,0.006238104186166598,0.0465030807945543,0.8812154696132597,1.1541089,1.0381296
B4galt2,-2.7378144,-1.3351048,0.006184897379812411,0.04617561794740669,0.12154696132596685,0.13879012,0.057336144
Tm9sf3,-2.7417603,-0.59358,0.006111094326242711,0.04572752686824621,0.569060773480663,0.53253764,0.3825654
Hook1,-2.7479608,-0.3450203,0.0059967197024207875,0.04493927295067145,0.6988950276243094,0.69499975,0.5823365
Pgm2l1,-2.7493699,-0.6190452,0.005970995977963796,0.0447802200246388,0.6712707182320442,0.8076131,0.59278834
Kmt5a,-2.7496517,-0.86207575,0.0059658631804384524,0.044775467851978494,0.287292817679558,0.25062642,0.14557305
Kcnh3,-2.7516246,-0.61796474,0.0059300447820811895,0.04457387135292447,0.43922651933701656,0.37202913,0.25747168
Tef,-2.7595162,-0.5243767,0.005788701278511031,0.043709525890547635,0.5580110497237569,0.53183,0.39750195
Zfp207,-2.7614892,-0.33942917,0.005753843391067706,0.04347930860129522,0.7707182320441989,0.880824,0.7498489
Ttyh3,-2.7626164,-1.0698019,0.00573400968965321,0.04339533416838688,0.2154696132596685,0.20574147,0.103299186
Atp6ap1,-2.7640257,-0.882807,0.00570930427479117,0.04324124516188868,0.4281767955801105,0.43015948,0.25579932
Pgk1,-2.7671258,-1.3387855,0.005655289975431326,0.042962935752284395,0.21823204419889503,0.26631433,0.1139001
Aifm3,-2.7682533,-0.7567935,0.0056357629887620045,0.04284729813915925,0.3314917127071823,0.29659212,0.18592514
Rer1,-2.7685351,-1.8785096,0.0056308907556733,0.04284298532145313,0.09116022099447514,0.13535991,0.03866376
Leng8,-2.7710717,-0.47809508,0.005587211361039736,0.04267377395630657,0.569060773480663,0.48584962,0.37094387
Pan2,-2.7716355,-1.0815184,0.005577546443181962,0.04263267450272418,0.14917127071823205,0.12589478,0.061467696
Jtb,-2.7744539,-1.6022984,0.005529447763997771,0.04229751279577696,0.12430939226519337,0.13478021,0.046426047
Slc39a10,-2.7772722,-0.5145022,0.005481723729327879,0.042029364063382944,0.7541436464088398,0.8743696,0.68218833
