names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,mean_expr_Emx1_Mutant (for_DEGs),mean_expr_Nestin_Mutant (for_DEGs)
Naaladl2,10.841315,1.6658365,2.1929514597542762e-27,7.419485772168635e-24,0.9959677419354839,1.246317,2.1816692
Hecw2,9.280793,1.1043382,1.6822139718374652e-20,4.2686179535375676e-17,0.9798387096774194,1.4415027,2.0716808
Gm28307,8.179018,4.315424,2.861672005210996e-16,4.1494244075559446e-13,0.5887096774193549,0.02171625,0.3626273
Csmd1,7.7830057,0.6541999,7.082140368860694e-15,5.990310395328005e-12,1.0,3.8431487,4.2887626
Tenm2,7.762281,0.78826994,8.341535883084164e-15,6.047613515236019e-12,1.0,3.5180783,4.051903
Auts2,7.6749005,0.8983624,1.6554686222576592e-14,1.0501879072447024e-11,0.9919354838709677,2.371805,2.9502885
Opcml,7.6614575,1.0984663,1.8383462020457168e-14,1.097600820633178e-11,1.0,2.699361,3.4242609
Celf2,7.5707164,0.6219152,3.711712432465328e-14,2.092993399417949e-11,1.0,4.188797,4.6145496
Asic2,7.4015574,0.98716563,1.3459661021773886e-13,5.692314973791873e-11,0.9838709677419355,2.1028275,2.724661
Nrg3,7.270487,0.58407277,3.58194166106872e-13,1.2118902619949168e-10,1.0,3.9215312,4.319762
Ntm,7.194309,0.85843205,6.277779500530123e-13,1.9912331853243982e-10,0.9959677419354839,2.501549,3.059121
Syt1,7.175825,0.5147085,7.187249848553191e-13,2.210623817054997e-10,1.0,3.4860897,3.8336291
Ksr2,7.030751,0.8773315,2.0542447424148308e-12,5.95730975300301e-10,0.9112903225806451,0.842776,1.2325487
Frmd4a,7.0105867,0.75465924,2.3732106976119907e-12,6.691135716878251e-10,0.9959677419354839,2.1472166,2.621559
Phactr1,6.7137175,0.6189631,1.8972723427912614e-11,5.067714284034553e-09,1.0,2.8416312,3.250105
Hivep3,6.658825,0.7514554,2.760254641746119e-11,6.83331332042027e-09,0.9637096774193549,1.3751197,1.7876916
Erbb4,6.537837,1.2472671,6.241494660122202e-11,1.4397993363690989e-08,0.907258064516129,0.78421617,1.3419744
Msra,6.5333557,0.81172115,6.431210017290174e-11,1.4505951483443392e-08,0.967741935483871,1.3257234,1.7669976
Ext1,6.5187926,0.879241,7.08756410342237e-11,1.5306122478667458e-08,0.9838709677419355,1.6545168,2.172671
Adarb2,6.4986277,1.4956245,8.105593592965993e-11,1.6790158156858128e-08,0.6895161290322581,0.31019515,0.7058458
Plcb1,6.453257,0.6636275,1.0947129769449918e-10,2.1786934737238562e-08,0.9959677419354839,2.429173,2.8561387
Pcdh9,6.431412,0.66537404,1.2642381968080896e-10,2.467695711077329e-08,1.0,3.6055114,4.0566235
Gm11867,6.4022856,1.605823,1.5306817160939037e-10,2.8771147071024302e-08,0.6370967741935484,0.16255428,0.4299944
Dgki,6.3647566,0.6632873,1.9559952028728395e-10,3.422991605027469e-08,0.9637096774193549,1.6068029,1.9897783
Setbp1,6.331709,0.7802394,2.424603802458121e-10,4.1315141020738376e-08,0.967741935483871,1.2446631,1.657284
Ctnna2,6.237607,0.5378238,4.443145828470502e-10,7.261616667597384e-08,0.9919354838709677,2.7273066,3.079537
Tenm4,6.177113,0.638697,6.528427562425198e-10,1.0194390732094733e-07,0.9919354838709677,2.1702602,2.5712821
Cacna2d3,6.159749,0.8080125,7.286026560767593e-10,1.120502569572592e-07,0.9919354838709677,1.9227458,2.4180682
Kctd16,6.145186,0.86204714,7.986998174595391e-10,1.2099706189872122e-07,0.9959677419354839,2.400397,2.9562764
Ppm1l,6.142385,0.92357326,8.129146811372504e-10,1.213394707873984e-07,0.9516129032258065,0.99374896,1.4415203
Tmtc1,6.124461,1.366417,9.09911188998835e-10,1.3384925461359675e-07,0.782258064516129,0.40555328,0.8283283
Csmd2,6.116059,0.71459407,9.591781803962195e-10,1.3908083615745182e-07,0.9717741935483871,1.4525831,1.8520598
Zmat4,6.1048565,0.9983548,1.0289314001249617e-09,1.4709371424321635e-07,0.967741935483871,1.2040887,1.7337987
Kcnma1,6.0292387,0.5549304,1.6473365530823884e-09,2.2595224342954382e-07,0.9919354838709677,2.6778216,3.040285
Unc5d,6.0241976,0.9403952,1.6995052882832249e-09,2.2999971568099643e-07,0.9879032258064516,1.9914396,2.5756664
Erc2,6.016356,0.64617383,1.7838716995810525e-09,2.3824075987825897e-07,0.9879032258064516,2.6203063,3.0415726
Pde8b,5.9754663,0.9014744,2.2943283655677023e-09,2.947776317786352e-07,0.9596774193548387,1.0408593,1.4864737
Fgf12,5.9328966,0.66358703,2.9763646169929414e-09,3.729642081787451e-07,0.9919354838709677,2.7567453,3.1930184
