names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,mean_expr_Emx1_Mutant (for_DEGs),mean_expr_Nestin_Mutant (for_DEGs)
Naaladl2,8.188913,1.6961802,2.6359545489803363e-16,1.2663125653301536e-12,1.0,1.2335382,2.1843746
Gm28307,5.802,4.9935927,6.5528539335485545e-09,8.035624813536252e-06,0.6142857142857143,0.019693952,0.49080625
Grm7,5.2069817,1.8441671,1.9193713334637915e-07,9.705957774694793e-05,0.9714285714285714,1.1158166,2.1243944
Hivep3,5.140868,0.981724,2.7347152319015444e-07,0.00012511973308623829,0.9,1.0737307,1.5694609
Nlgn1,5.1203504,1.0684347,3.049682347965738e-07,0.00013318794545115822,1.0,2.731585,3.437508
Hexb,4.965327,1.5417314,6.858555944962402e-07,0.00024406298340443985,0.8714285714285714,0.53604054,1.1200039
Tafa1,4.874136,1.886916,1.0928568550391948e-06,0.0003387151181682769,0.8428571428571429,0.6296293,1.445321
Kcnip4,4.8239813,1.6702445,1.4072069603967762e-06,0.00040971043865127956,1.0,1.9651498,3.0218332
Tenm2,4.7327905,1.1031343,2.2145390095855044e-06,0.0005599287053709874,1.0,3.2000206,3.9426274
Ptprd,4.6735168,1.4363406,2.960855517210128e-06,0.0007111974952338728,1.0,2.0327516,2.9421582
Nrg1,4.6370406,1.6272031,3.534331500719109e-06,0.0008073167193337988,0.9428571428571428,1.0694844,1.9332914
Mir99ahg,4.632481,0.7678847,3.6130952259943118e-06,0.0008073167193337988,1.0,2.0837922,2.5633166
Hs6st3,4.5823264,1.7004632,4.598319020250203e-06,0.0009817922032569766,0.9285714285714286,0.8333469,1.6540942
Ctnna2,4.5002546,0.62798417,6.787210018258517e-06,0.0013042302771085566,0.9571428571428572,2.606926,3.0158358
Hivep2,4.4501,0.8409324,8.583037550295425e-06,0.0015271449033933046,0.9714285714285714,1.5263243,2.0082884
Bcl11a,4.4501,1.527337,8.583037550295425e-06,0.0015271449033933046,0.8285714285714286,0.61589473,1.2395147
Anks1b,4.3976655,0.34294045,1.0942155873912598e-05,0.0017893737812250932,0.9571428571428572,2.657506,2.8802664
Gm49678,4.3725877,1.715022,1.2278237738567173e-05,0.0018725287014627523,0.8285714285714286,0.585606,1.2846882
Celf2,4.3634686,1.0676502,1.2801620205157845e-05,0.0019218432332993214,1.0,2.462855,3.1573238
Gm37529,4.2722783,2.6368053,1.934859412996967e-05,0.0025819623944548413,0.5142857142857142,0.05643664,0.30829558
Caln1,4.2221236,1.3916193,2.4201152154738727e-05,0.003100328932036396,0.7857142857142857,0.50893176,1.0082788
Schip1,4.217564,1.1692165,2.4695585695655485e-05,0.00312204193899813,0.9285714285714286,1.069771,1.6688356
Lingo2,4.1810875,1.1033146,2.901179758621274e-05,0.003620069496212104,0.9285714285714286,2.264322,2.9719386
Gm20754,4.108135,1.5695288,3.988665877908409e-05,0.004617241175294456,0.7857142857142857,0.54080856,1.1408042
Auts2,4.0762186,0.4899349,4.577400765751973e-05,0.005039286547063507,0.9428571428571428,2.476892,2.7920036
Nav3,4.0579805,0.6294516,4.949892224926975e-05,0.005226215878802019,1.0,2.4193652,2.8237011
Gm11867,4.0511413,1.9175234,5.096845857101732e-05,0.005322879890764505,0.5857142857142857,0.14064617,0.45139673
Pid1,3.9895875,1.1244729,6.618830944490745e-05,0.006420769915085862,0.8571428571428571,0.7266959,1.2026682
Ext1,3.9713492,1.0957482,7.146668746226543e-05,0.0066659019973239085,0.9,0.8918044,1.4052669
Ksr2,3.9690695,0.78116363,7.215381012923465e-05,0.0066659019973239085,0.9142857142857143,0.84571874,1.1893749
Dlg2,3.9394326,0.4136588,8.167452500119465e-05,0.0072660077426988726,1.0,3.6005604,3.8804562
Rbfox1,3.8619206,1.147091,0.00011249910067603887,0.009399055298220708,1.0,2.802832,3.5641112
Zeb2,3.839123,0.5934139,0.0001234745534911398,0.01005375855883789,0.9714285714285714,2.327368,2.7052395
Prkg1,3.8254445,1.6388382,0.00013053637369001518,0.010539440995072822,0.7428571428571429,0.5931242,1.2588357
Foxp1,3.743373,0.6978534,0.00018156644546720127,0.014068471032652175,0.9142857142857143,1.1737717,1.5312648
Kcnma1,3.7388134,0.59117025,0.00018489089926723446,0.014098664763171339,0.9571428571428572,1.7959783,2.148332
Dpp10,3.693218,1.0149397,0.000221433943504447,0.01649253743558703,1.0,2.4640903,3.12366
