names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,mean_expr_Emx1_Mutant (for_DEGs),mean_expr_Nestin_Mutant (for_DEGs)
Naaladl2,14.274776,1.9288207,3.142929827351673e-46,1.482834292544519e-42,0.9846743295019157,1.0570796,2.0980427
Hivep3,10.490149,1.2841192,9.587708144806572e-26,1.8093922810878963e-22,0.9501915708812261,1.0308344,1.6848962
Frmd4a,10.277537,0.7828276,8.897171868219044e-25,8.39537137485149e-22,0.9923371647509579,2.3148403,2.8152084
Mir99ahg,10.24737,1.0568552,1.2160777747924534e-24,1.0431736257219627e-21,0.9770114942528736,1.9661485,2.6232228
Adarb2,9.290618,2.2816017,1.5339489324749044e-20,7.2371710634166e-18,0.6973180076628352,0.21011955,0.7593568
Zbtb20,9.235311,1.7115482,2.5753821449213303e-20,1.157205043784651e-17,0.9233716475095786,0.8972698,1.7506621
Pde4b,8.656734,1.9369296,4.8547267406424616e-18,1.8323680609880907e-15,0.8352490421455939,0.67145807,1.5400013
Tafa1,8.523852,1.6608176,1.5433266353213938e-17,5.021665562376784e-15,0.8582375478927203,0.64664805,1.354451
Tmem178b,8.255215,0.7389458,1.5162947489724296e-16,4.100241694346877e-14,0.9770114942528736,1.6375872,2.0686421
Gm28307,8.179077,3.1727984,2.8602685569149867e-16,7.294457865689139e-14,0.5210727969348659,0.057394672,0.4270461
Zeb2,8.087496,0.83648735,6.090392340766073e-16,1.4367235531867168e-13,0.9885057471264368,1.9668019,2.483078
Kcnip4,8.056969,1.568815,7.82095825991803e-16,1.7571086223949173e-13,1.0,2.011636,3.0061967
Erc2,7.6148663,0.57372165,2.6396460341117478e-14,4.017370964173944e-12,0.9770114942528736,2.3614116,2.7276583
Nalf1,7.460795,0.6391603,8.600210307461469e-14,1.2679935072063503e-11,0.9961685823754789,2.8900394,3.3129792
Phactr1,7.4245214,0.9738638,1.1318830775057339e-13,1.618249805961228e-11,0.9578544061302682,1.5669966,2.133965
Fat3,7.4087195,1.3571141,1.275248472420065e-13,1.769594792022902e-11,0.8467432950191571,0.69810355,1.2773663
Tenm4,7.3631086,0.8449591,1.79676280393428e-13,2.4220362597034093e-11,0.9501915708812261,1.6890858,2.189353
Auts2,7.328272,0.8165409,2.331395695570174e-13,3.0554235810278e-11,0.9731800766283525,2.3004446,2.8221483
Hexb,7.283738,1.0313653,3.2469461129273256e-13,4.197011441312636e-11,0.8352490421455939,0.6376194,1.0378535
Ank2,7.2769146,0.38859177,3.415412768295419e-13,4.355112821842645e-11,0.9846743295019157,2.6414814,2.8938644
Nlgn1,7.247106,1.2333708,4.2577103105701246e-13,5.2862834855973283e-11,0.9961685823754789,2.378952,3.179146
