names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,mean_expr_Nestin_Control (for_DEGs),mean_expr_Nestin_Mutant (for_DEGs)
A830082K12Rik,7.7560644,1.2234845,8.76055028938718e-15,2.8623637978857713e-11,0.8167420814479638,0.45173255,0.84733355
Dab1,7.208675,0.4950952,5.649904530743139e-13,1.3845091052586063e-09,0.9932126696832579,3.1179366,3.4481745
Naaladl2,6.7839756,0.49964824,1.1691294231977938e-11,1.9099677676974624e-08,0.9886877828054299,1.7816839,2.0774772
Auts2,6.707884,0.49290866,1.974669632749001e-11,2.4194639675257134e-08,0.997737556561086,3.0647762,3.3928394
Asic2,6.496714,0.77279246,8.209324251830625e-11,8.940866257382644e-08,0.9864253393665159,2.6059542,3.1105149
Phactr1,6.1265774,0.5558254,8.978965067144174e-10,6.770139660626708e-07,0.997737556561086,2.8375893,3.2039545
Fgf12,6.0218773,0.56929034,1.7240577568535188e-09,1.2070867237627278e-06,0.995475113122172,2.4753907,2.84218
Tenm3,5.952274,0.9997241,2.644426868187031e-09,1.62004201012308e-06,0.9819004524886877,2.1176696,2.7485955
Ext1,5.8909283,0.70196444,3.840322300821843e-09,2.0987473902517527e-06,0.9819004524886877,1.7693324,2.1879733
Mir99ahg,5.8118873,0.60076684,6.177250502717699e-09,3.1868110225073093e-06,0.995475113122172,2.3535967,2.7371151
Syt1,5.7977304,0.30705905,6.721837807918395e-09,3.2943727096608053e-06,1.0,3.5357919,3.7430263
Hivep2,5.387188,0.4367485,7.156850915096987e-08,2.5982019507326174e-05,0.9932126696832579,2.2531898,2.5280943
Hivep3,5.33705,0.4724283,9.447096103547609e-08,3.1931184829990915e-05,0.9841628959276018,1.6401522,1.9119322
Anks1b,5.3305616,0.3371509,9.790951014971464e-08,3.19903006162501e-05,0.997737556561086,2.9387352,3.161338
2210408I21Rik,5.307262,0.5773582,1.112840732158642e-07,3.375689977798298e-05,0.9570135746606335,1.2101701,1.506856
Opcml,5.303428,0.37444437,1.1364799966062419e-07,3.375689977798298e-05,1.0,3.4760826,3.7285328
Unc5d,5.250046,0.6589584,1.520614247687865e-07,4.140294682176793e-05,0.9819004524886877,2.153368,2.566623
Thrb,5.2350044,0.6452703,1.6498098106045666e-07,4.356764361861334e-05,0.9796380090497737,1.4415115,1.799605
Celf2,5.2258615,0.34421098,1.733460621430239e-07,4.356764361861334e-05,1.0,3.9828477,4.217476
5730522E02Rik,5.1910596,0.6504477,2.0910044554951383e-07,4.8800061125627014e-05,0.9886877828054299,2.351446,2.7671316
Cacng3,5.12647,0.7773406,2.952248030780058e-07,6.57680345402412e-05,0.8257918552036199,0.69191426,0.99685484
Mtus2,5.0881295,0.6071125,3.616128081076955e-07,7.705497271894852e-05,0.9298642533936652,1.042039,1.3337042
C130071C03Rik,5.026784,0.53011197,4.987738893247216e-07,0.00010402088645023236,0.9751131221719457,1.4576868,1.7508634
Gm28307,4.9471526,1.0232135,7.53068461790495e-07,0.00015064442984633535,0.5475113122171946,0.20305696,0.3767832
Ptprd,4.942434,0.3029004,7.715324260127964e-07,0.00015125121679554861,1.0,4.3432612,4.5507517
Grip1,4.9153004,0.5768502,8.864641769169774e-07,0.0001703749384733375,0.9751131221719457,1.5486494,1.8758719
Pcdh9,4.8014574,0.3707737,1.5751493572385757e-06,0.00027570739285093785,1.0,4.128915,4.382257
Unc79,4.7875957,0.46221805,1.6879116568159912e-06,0.00029026158000193585,0.9705882352941176,1.4749207,1.730532
Rasgef1b,4.7663608,0.56636965,1.8758316680253195e-06,0.00031701555189627903,0.9570135746606335,1.3538264,1.6588283
Fat3,4.6622505,0.6142405,3.1276995700851696e-06,0.00047165709516884356,0.9773755656108597,1.9097722,2.2828102
Ccdc30,4.6389513,0.6139284,3.50181761331762e-06,0.0005123106902349151,0.834841628959276,0.6423704,0.86662996
Aopep,4.592647,0.5306944,4.376586107042668e-06,0.0006128471003033175,0.9434389140271493,1.189464,1.458947
Oxr1,4.579965,0.44480175,4.650532773660755e-06,0.0006315280760957868,0.9864253393665159,2.264021,2.5443714
Cntn3,4.572887,0.64352375,4.8104984256726725e-06,0.0006349263972492645,0.9547511312217195,1.4710552,1.8308438
Tenm2,4.5708222,0.4611551,4.858139134227182e-06,0.0006349263972492645,1.0,4.4275007,4.7438765
Apba1,4.5590253,0.55015343,5.139160654391562e-06,0.000662816483346659,0.9638009049773756,1.4202707,1.7218984
Trappc9,4.4900117,0.6527232,7.121928980379131e-06,0.0008626552165742689,0.755656108597285,0.5052502,0.7097687
Npas2,4.4855876,0.5808093,7.271324063450458e-06,0.0008626552165742689,0.8981900452488688,0.94464386,1.2092791
Ankrd33b,4.4811635,0.60518396,7.4237133484281145e-06,0.0008626552165742689,0.8235294117647058,0.66143745,0.886333
Ncam2,4.479394,0.7704749,7.485520165718965e-06,0.0008626552165742689,0.9457013574660633,1.8370006,2.3028688
Kcnma1,4.4779196,0.38983506,7.5374014212424505e-06,0.0008626552165742689,0.995475113122172,2.7954412,3.0510843
Kcnn2,4.443413,0.6296975,8.85430912039151e-06,0.000975167842675029,0.8190045248868778,0.72159636,0.9694672
Meg3,4.433385,0.3870636,9.276495911697031e-06,0.0010103134769606033,1.0,4.0635695,4.327806
Zbtb16,4.404187,0.5048846,1.0618130550731511e-05,0.0010856311082672245,0.9230769230769231,1.0855819,1.3304926
Lrrtm3,4.403892,0.6629987,1.0632583798577185e-05,0.0010856311082672245,0.8529411764705882,1.0603942,1.3834462
Runx1t1,4.355229,0.5330429,1.3292806851649587e-05,0.0012774126741163653,0.9592760180995475,1.3975457,1.6875886
Tenm4,4.349625,0.48711577,1.3637052006581899e-05,0.0012977707161991822,0.9909502262443439,2.309922,2.6187062
Hecw2,4.2953577,0.52976656,1.744117012964794e-05,0.0015829476815815656,0.9819004524886877,1.6871866,1.9958428
Grm7,4.280906,0.25118932,1.8613366244818855e-05,0.0016586201448337676,0.997737556561086,3.4585927,3.6276634
5031425E22Rik,4.278252,0.5334673,1.8836669785437772e-05,0.0016633967318636128,0.7669683257918553,0.60816294,0.79369587
Spred2,4.2416806,0.50778216,2.2185216082204472e-05,0.0018909520698936369,0.8733031674208145,0.88125384,1.1020753
Pde8b,4.2416806,0.48115495,2.2185216082204472e-05,0.0018909520698936369,0.8823529411764706,0.88587755,1.0950254
Nr2f1,4.2351923,0.9970097,2.2835625274009894e-05,0.0019068889361483128,0.579185520361991,0.24150798,0.43515596
Tafa2,4.2054043,0.45318282,2.6061580766309975e-05,0.0021112034270361186,0.9841628959276018,2.3085504,2.5955095
Nova2,4.172077,0.53747135,3.0183523953953262e-05,0.0023859588854568538,0.7375565610859729,0.48826724,0.64901674
Rgs7,4.1626396,0.44696948,3.14589812203548e-05,0.00242803884977888,0.9909502262443439,2.0905566,2.3668842
Trhde,4.1372757,0.6742337,3.5145396140179704e-05,0.0026705052167910193,0.9049773755656109,1.2533066,1.6079189
Ppp2r2b,4.1337366,0.40067077,3.569128292904134e-05,0.002691122732849717,0.9864253393665159,1.8912408,2.1316898
Atrnl1,4.129607,0.4426612,3.6338326633930505e-05,0.002692426746476892,0.9570135746606335,1.533113,1.7812145
Ppm1l,4.126658,0.5746861,3.68073030022346e-05,0.002692426746476892,0.8574660633484162,0.8701392,1.120405
Gm49797,4.114861,0.5707859,3.8741300048634336e-05,0.002812905356123806,0.753393665158371,0.5124249,0.6902349
Nyap2,4.1039486,0.52615124,4.061579527856772e-05,0.002910766207377079,0.920814479638009,1.0818018,1.337142
Satb2,4.063248,0.5077989,4.839453074410949e-05,0.0032941888219011196,0.9298642533936652,1.2318498,1.4932868
Cntnap2,4.048207,0.2900594,5.161154848767924e-05,0.00348508816340642,1.0,3.143206,3.3363707
Gramd1b,4.0458474,0.47059572,5.213420924875776e-05,0.00348508816340642,0.9298642533936652,1.050675,1.274465
Asap1,4.021663,0.53913665,5.77886828706414e-05,0.003776297796653513,0.995475113122172,1.8382694,2.1610887
Klf8,3.9942346,0.92440057,6.490358044783788e-05,0.0041854269444059665,0.5542986425339367,0.24264854,0.41950014
Frs2,3.9850917,0.657037,6.745405421569515e-05,0.004304084687210093,0.7036199095022625,0.39044967,0.5614256
Bach2,3.871249,0.52529585,0.00010827918267481809,0.006551558941843005,0.8914027149321267,0.94580483,1.183756
Msra,3.8618112,0.48255703,0.00011254957947990884,0.006768165509583229,0.995475113122172,1.6832129,1.9634358
Brinp3,3.8511937,0.8360238,0.00011754351843688054,0.007025375412916483,0.665158371040724,0.49307466,0.7597469
Kcnq5,3.8429356,0.49237168,0.0001215713847216495,0.007195849766245238,1.0,2.6139061,2.9337854
Dennd6a,3.8423457,0.4770425,0.00012186401358872777,0.007195849766245238,0.7375565610859729,0.51589286,0.66253847
Efcab6,3.794862,0.78591627,0.00014772558525484348,0.008210048462499444,0.6357466063348416,0.31459117,0.49312827
Kcnk10,3.7815902,0.5369833,0.00015582974964065604,0.008581141606616351,0.8031674208144797,0.62895447,0.8200046
Gm1976,3.7638943,0.54493326,0.00016728755421751036,0.009059406665414566,0.7782805429864253,0.56188,0.7419386
Kcnd2,3.7332218,0.26416016,0.0001890460620017011,0.010028115775567012,0.995475113122172,3.3580678,3.5353317
Mlip,3.7258484,0.4082538,0.00019465934211083518,0.010148587735182195,0.9615384615384616,1.43832,1.6610266
Hs6st3,3.7231941,0.3947358,0.00019671818707249714,0.010148587735182195,0.997737556561086,3.4525888,3.7185924
Gm11867,3.6931112,0.7820163,0.000221527064552737,0.011047982030343718,0.5904977375565611,0.26768142,0.423814
Cadps,3.6780698,0.3148392,0.00023500564211757847,0.011575504040384443,0.9909502262443439,2.3495538,2.5488994
Htr2c,3.652706,0.8510821,0.00025949142589962014,0.012591757211228103,0.6493212669683258,0.4579792,0.71677345
Mpped1,3.6488717,0.5352333,0.00026339453539034937,0.012718193280276869,0.746606334841629,0.553342,0.7280422
Fam219a,3.627047,0.5617706,0.00028668117602381445,0.013381185178025853,0.7579185520361991,0.5123438,0.68702376
Cpne7,3.6202636,0.6208916,0.0002943030695178175,0.01341748226704022,0.6447963800904978,0.42307723,0.59327114
Elovl6,3.61407,0.50726724,0.0003014275726267016,0.013615636252935156,0.7647058823529411,0.5473919,0.7108874
Gm57223,3.5624573,0.55352175,0.00036739964653451416,0.015934740421819946,0.7398190045248869,0.4997379,0.6685833
Cux1,3.5571487,0.5100929,0.0003749021218437948,0.016065139707649886,0.8190045248868778,0.7564091,0.9594085
Apba2,3.5182178,0.34566242,0.0004344555434115962,0.017968494668862724,0.9434389140271493,1.1434867,1.3127656
Ccdc148,3.5114346,0.55628747,0.00044569533845174706,0.018355906334050525,0.7081447963800905,0.50927496,0.68133926
Sgsm1,3.4943285,0.56090564,0.0004752557818608262,0.01941023822416591,0.7375565610859729,0.4808332,0.64753115
Rbfox1,3.483711,0.24672295,0.0004945130379204457,0.020112932770523687,1.0,3.7592027,3.9265473
Akt3,3.4786973,0.4296483,0.0005038574626508434,0.020408309292989948,0.9909502262443439,2.1281567,2.3948221
Pknox2,3.4633608,0.42085037,0.0005334723337737603,0.021343248227144482,0.8868778280542986,0.9213104,1.1068836
Plxdc2,3.4612963,0.39098546,0.0005375805887029196,0.021420182644170806,0.9049773755656109,1.2330894,1.4324176
Slc16a7,3.4197114,0.35703126,0.0006268762858607929,0.024002505289091765,0.8891402714932126,0.935555,1.0930848
Vrk2,3.4114532,1.1979614,0.0006461757971147777,0.02454967117565524,0.47737556561085975,0.18705459,0.38654816
Tbc1d30,3.3769464,0.60576284,0.0007329531388134724,0.0271691646054182,0.6855203619909502,0.41381618,0.5766323
A230006K03Rik,3.3763566,0.3984884,0.0007345264864758032,0.0271691646054182,0.9796380090497737,1.7256482,1.9579346
Cpne4,3.3734074,0.5928908,0.00074244038745879,0.027256182314123818,0.7647058823529411,0.69731444,0.92460114
Kctd16,3.3645594,0.43398637,0.0007666597588733632,0.027936055600285153,0.9932126696832579,2.649775,2.9320638
Upp2,3.3610203,0.3448346,0.0007765513041465612,0.02819168845646146,0.9276018099547512,1.142168,1.3109311
Kcnb2,3.3480434,0.5539464,0.0008138428206731775,0.029220832704170276,0.9932126696832579,2.5722723,2.9315915
Homer1,3.337426,0.41911903,0.0008455827499150932,0.0301581757595296,0.9140271493212669,1.0754447,1.2760212
Gfod1,3.3365412,0.47161782,0.0008482789120981268,0.0301581757595296,0.7941176470588235,0.6303393,0.79653084
Mical2,3.3318222,0.39871335,0.0008627935925761258,0.030453486956938735,0.9343891402714932,1.213926,1.4158684
Zfp385b,3.3105872,0.49968785,0.0009310042091288309,0.03224630126459647,0.834841628959276,1.003581,1.2364241
Dlgap3,3.3052785,0.51498044,0.0009488206116691378,0.03263277065116101,0.7579185520361991,0.54082584,0.7056594
Atp2b2,3.3002646,0.31535888,0.0009659367132760158,0.033105285536823445,0.9479638009049773,1.2476481,1.4081986
Ldb2,3.2890575,0.37232056,0.0010052352826997427,0.03396679320240517,0.9705882352941176,1.7982633,2.0179439
D430041D05Rik,3.2881725,0.39890915,0.0010084000022342282,0.03396679320240517,0.9524886877828054,1.3345289,1.5453184
Meis2,3.286108,0.42025244,0.0010158202480423741,0.0340995550387375,0.9728506787330317,1.6465099,1.8878791
Cacna2d3,3.2763753,0.3983934,0.0010514869851217105,0.034937882807332225,0.9751131221719457,2.1924112,2.4412458
Setbp1,3.2312512,0.47785056,0.0012324959948019592,0.03987104204966602,0.9886877828054299,1.8660222,2.1526337
Khdrbs2,3.207362,0.46710104,0.0013395839809109966,0.04208526340028714,0.9932126696832579,2.1877048,2.4799573
Marchf1,3.1805232,0.35323203,0.0014700936531698112,0.04545696526299839,0.997737556561086,2.8574517,3.089745
Dlgap1,3.1681361,0.4082658,0.0015341965322199416,0.04684795765987498,0.995475113122172,3.091505,3.363233
Dlg2,3.1634173,0.16425835,0.001559286600445052,0.047466233719137885,1.0,3.98854,4.1004
Kcnt2,3.1619427,0.46037593,0.00156720439403738,0.047559558731747366,0.8212669683257918,0.88779235,1.0876215
Bltp1,3.1466062,0.34069243,0.0016517722172389405,0.049512756187694476,0.9321266968325792,1.044012,1.2032303
Gm26652,3.084671,0.6430434,0.002037774221485939,0.057397307238520615,0.581447963800905,0.33668578,0.48557833
Gm40841,3.0826066,0.42209893,0.0020519628913830312,0.05746668646096135,0.8076923076923077,0.677184,0.8317945
Cacna2d1,3.0767078,0.3598373,0.0020930028588577827,0.05817541106321486,0.9886877828054299,2.3016067,2.5286815
Slc44a1,3.0734637,0.33878198,0.0021158944295296867,0.05858756270692088,0.8959276018099548,0.97159946,1.1239
Gm4258,3.0640259,0.33764127,0.00218379985245269,0.06012810717343053,0.9072398190045249,1.212566,1.3825277
Nck2,3.0584223,0.57787865,0.002225058038750526,0.06042682273709487,0.6470588235294118,0.37416545,0.5172045
Arpp21,3.0531135,0.37167236,0.002264802438200902,0.06110788688804369,0.9932126696832579,2.7232914,2.9658914
Clvs1,3.050754,0.37681627,0.002282674515908875,0.061133266680160635,0.7873303167420814,0.7332606,0.87745136
Prdm10,3.0306988,0.6059122,0.0024398846350773156,0.06396245064099387,0.6538461538461539,0.3624516,0.5097387
Pcdh7,3.0304039,0.53080773,0.002442268743559196,0.06396245064099387,0.9570135746606335,2.0684683,2.396716
Cap2,3.0159523,0.35360366,0.0025617350248825343,0.06573331600497015,0.8371040723981901,0.8291722,0.97460157
Lonrf1,3.0100539,0.65878856,0.0026120144693287544,0.06684847474767742,0.5927601809954751,0.28100875,0.41359955
Smim14,3.00504,0.36326078,0.0026554596004398153,0.06743216322153127,0.7941176470588235,0.666318,0.79670715
Atg3,2.9997313,0.63907796,0.002702179380637782,0.06791477510002959,0.5542986425339367,0.26528874,0.3873889
Cdkal1,2.9944224,0.36206004,0.0027496491170575493,0.06875525674846454,0.8416289592760181,0.75863034,0.89984435
Dym,2.9817405,0.34099653,0.002866148248963667,0.07058790235261775,0.8054298642533937,0.70440316,0.8308662
Cacnb4,2.9782014,0.47004002,0.0028994544464548545,0.07122920422092854,0.9909502262443439,2.0550494,2.344591
Tmem108,2.9681737,0.38354328,0.0029957495416125823,0.07214824817416839,0.920814479638009,1.2024248,1.3955531
Dcc,2.966994,0.5725959,0.0030072681503508078,0.07224814316112406,0.9230769230769231,1.964221,2.3140748
Atxn7l1,2.962865,0.39155614,0.0030479021630402175,0.072579063676118,0.8144796380090498,0.6608259,0.8012677
Usp29,2.962275,0.49706846,0.0030537477246950825,0.072579063676118,0.7352941176470589,0.64449126,0.8229863
Csmd1,2.9578512,0.31101996,0.0030979163920449655,0.07317054572246928,0.997737556561086,4.251543,4.4643583
Ralyl,2.9363213,0.38895547,0.003321301063664572,0.0756064075096613,0.995475113122172,2.7389727,2.9931843
Dpp6,2.9360263,0.21663229,0.0033244604811940442,0.0756064075096613,0.9864253393665159,2.1414602,2.2751021
Cntn4,2.9316025,0.56732064,0.003372181359374594,0.07651417056618003,0.832579185520362,1.1214076,1.402668
Hectd4,2.9180357,0.3071006,0.0035224406166753665,0.0790090684774644,0.8733031674208145,0.85428315,0.98202604
Fars2,2.9094827,0.33401906,0.0036202742547453543,0.08046695747168699,0.8619909502262444,0.80289,0.9372451
Cnnm1,2.903289,0.5601391,0.0036926550370122418,0.0818900558208009,0.6244343891402715,0.36818045,0.5045649
Pcnx,2.9015195,0.3252779,0.0037135755660044002,0.08216809864102738,0.8280542986425339,0.72028184,0.84235597
Map4,2.9003398,0.32438022,0.0037275823841199504,0.08229225794852196,0.832579185520362,0.79591286,0.9255143
Prr14l,2.891492,0.42459258,0.003834173805709498,0.08367373664906454,0.7737556561085973,0.5727599,0.7118328
Pde7b,2.890902,0.7708773,0.003841377422166807,0.08367373664906454,0.5316742081447964,0.33098465,0.512494
Sema3c,2.8894274,0.67487293,0.003859440291173954,0.08388078433278735,0.4638009049773756,0.1952857,0.29586515
Kdm7a,2.8861833,0.47838154,0.0038994505019415006,0.08437618944819114,0.6583710407239819,0.43833247,0.56895286
Agbl4,2.883234,0.34437376,0.003936149960435916,0.0845039021922815,0.9819004524886877,1.9920677,2.2013738
Hexb,2.8796947,0.23131044,0.00398060321174682,0.0847707926226669,0.830316742081448,0.8415075,0.9358528
N4bp2l2,2.8729115,0.3127368,0.004067081597367894,0.08566109965382748,0.8212669683257918,0.7436357,0.86318624
Dync1i1,2.871142,0.37129426,0.004089919877371073,0.08566109965382748,0.9660633484162896,1.4641894,1.6676471
Ccdc57,2.8328009,0.5024233,0.004614210958870314,0.09304316195526406,0.6628959276018099,0.40008566,0.52880025
Erbb4,2.832211,0.46202165,0.004622732082453948,0.09304316195526406,0.8733031674208145,1.0584264,1.2787565
Rbms3,2.8263125,0.7334337,0.0047087303702900846,0.09400198592583178,0.6085972850678733,0.43435302,0.6441614
Irf2,2.8177595,0.36821198,0.004836001480079129,0.09556952924946698,0.7375565610859729,0.54603434,0.6614467
Sntb2,2.8100913,0.39664006,0.004952744066596257,0.09689979509137028,0.7330316742081447,0.6217458,0.75846726
Fgf14,2.8044877,0.15022764,0.0050396613463687115,0.09840390541256197,0.997737556561086,3.5180323,3.619226
Sorbs2,2.803013,0.3987934,0.005062762362138164,0.09865844269120931,0.9615384615384616,1.7149045,1.9468874
Pfkp,2.8012435,0.34531647,0.005090609915321618,0.09900428251980656,0.7714932126696833,0.62478507,0.7431439
Cnnm2,2.7935753,0.49197942,0.00521288945933884,0.10098170450679704,0.6742081447963801,0.4231871,0.5544054
Ptpn1,2.7800086,0.5256278,0.005435747470618182,0.10384836112187747,0.5882352941176471,0.32157314,0.4356833
