names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,mean_expr_Nestin_Control (for_DEGs),mean_expr_Nestin_Mutant (for_DEGs)
Naaladl2,13.97234,1.354074,2.2994677527430827e-44,8.567816846720726e-41,0.9112903225806451,1.848801,2.6866198
Tenm2,11.715548,1.0634378,1.061031436369082e-31,1.3178010439704e-28,0.9556451612903226,2.2003825,2.8780017
Dpp10,10.533911,0.91240937,6.027726644073874e-26,5.614827368954813e-23,0.8931451612903226,1.974591,2.539748
Ptprd,10.306662,0.66469544,6.574559410502503e-25,4.899361672706465e-22,0.9818548387096774,2.7952135,3.2331312
Nrxn1,8.860867,0.5901107,7.939471792939986e-19,4.930411983415731e-16,0.9213709677419355,2.393478,2.7713776
Celf2,8.604063,0.45771265,7.694283031865948e-18,3.5836123220915655e-15,0.9818548387096774,3.0224657,3.3264065
Dlg2,8.382753,0.5575754,5.170378106579887e-17,2.1405365361240732e-14,0.9455645161290323,2.53892,2.8997674
Lsamp,8.350228,0.48202768,6.813100280885437e-17,2.5385611646579135e-14,0.969758064516129,2.913795,3.232377
Nrxn3,8.210796,0.56175685,2.197260811471854e-16,7.442721621403753e-14,0.8810483870967742,2.0984426,2.4474638
Nlgn1,7.9477706,0.5496872,1.8989816621970952e-15,5.89633806112198e-13,0.9193548387096774,2.3475962,2.6978545
Pcdh9,7.5916953,0.48912022,3.157466521996083e-14,9.04978481612108e-12,0.9616935483870968,2.7148156,3.0346255
Csmd1,7.4297786,0.4868458,1.0877944230239928e-13,2.895087157276712e-11,0.9213709677419355,2.388236,2.6990492
Adgrb3,7.3186293,0.5657178,2.505169892269202e-13,6.222842012396698e-11,0.8548387096774194,2.0041568,2.3515804
Nrg3,7.1618032,0.45719644,7.962259980171565e-13,1.8542112928824532e-10,0.9475806451612904,2.6144557,2.911277
Kcnip4,7.025624,0.31869867,2.1311208481422864e-12,4.670915458928328e-10,0.9717741935483871,3.0264575,3.2377057
Fgf14,6.6983967,0.524245,2.107186181657856e-11,3.738750339455796e-09,0.8326612903225806,1.9236498,2.241503
Cntnap2,6.502117,0.5209965,7.919744641302186e-11,1.2505239693728865e-08,0.8669354838709677,2.0721796,2.3943934
Cadm2,6.499572,0.43314126,8.054904794672377e-11,1.2505239693728865e-08,0.9213709677419355,2.3988008,2.6751943
Grm7,6.4681783,0.60580367,9.919149255590765e-11,1.4783500050532477e-08,0.7701612903225806,1.5874145,1.9346411
Lingo2,6.2120814,0.4740069,5.228735356209372e-10,7.493179975860047e-08,0.8165322580645161,1.8570799,2.1409302
Marchf1,6.0305085,0.6211175,1.6344457339419266e-09,2.099980967126765e-07,0.7439516129032258,1.5280384,1.8796278
Dcc,5.801563,0.75279486,6.5699716969011005e-09,8.159904847551167e-07,0.6693548387096774,1.1991957,1.5902601
Syt1,5.640636,0.36090675,1.6942316806291128e-08,1.912941588492144e-06,0.8649193548387096,2.14219,2.3660245
