names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,mean_expr_Nestin_Control (for_DEGs),mean_expr_Nestin_Mutant (for_DEGs)
Naaladl2,7.96008,0.78952336,1.7192773086067808e-15,1.5757176533381146e-11,0.9823788546255506,1.5284343,1.9798346
Mtus2,5.3001757,0.7547954,1.156914395607375e-07,9.63920039612872e-05,0.8325991189427313,0.721952,1.024613
Adgrb3,5.1369023,0.25895762,2.793039648413246e-07,0.00018284434555505282,1.0,3.9326303,4.108902
Grm3,4.873392,0.4854208,1.0969825633550673e-06,0.0005585469551749551,0.9823788546255506,1.8713282,2.1628237
Anks1b,4.6563835,0.26463827,3.218123398737555e-06,0.001399655566229804,1.0,3.4081457,3.5860147
Hivep3,4.3892565,0.3436113,1.1373898494698952e-05,0.0028173453974031323,0.9779735682819384,1.5778887,1.7713305
Kcnq5,4.356705,0.8204202,1.320350504854661e-05,0.002943002623352882,0.9295154185022027,1.2666602,1.7049842
Khdrbs2,3.8586187,0.42396918,0.00011402969304017507,0.010845880438558799,0.960352422907489,1.6857194,1.9312571
Grik2,3.8544853,0.27468997,0.00011597340785365655,0.010845880438558799,0.9911894273127754,2.1991167,2.3701031
Lrrc4c,3.830201,0.4037014,0.00012803868573864303,0.011504652497986895,0.9955947136563876,2.712278,2.9757667
Hecw2,3.7852492,0.27537587,0.0001535546771139802,0.013152603885510547,0.9911894273127754,1.9388535,2.1044133
Gm28307,3.7785323,1.5477564,0.00015775546403883824,0.01326448465977938,0.4581497797356828,0.14622758,0.3786776
Mlip,3.6906953,0.39505848,0.00022364182059114076,0.016664042973315488,0.8634361233480177,0.9930936,1.1740083
Pbx1,3.5434396,0.32154617,0.0003949437767557886,0.02314567495469066,1.0,2.8003826,3.011043
Syt16,3.5041714,0.26930383,0.00045803048721899394,0.024693231855071055,0.9779735682819384,1.6809512,1.8353994
Kctd16,3.4525027,0.5843336,0.0005554119640522521,0.02843771313150218,0.9647577092511013,1.5153743,1.8444104
Gabrb1,3.4256349,0.277123,0.0006133641420942171,0.030223023453190858,1.0,2.760592,2.9415627
Trhde,3.2897463,0.59392565,0.001002777637322265,0.038971389131082,0.7841409691629956,0.950323,1.2222005
Ldb2,3.2794125,0.40481576,0.0010402345354049737,0.03914435135882115,0.9691629955947136,1.5757586,1.80442
E130307A14Rik,3.2675288,0.41175163,0.0010849085670097344,0.04041945941725291,0.8325991189427313,0.7985923,0.9655281
Slc35f4,3.2623618,0.46483228,0.0011048801004825601,0.04098066854272247,0.9295154185022027,1.2822,1.5249041
Pcdh15,3.174525,0.50213957,0.001500819305764691,0.04809443684382305,0.9691629955947136,2.2063823,2.5215416
Cacna2d1,3.163158,0.25317907,0.0015606763342501163,0.04898492672398053,0.9955947136563876,2.0608644,2.215645
