names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,mean_expr_Nestin_Control (for_DEGs),mean_expr_Nestin_Mutant (for_DEGs)
Rbfox1,7.2162056,1.0745469,5.345818618884101e-13,2.1923202156043695e-09,0.9705882352941176,3.1968265,3.9199352
Meg3,6.9402614,1.3989973,3.913753554701115e-12,8.025151663914636e-09,0.9313725490196079,2.6904833,3.6171608
Ccser1,6.5803623,1.3841746,4.6930375845788884e-11,7.698458853743208e-08,0.9019607843137255,1.6821915,2.5197763
Dcc,6.470375,1.4425673,9.776006708880568e-11,1.3363801171039736e-07,0.8921568627450981,1.7060055,2.5839977
Ptprk,6.443041,2.0837545,1.171032152609681e-10,1.372115102243515e-07,0.7156862745098039,0.6074647,1.5135674
Fgf12,6.08184,1.4261223,1.1881109599572696e-09,1.1790242475943402e-06,0.9019607843137255,1.7803402,2.6569753
Nrg3,6.068173,0.6202915,1.2937354582234896e-09,1.1790242475943402e-06,0.9803921568627451,3.5394115,3.9591687
Opcml,5.824769,0.85727113,5.7191585511444365e-09,4.281061598829818e-06,0.9509803921568627,2.7863576,3.352566
Mir99ahg,5.8241186,1.4785477,5.741487147906364e-09,4.281061598829818e-06,0.8333333333333334,1.2644271,2.089532
Dlg2,5.79353,0.69552726,6.892208387629952e-09,4.710824432945072e-06,0.9901960784313726,3.4945204,3.9649425
Celf2,5.7720532,0.8044251,7.831128840827508e-09,4.9408399040359406e-06,1.0,3.6074247,4.1533494
Pcdh9,5.678987,0.6520279,1.3549457360491106e-08,7.637695686730184e-06,0.9901960784313726,3.55612,3.9976368
Dpp10,5.673781,1.0043247,1.3967987722622868e-08,7.637695686730184e-06,0.9901960784313726,2.8551316,3.5219913
Asic2,5.6028423,1.4596839,2.108651478364707e-08,1.0809474640967078e-05,0.7745098039215687,1.3598284,2.1932259
Gm26871,5.5052204,1.2855263,3.687067056490098e-08,1.7789014116077517e-05,0.7941176470588235,1.6230038,2.3903503
Anks1b,5.4804897,1.0318106,4.241506074837262e-08,1.9327129347675125e-05,0.9117647058823529,2.2791724,2.9406517
Dab1,5.4564095,1.2294496,4.8585877213838754e-08,2.0973756047784495e-05,0.8921568627450981,1.9051192,2.668103
Slc8a1,5.44079,1.0538343,5.3044816584441706e-08,2.1566844010541103e-05,0.8431372549019608,1.8166854,2.4591262
Ctnna2,5.433631,0.95054424,5.5218693516381756e-08,2.1566844010541103e-05,0.8627450980392157,1.9230596,2.5087855
Snhg11,5.395233,1.1858524,6.843463574910674e-08,2.5513676473371525e-05,0.8529411764705882,1.7356774,2.453627
Gramd1b,5.367248,1.5072048,7.994700067328049e-08,2.832481849306044e-05,0.696078431372549,0.5727112,1.1623733
Grm7,5.36074,0.9320919,8.288169273755798e-08,2.832481849306044e-05,0.9313725490196079,2.500051,3.1062832
Slit2,5.2767854,1.651416,1.314697534840055e-07,4.3132596723032525e-05,0.6862745098039216,0.60479075,1.2837373
Nlgn1,5.2344823,0.72140735,1.6544772475534123e-07,5.025934216456699e-05,0.9901960784313726,3.3034897,3.788962
Enah,5.1817665,1.4638861,2.197939864484969e-07,6.438393845894898e-05,0.696078431372549,0.57698023,1.1484926
Ralyl,5.094558,1.1931171,3.49555996038029e-07,9.886407860358324e-05,0.8431372549019608,1.746677,2.470433
Adam23,5.0815415,1.4472463,3.7438388894453265e-07,0.00010235655523743523,0.6666666666666666,0.5050066,1.026595
Cntnap5c,5.042493,1.6217928,4.59505753193824e-07,0.00012157632863534661,0.6568627450980392,0.5119014,1.1175113
Xkr4,5.021016,1.0113349,5.13988448916409e-07,0.00013174166431288706,0.8725490196078431,1.949177,2.5757244
Arhgap39,5.0138574,1.4255612,5.334959030021534e-07,0.00013259798170980793,0.6274509803921569,0.39670956,0.8363684
Syt16,5.0021424,1.469548,5.66966357856443e-07,0.00013677229609231016,0.6666666666666666,0.55052173,1.1095982
6530403H02Rik,4.989777,1.792627,6.044899270664469e-07,0.0001416578966228285,0.6176470588235294,0.5300412,1.2301255
Nkain2,4.924045,0.618036,8.477328368179391e-07,0.0001931417979883538,0.9313725490196079,3.059384,3.4712903
Chsy3,4.9181876,1.3781056,8.734909399722192e-07,0.00019363169431492277,0.7450980392156863,0.9712314,1.6612532
Tmem108,4.9006157,1.4669583,9.553669437587938e-07,0.0001999114414866636,0.6568627450980392,0.48668283,1.0054082
Kcnn2,4.894108,1.4811947,9.875272956568722e-07,0.0001999114414866636,0.6372549019607843,0.4666353,0.9783481
Lrrtm4,4.890203,0.7608796,1.0073210671863428e-06,0.0001999114414866636,0.9607843137254902,3.1384714,3.6479466
Lingo2,4.8856473,0.84707415,1.0308966007333341e-06,0.0001999114414866636,0.9313725490196079,2.4585292,3.0069392
Adgrb3,4.8843455,0.6968376,1.0377294316258938e-06,0.0001999114414866636,0.9509803921568627,2.92646,3.3887293
A830082K12Rik,4.8823934,1.5599945,1.0480604710956517e-06,0.0001999114414866636,0.6078431372549019,0.40448502,0.9041901
A830018L16Rik,4.8635197,1.5334904,1.153166187726659e-06,0.00021496066072122859,0.6568627450980392,0.78017205,1.4864283
Pex5l,4.8498526,1.3302623,1.2355330848152671e-06,0.00022394361795977915,0.7745098039215687,1.1867722,1.9057124
Hdac9,4.810153,1.3989335,1.5081483299198232e-06,0.0002631879277021785,0.7352941176470589,0.9380073,1.629306
Galnt18,4.761342,1.3307616,1.9230977789478443e-06,0.0003286093329777129,0.6666666666666666,0.55793667,1.0574882
Enox1,4.7515798,1.4234321,2.0183340311522716e-06,0.00033784440252063126,0.7352941176470589,0.93521637,1.6392798
Hivep3,4.744421,1.3959095,2.091036286627069e-06,0.0003395461802567698,0.7647058823529411,0.8752055,1.5438321
Ptprr,4.7424684,1.6059369,2.1112966585095415e-06,0.0003395461802567698,0.5882352941176471,0.36955494,0.8590488
Zmat4,4.7209916,1.764385,2.3469752038544293e-06,0.0003564794559632228,0.5686274509803921,0.36803198,0.9208462
Csmd1,4.691705,0.5177409,2.7093740866710505e-06,0.0003923531337787793,0.9607843137254902,3.5087001,3.8585026
Psme4,4.6904035,1.3828602,2.7266677182870545e-06,0.0003923531337787793,0.6372549019607843,0.47742873,0.9538973
Myo16,4.681943,1.5745043,2.841685539077957e-06,0.0004018535308882311,0.5490196078431373,0.29594344,0.70592517
Zfp385b,4.6702285,1.5216528,3.008651102471192e-06,0.00041099760603477024,0.6764705882352942,0.65072685,1.2899752
Nav3,4.6689267,0.93346524,3.0277734279609486e-06,0.00041099760603477024,0.9019607843137255,2.233623,2.8282626
Cdkal1,4.666974,1.4130768,3.0566756849696395e-06,0.00041099760603477024,0.5980392156862745,0.3186147,0.69276255
Akap8l,4.6546087,1.3127354,3.2459631851906393e-06,0.0004294095168537681,0.6274509803921569,0.37198353,0.7511177
Eml6,4.6272745,1.3376282,3.705088673153783e-06,0.00047195108333737435,0.7058823529411765,0.81309354,1.428278
Arhgap26,4.626624,1.2870613,3.7167450725810624e-06,0.00047195108333737435,0.6862745098039216,0.6069899,1.111005
Upp2,4.6253223,1.2698892,3.7401634256192797e-06,0.00047195108333737435,0.6568627450980392,0.62145513,1.1242062
Adcy8,4.6214175,1.6751095,3.8112702273970627e-06,0.00047363694553198045,0.5392156862745098,0.26418737,0.6758006
Rit2,4.6142583,1.3583627,3.945011882530606e-06,0.0004829401113509855,0.6666666666666666,0.5381365,1.0394311
Tmcc1,4.598639,1.2279971,4.252599308947918e-06,0.0005077054095293937,0.7058823529411765,0.7202043,1.2444153
Plcl2,4.5966864,1.3083191,4.2926260993829894e-06,0.0005077054095293937,0.6666666666666666,0.50036424,0.95860827
Hcn1,4.594734,1.2194881,4.3330137365346935e-06,0.0005077054095293937,0.803921568627451,1.2836553,1.9568945
Unc79,4.5830197,1.3433361,4.58309258324059e-06,0.0005286318754461182,0.6764705882352942,0.74517405,1.3372056
Unc5d,4.580416,1.350665,4.640513902965192e-06,0.0005286318754461182,0.7156862745098039,0.8575048,1.4954724
Tra2a,4.570003,1.2999976,4.87716612055032e-06,0.0005479796783664895,0.6568627450980392,0.47437632,0.91414267
Desi2,4.564146,1.3751583,5.015317875733396e-06,0.0005501789377583393,0.5784313725490197,0.25067917,0.5533186
Hnrnpll,4.563495,1.4251243,5.030897382574427e-06,0.0005501789377583393,0.5294117647058824,0.20686615,0.48066407
Pvt1,4.5582886,1.5451368,5.15721272662123e-06,0.0005565718261019385,0.5392156862745098,0.23680341,0.5764736
Slc35f4,4.5543838,1.4371556,5.253936308449395e-06,0.0005596465662584667,0.6176470588235294,0.54505855,1.0860046
Ntm,4.5257483,1.1016918,6.018224886109625e-06,0.0006267547618571615,0.8823529411764706,1.6794432,2.3381784
5730522E02Rik,4.5250974,1.2131481,6.036774711864882e-06,0.0006267547618571615,0.7549019607843137,1.1347334,1.7737117
Eefsec,4.51924,1.5465055,6.206203572897567e-06,0.000630370020884423,0.5098039215686274,0.17881888,0.45232388
Zmiz1os1,4.518589,1.9885937,6.22530744838311e-06,0.000630370020884423,0.4411764705882353,0.07790486,0.27878794
Cpne7,4.5133824,1.7623634,6.380177188344902e-06,0.0006363169182782149,0.5098039215686274,0.24152185,0.65585566
Iqcj,4.5114303,1.7675158,6.43919827079881e-06,0.0006363169182782149,0.5,0.19338405,0.546028
Zfp804a,4.5029697,1.5183635,6.701046900879259e-06,0.0006469703499257913,0.6274509803921569,0.57078075,1.1646433
