names,scores,logfoldchanges,pvals,pvals_adj
Naaladl2,18.292019,0.9624052,1.3730204545397557e-65,7.773355303376827e-62
Tenm2,17.052385,0.7247555,5.815457676938645e-59,2.194947575865876e-55
Kctd16,16.242315,0.56279784,5.501725023472039e-54,1.5574008110193476e-50
Dab1,15.115906,0.3083396,2.752335960112551e-47,5.194116679392402e-44
Dpp10,14.224806,0.85506076,2.373038102670932e-42,2.985545604060329e-39
Mir99ahg,13.948051,0.7486208,1.1185616255876228e-40,1.2665473286528652e-37
Frmpd4,13.741136,0.6321427,3.388178200747862e-40,3.4876674333698217e-37
Dcc,12.168368,0.692989,3.25389371357114e-32,2.046879917709223e-29
Gm28307,11.412254,1.4915109,4.440643369774317e-28,2.0950585364981077e-25
Negr1,11.075795,0.2978548,4.347800956489849e-27,1.9692060092133828e-24
Tenm4,10.968472,1.1045121,1.8971291126374424e-26,7.671854622283486e-24
Cdh10,10.957117,1.0715705,2.3879817227856922e-26,9.323833464518066e-24
Pdzrn4,10.33073,1.0640298,7.404318194762067e-24,2.2659214843051592e-21
Grik4,10.313664,0.6612136,7.152237871289532e-24,2.2495774837947605e-21
Nlgn1,9.500891,0.22461767,1.0353324071391763e-20,2.354310670216001e-18
Adcy8,9.4942,0.9633947,1.6823169756466006e-20,3.527569465786381e-18
Ncam2,9.190029,0.37293932,1.7765509453893644e-19,3.04786156888542e-17
Car10,9.175448,0.8407175,2.2387146807401995e-19,3.7277891661796e-17
Meg3,8.955592,0.30970985,1.4923301278891219e-18,2.279507599474544e-16
Mlip,8.947594,0.71696556,1.7305383612338404e-18,2.57827445582247e-16
Rbfox1,8.855773,0.17747864,3.3447015181114356e-18,4.855391703791768e-16
Trpm3,8.848687,0.4219481,3.465933200723007e-18,4.967691345795773e-16
St6galnac3,8.830686,0.446289,3.84666961066742e-18,5.444480000198399e-16
Cntnap2,8.811133,0.48208377,4.296352325141265e-18,6.005876219453647e-16
Pde1a,8.809423,0.7949242,5.2679924529437466e-18,7.186684162009885e-16
Pam,8.641838,0.6505015,2.168631970365813e-17,2.7590359326350675e-15
Galntl6,8.4965725,0.65454704,6.911809001600117e-17,8.068290033517333e-15
Ank2,8.41412,0.22046626,1.2222278757037185e-16,1.3830753084864491e-14
Prr16,8.289352,0.8544899,3.571252618448397e-16,3.814838999876528e-14
Msra,8.207771,0.40041676,6.528160112017842e-16,6.781500637465873e-14
Snhg11,8.175782,0.61921906,8.016500981401693e-16,8.177553208325348e-14
Gria4,7.937339,0.63835776,5.161562269369397e-15,4.87036413133914e-13
Auts2,7.923647,0.18835403,5.582668852951916e-15,5.181357329670045e-13
Mgat4c,7.8914886,0.7560945,8.11570222661438e-15,7.293182246980526e-13
Ano3,7.843634,0.39414966,9.871483978084606e-15,8.664714192546667e-13
Arpp21,7.5617547,0.29381734,9.109931189692744e-14,7.213409151111255e-12
Xkr4,7.5256667,0.28997427,1.1049513015003978e-13,8.511131691761228e-12
Zfpm2,7.475579,0.23050678,1.488054013214185e-13,1.1232823727749478e-11
Shisa9,7.475395,0.3320202,1.6548510769731776e-13,1.2409191221567742e-11
Gm11867,7.406354,0.9280053,3.043126747901073e-13,2.1535827604052406e-11
Gm26871,7.356714,0.27001187,3.693276338419467e-13,2.5612147428791212e-11
Edil3,7.352914,0.4528466,3.6132145354914373e-13,2.525458529961083e-11
Slit2,7.3291984,0.7827605,4.824900070351276e-13,3.251925208130208e-11
ENSMUSG00000121513,7.265891,0.4147827,7.072537051736133e-13,4.6559498277214085e-11
Cadm1,7.213887,0.29934007,1.0729898420309678e-12,6.825541562537442e-11
Ptprd,7.1979313,0.1970884,1.1077170749324747e-12,7.007084044391292e-11
Celf2,7.182649,0.105090834,1.2221362988531524e-12,7.60343368786497e-11
Erbb4,7.155792,0.5973203,1.6494398014938314e-12,9.727399412663881e-11
Tafa1,7.1472597,0.4068103,1.5664452801119872e-12,9.434499950376613e-11
Prkg1,7.1428947,0.25835037,1.587327822053895e-12,9.459638383745396e-11
Hcn1,7.1237664,0.6789161,2.049612549195856e-12,1.160388144727234e-10
Unc5c,7.070418,0.5181348,2.7848520310703616e-12,1.5381892462346197e-10
Fgf14,7.044762,0.15706147,3.262310153474029e-12,1.7759200897974244e-10
Cntnap5a,6.972915,0.33047783,5.117040864212148e-12,2.7590597002606743e-10
Csmd1,6.8928847,0.114625566,9.007311744786189e-12,4.6149226645345713e-10
Schip1,6.859764,0.33455437,1.111968738284973e-11,5.57116018743396e-10
Cdh13,6.6449203,0.61291283,4.854686436555769e-11,2.2165167145613292e-09
