Cell_Type,Control-Emx1,Control-Emx1_n,Mutant-Emx1,Mutant-Emx1_n,Control-Nestin,Control-Nestin_n,Mutant-Nestin,Mutant-Nestin_n
ABC,0.03218114908246405,17,0.031653850686316404,30,0.041634337876778796,50,0.030332339776201808,19
Astrocytes,-0.002182981664521673,145,-0.015936843225180818,212,0.004378747227832268,464,-0.009140377313399856,159
CA1,0.043759949387182175,367,0.03637387241608295,486,0.04435008105096028,403,0.038362426395195194,779
CA2,0.06911308259305442,23,0.060156236366227835,40,0.062148723829141266,21,0.06263791792668834,33
CA3,0.05444017341563286,217,0.04873047279206913,336,0.055271461014126465,209,0.04480338102092744,336
CGE-derived,0.05121758617126361,39,0.03959162735862792,95,0.046925410238020215,99,0.0440907820084741,245
CTX,0.04168247507147443,617,0.034940884771212405,756,0.03940407172230855,899,0.03692369918315136,1547
Cajal-Retzius,0.047693080819331324,2,0.006996278477726728,4,0.04131878097573845,23,0.05208594093595584,36
Car3,0.004958705063030887,21,-0.01297351281691197,10,0.004252598233794961,23,0.009496289836823709,19
ENT CTX,0.04413632252673954,611,0.03680506893453089,1152,0.03773775048611501,728,0.03505536321334498,1520
Endothelial,0.005441198533694868,60,0.003634034594167015,61,0.00651869785579301,84,0.0035695859882034133,26
Immature GC,0.016634633321876046,79,0.027213984107097522,32,0.029225950561293363,275,0.024890747822065264,117
Lamp5,0.06538703167213328,34,0.07158920816576622,75,0.07721154443783149,55,0.06870446333852406,123
Lamp5 (DG),0.05984727877599603,19,0.05681566706197278,15,0.0583609034581634,26,0.05045156082667098,24
MGE-derived,0.04881991606042086,77,0.04771084836704839,111,0.0495767591273123,122,0.05105791336398652,226
MOL,-0.01487651382572637,98,-0.013071733797093112,91,-0.001988146495544573,803,-0.006271547714475898,668
Mature GC,0.02795050618474283,477,0.029676150267797335,268,0.03123495195533431,849,0.029508425405252923,540
Microglia,0.017176421994528405,50,0.011068491338821363,32,0.029885826653707873,483,0.022213931220749144,671
NFOL,0.014237118893902001,4,-0.007895324806698046,16,0.0014454180755173818,50,0.00927566537609915,79
Neuroblast,0.002366437809154008,11,0.011250162814369313,5,0.014432566145232004,94,0.014721219139595733,32
OPC,-0.010129739443680057,35,-0.013833659783144882,73,0.0017793941120492881,253,-0.0017827833544997566,368
PPP,0.004297461198883353,47,0.009213918392927766,308,0.01834288334591404,84,0.017644885254866776,360
PV,0.07026667923548359,85,0.06550825620016325,162,0.06315076941596,83,0.07190510005639467,151
Pericytes,0.03523602247314798,12,0.012797539748536884,11,0.012374785992868969,70,0.018357245292130172,20
ProS,0.03951183649740396,65,0.03017632985432782,122,0.0311501119804321,60,0.029913280519951457,119
SST,0.05603161260722515,62,0.05661043294194079,131,0.05755636465259722,78,0.053279704498370634,173
Sncg,0.03657365098932712,61,0.040948780655266116,115,0.04019167078017512,38,0.04181596189704548,57
Subiculum,0.040715500880854065,47,0.025672832781461534,100,0.03420099882238746,106,0.033146563451929616,168
VIP,0.050995925511435586,32,0.050702580706707655,50,0.0466256809125411,32,0.05088730972785164,114
VIP (DG),0.048929854552104364,9,0.042764675804979356,12,0.0359833143179687,18,0.03580734263045809,28
VLMC,0.03031411932734038,27,0.04277972664226518,55,0.047362378676089306,46,0.036706418287558634,16
nIPC,0.03401831812660858,4,0.015707828466812457,14,0.007479794407701836,22,0.006916571201245941,23
rest,0.014818447193926115,932,0.01583607130182636,841,0.02311751780236624,1768,0.018596725260234516,558
