Cell_Type,Control-Emx1,Control-Emx1_n,Mutant-Emx1,Mutant-Emx1_n,Control-Nestin,Control-Nestin_n,Mutant-Nestin,Mutant-Nestin_n
CA1,0.07056237318239002,367,0.073754005721621,486,0.07242655360192299,402,0.08140945448205682,778
CA2,0.040373286503784064,23,0.041534185505175326,40,0.03355773750866103,21,0.04505496105272851,33
CA3,0.06650818689712097,217,0.0645290206899074,336,0.06502828508491702,209,0.06899682203741489,336
CTX,0.06518694105129821,595,0.06221625054082199,718,0.06247772870691558,873,0.0690521079696266,1507
Cajal-Retzius,0.10691126613826542,2,0.0797638207936025,4,0.08365148359431755,23,0.10020764050175128,36
Car3,0.08125378127125531,21,0.07568385050846979,10,0.06225829588301832,23,0.0732422383470022,19
ENT CTX,0.05247332276698678,611,0.04652223390906876,1152,0.050133985842197026,727,0.05502516478275963,1520
Immature GC,0.055550850251898654,79,0.05318215737467284,32,0.052460538083666214,275,0.06240038372445379,117
Mature GC,0.05593529892859776,477,0.05129936906672392,268,0.059958828594996315,849,0.06955461581252094,540
PPP,0.0166309177789115,47,0.03472758322809569,308,0.030782606205910307,84,0.03770823225291657,360
ProS,0.004044279146476609,65,0.006689857652736684,122,0.010068679270726855,60,0.020602228973961807,119
Subiculum,0.09050164104762243,47,0.07373634527410779,100,0.09676484001688808,106,0.095556992884084,168
