Cell_Type,Control,Control_n,Mutant,Mutant_n
CA1,0.044092224702009526,769,0.03759070987334604,1264
CA2,0.06578918409209587,44,0.061278092414107234,73
CA3,0.054848011697522916,426,0.04676692690649828,672
CTX,0.04024616423814635,1468,0.036211617560212704,2225
Cajal-Retzius,0.04182872496322588,25,0.047576974690132924,40
Car3,0.004589603765930292,44,0.0017480820251907139,29
ENT CTX,0.04070177295656381,1338,0.03580972735661076,2672
Immature GC,0.02641602383272283,354,0.025389697896703072,149
Mature GC,0.03005344318265547,1326,0.029564056919067164,808
PPP,0.013303686087055702,131,0.01375755322870328,668
ProS,0.035498208729257456,125,0.030046442423660655,241
Subiculum,0.036202185729236676,153,0.03035785797787436,268
