Name,Term,ES,nes,NOM p-val,fdr,FWER p-val,Tag %,Gene %,Lead_genes,Gene_Set,Direction,abs_nes
prerank,Caspase Activation Via Extrinsic Apoptotic Signaling Pathway R-HSA-5357769,0.7691919310392705,1.330001066637489,0.1647398843930636,0.827542555946374,1.0,3/23,2.69%,Dapk1;Unc5a;Dcc,Reactome_2022,Up,1.330001066637489
prerank,Apoptotic Nuclear Changes (GO:0030262),0.6958308332115649,1.173884596402522,0.3406940063091483,0.8347297481155981,1.0,3/15,4.79%,Cecr2;Acvr1c;Dicer1,GO_Biological_Process_2023,Up,1.173884596402522
prerank,Apoptosis R-HSA-109581,0.508990445212247,1.141080563419866,0.2336182336182336,0.83790952742692,1.0,25/161,6.58%,Dapk1;Ppp1r13b;Mapk1;Akt3;Ptk2;Ppp3r1;Unc5a;Ocln;Dcc;Nmt1;Ywhaz;Ywhah;Ywhab;Ctnnb1;Stk26;Ywhae;Rock1;Mapk3;Sptan1;Tjp1;Bcl2l1;Dsg2;Appl1;Dnm1l;Psmd13,Reactome_2022,Up,1.141080563419866
prerank,Autophagy,0.3925066956021818,0.8295475316382475,0.787292817679558,0.840664692984672,1.0,18/128,6.24%,Dapk1;Rras2;Mapk1;Map2k1;Akt3;Rragd;Rptor;Rb1cc1;Pik3cb;Raf1;Mapk3;Irs1;Mras;Supt20;Ddit4;Bcl2l1;Prkacb;Itpr1,KEGG_2019_Mouse,Up,0.8295475316382475
prerank,Necroptosis,0.3923309072277087,0.8305534594685349,0.7703081232492998,0.8453790841641844,1.0,4/116,1.94%,Camk2a;Camk2b;Pla2g4e;Camk2g,KEGG_2019_Mouse,Up,0.8305534594685349
prerank,Negative Regulation Of Epithelial Cell Apoptotic Process (GO:1904036),0.6753571166289759,1.22220037605351,0.2507374631268436,0.8534393450543118,1.0,3/35,3.34%,Sema5a;Tnip2;Neurod1,GO_Biological_Process_2023,Up,1.22220037605351
prerank,Positive Regulation Of Cell Death (GO:0010942),0.6205575575519405,1.148736726457586,0.3205882352941177,0.8556119069516436,1.0,7/38,5.93%,Grin2b;Snca;Fyn;Slc6a6;Map3k5;Picalm;Faf1,GO_Biological_Process_2023,Up,1.148736726457586
prerank,Programmed Cell Death R-HSA-5357801,0.471298228984882,1.082447639035545,0.2977528089887641,0.8581246643492654,1.0,27/188,6.58%,Dapk1;Ppp1r13b;Mapk1;Akt3;Ptk2;Ppp3r1;Sdcbp;Unc5a;Ocln;Dcc;Nmt1;Ywhaz;Peli1;Ywhah;Ywhab;Ctnnb1;Stk26;Ywhae;Rock1;Mapk3;Sptan1;Tjp1;Bcl2l1;Dsg2;Appl1;Dnm1l;Psmd13,Reactome_2022,Up,1.082447639035545
prerank,Regulation Of Neuron Death (GO:1901214),0.5476091910382709,1.071877782876476,0.3484419263456091,0.8641847579484743,1.0,11/56,6.04%,Grin2b;Snca;Chrna7;Nsmf;Sorl1;Trim2;Mef2c;Fyn;Map3k5;Picalm;Faim2,GO_Biological_Process_2023,Up,1.071877782876476
prerank,Regulation Of Endothelial Cell Apoptotic Process (GO:2000351),0.6841229682075487,1.230592148085505,0.2626865671641791,0.8646076734509411,1.0,4/39,3.93%,Sema5a;Tnip2;Pdcd4;Itga4,GO_Biological_Process_2023,Up,1.230592148085505
