Name,Term,ES,nes,NOM p-val,fdr,FWER p-val,Tag %,Gene %,Lead_genes,Gene_Set,Direction,abs_nes
prerank,Chaperone Mediated Autophagy R-HSA-9613829,-0.9030305215389933,-1.644938337345806,0.0,0.006008132265423301,0.134,6/16,1.04%,Hsp90aa1;Eef1a1;Hsp90ab1;Ubb;Rps27a;Hspa8,Reactome_2022,Down,1.644938337345806
prerank,Autophagy R-HSA-9612973,-0.7530661569587462,-1.634129259722113,0.0,0.006938623973957561,0.166,35/119,11.57%,Hsp90aa1;Eef1a1;Hsp90ab1;Ubb;Rps27a;Hspa8;Dynll1;Gabarapl1;Dynll2;Gabarapl2;Ube2n;Sqstm1;Vdac1;Gabarap;Tomm20;Pink1;Tomm7;Rraga;Tomm22;Map1lc3b;Lamtor3;Ube2v1;Lamtor2;Tomm6;Tomm5;Uba52;Lamp2;Chmp2a;Vcp;Mterf3;Park7;Ubc;Chmp4b;Vps28;Atg12,Reactome_2022,Down,1.634129259722113
prerank,Selective Autophagy R-HSA-9663891,-0.7852956022341329,-1.614806538235978,0.0,0.01043284051015623,0.269,23/56,11.57%,Hsp90aa1;Ubb;Rps27a;Hspa8;Dynll1;Dynll2;Ube2n;Sqstm1;Vdac1;Tomm20;Pink1;Tomm7;Tomm22;Map1lc3b;Ube2v1;Tomm6;Tomm5;Uba52;Vcp;Mterf3;Park7;Ubc;Atg12,Reactome_2022,Down,1.614806538235978
prerank,Intrinsic Pathway For Apoptosis R-HSA-109606,-0.8048896962300853,-1.58904115649833,0.002262443438914027,0.01564482125863427,0.425,16/42,8.68%,Ppp3r1;Ywhah;Ywhab;Dynll1;Ywhaz;Ywhag;Dynll2;Ywhae;Mapk1;Nmt1;Cycs;Ywhaq;Akt3;Mapk3;Bax;Gsdme,Reactome_2022,Down,1.58904115649833
prerank,Macroautophagy R-HSA-1632852,-0.7378086955164317,-1.589204061930586,0.0,0.0158558106909493,0.424,31/106,11.57%,Hsp90aa1;Ubb;Rps27a;Hspa8;Dynll1;Gabarapl1;Dynll2;Gabarapl2;Ube2n;Sqstm1;Vdac1;Gabarap;Tomm20;Pink1;Tomm7;Rraga;Tomm22;Map1lc3b;Lamtor3;Ube2v1;Lamtor2;Tomm6;Tomm5;Uba52;Chmp2a;Vcp;Mterf3;Park7;Ubc;Chmp4b;Atg12,Reactome_2022,Down,1.589204061930586
prerank,Necroptosis,-0.7257450882397649,-1.543237008663546,0.0,0.02108332299402684,0.33,23/84,11.60%,Fth1;Hsp90aa1;Hsp90ab1;Slc25a4;Ppia;Hmgb1;Camk2b;Slc25a5;Sqstm1;Vdac1;Glul;Ftl1;Dnm1l;Glud1;Chmp2a;Bax;Vdac2;Chmp4b;Spata2l;Ifngr2;Vdac3;Camk2a;Cyld,KEGG_2019_Mouse,Down,1.543237008663546
prerank,Ferroptosis,-0.7768927694111638,-1.504639850181264,0.009070294784580499,0.03095486818861258,0.536,17/35,16.49%,Fth1;Prnp;Acsl3;Pcbp1;Gpx4;Ftl1;Map1lc3b;Pcbp2;Slc7a11;Vdac2;Vdac3;Sat1;Map1lc3a;Tfrc;Trf;Gclm;Sat2,KEGG_2019_Mouse,Down,1.504639850181264
prerank,Apoptosis,-0.6890271210695023,-1.467590013297009,0.001044932079414838,0.0483445837351334,0.164,26/94,12.88%,Plppr4;Ppp3r1;Dnaja1;Jun;Clu;Rhob;Gpx4;Sqstm1;Eno2;Egr3;Sod1;Cdkn1b;Gstm1;Timp3;Dnm1l;Bnip3l;Erbb3;Btg2;Bax;Vdac2;Il18;Ebp;Cyld;Tgfb2;Sat1;Pdcd4,MSigDB_Hallmark_2020,Down,1.467590013297009
prerank,Late Endosomal Microautophagy R-HSA-9615710,-0.7828197446099696,-1.493797962587432,0.007033997655334115,0.04918695843711154,0.954,9/26,11.56%,Ubb;Rps27a;Hspa8;Uba52;Chmp2a;Park7;Ubc;Chmp4b;Vps28,Reactome_2022,Down,1.493797962587432
prerank,Regulation Of Necroptotic Cell Death R-HSA-5675482,-0.7911897965767649,-1.474417117255696,0.01062573789846517,0.05486895100580276,0.983,4/20,3.54%,Hsp90aa1;Ubb;Rps27a;Sdcbp,Reactome_2022,Down,1.474417117255696
