Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,Calcium Ion Transmembrane Import Into Cytosol (GO:0097553),0.8348866089300258,1.9129190359815398,0.012738853503184714,0.10860594627958749,0.071,14/47,4.84%,Ryr2;Cacna1c;Scn1a;Cacna1a;Atp2b4;Grin1;Slc8a1;Grin2a;Cacna1e;Nalf1;Cacna1b;Scn8a;Flna;Plch1
prerank,"Synaptic Transmission, Glutamatergic (GO:0035249)",0.9301320854507014,1.8736160034149247,0.0,0.12920362574640581,0.14,6/22,2.46%,Grik4;Gria3;Gria4;Grin2a;Unc13b;Gria1
prerank,Glutamate Receptor Signaling Pathway (GO:0007215),0.8719254987532916,1.783093144930191,0.006289308176100629,0.43275932617153634,0.465,6/30,2.41%,Grik4;Gria3;Gria4;Grin1;Grin2a;Grm8
prerank,Heterophilic Cell-Cell Adhesion Via Plasma Membrane Cell Adhesion Molecules (GO:0007157),0.9112687271584344,1.7581751797674958,0.00966183574879227,0.45939066932055395,0.577,6/19,4.77%,Tenm4;Tenm2;Igsf21;Nlgn1;Nectin1;Tenm1
prerank,Kidney Development (GO:0001822),0.8228908185207224,1.7236197561348647,0.005,0.5664986025480092,0.719,9/31,7.21%,Greb1l;Fgf10;Pcsk5;Pkd1;Tgfbr1;Nf1;Ift88;Nipbl;Nphp3
prerank,Calcium Ion Import Across Plasma Membrane (GO:0098703),0.8608041903748489,1.7135100961065004,0.009302325581395349,0.5292979450867252,0.755,8/23,4.24%,Cacna1c;Scn1a;Cacna1a;Slc8a1;Cacna1e;Nalf1;Cacna1b;Scn8a
prerank,RNA Destabilization (GO:0050779),0.9019156221278265,1.7022012719677453,0.011627906976744186,0.5125344656938168,0.793,2/17,4.35%,Lin28b;Rock1
prerank,Cytoplasmic Translation (GO:0002181),-0.9120636129984001,-1.6911976821194787,0.0,0.0,0.0,69/89,6.71%,Rpl6;Rack1;Rps29;Rps2;Rps7;Rpl37;Rpl5;Rpl3;Rpl19;Rplp2;Rpsa;Rpl21;Rps5;Rpl18a;Rpl7;Rpl22;Rps11;Rps28;Rpl14;Rpl11;Rps25;Rps23;Rpl24;Rps24;Rpl27;Rpl29;Rpl28;Fau;Rps27a;Rps8;Rps6;Rpl4;Rpl27a;Rpl13;Rps4x;Rps15;Rpl7a;Rps17;Eif4a1;Rpl8;Rps27;Rpl38;Rps21;Rpl12;Rpl23a;Rplp1;Rpl17;Rpl9;Rpl37a;Rps3;Rps20;Rpl41;Rps10;Rpl13a;Rps18;Rps15a;Rps16;Rpl39;Rps14;Rpl22l1;Rpl15;Rpl30;Rpl18;Rpl31;Rps9;Rpl26;Rpl36;Uba52;Rpl34
prerank,Macromolecule Biosynthetic Process (GO:0009059),-0.8881455771163217,-1.689649005238935,0.0,0.0,0.0,84/159,7.91%,Rpl6;Eef1a1;Rps29;Rps2;Rps7;Rpl37;Apoe;Rpl5;Rpl3;Rpl19;Rplp2;Rpsa;Rpl21;Rps5;Rpl18a;Rpl7;Rpl22;Rps11;Rps28;Rpl14;Rpl11;Rps25;Rps23;Rpl24;Rps24;Rpl27;Rpl29;Rpl28;Fau;Rps27a;Rps8;Rps6;Rpl4;Rpl27a;Rpl13;Rps4x;Rps15;Rpl7a;Rps17;Igf2bp3;Rpl8;Rps27;Rpl38;Rps21;Rpl12;Rpl23a;Rplp1;Rpl17;Mrpl36;Rpl9;Rpl37a;Rps3;Rps20;Rpl41;Rps10;Mrpl52;Eif5a;Rpl13a;Rps18;Rps15a;Eef1b2;Mrpl18;Rps16;Rpl39;Eef1g;Rps14;Mrpl14;Rpl15;Eef1a2;Rpl30;Pabpc4;Rpl18;Rpl31;Mrpl23;Mrpl41;Rps9;Eef2;Rpl26;Rpl36;Rpl34;Mrps21;Mrpl9;Rpl35a;Rpl32
prerank,Translation (GO:0006412),-0.8707508899871246,-1.6746488444289198,0.0,0.0,0.0,92/210,7.91%,Rpl6;Eef1a1;Rack1;Rps29;Rps2;Rps7;Rpl37;Rpl5;Rpl3;Rpl19;Rplp2;Rpsa;Rpl21;Rps5;Rpl18a;Rpl7;Rpl22;Rps11;Rps28;Rpl14;Rpl11;Rps25;Rps23;Rpl24;Rps24;Rpl27;Rpl29;Rpl28;Fau;Rps27a;Rps8;Rps6;Rpl4;Rpl27a;Rpl13;Rps4x;Rps15;Rpl7a;Rps17;Aurkaip1;Igf2bp3;Rpl8;Rps27;Rpl38;Rps21;Rpl12;Rpl23a;Rplp1;Rpl17;Mrpl36;Mrps26;Rpl9;Rpl37a;Rps3;Rps20;Rpl41;Rps10;Mrpl52;Eif5a;Rpl13a;Rps18;Rps15a;Eef1b2;Mrpl18;Mrps24;Rps16;Rpl39;Mrpl54;Eef1g;Rps14;Rpl22l1;Mrpl44;Mrpl14;Rpl15;Eef1a2;Rpl30;Pabpc4;Rpl18;Rpl31;Mrpl23;Mrpl41;Rps9;Eef2;Rpl26;Rpl36;Uba52;Rpl34;Mrps21;Mrpl9;Rpl35a;Mrpl39;Rpl32
prerank,Protein Localization To Cell Junction (GO:1902414),0.8643865265088458,1.6731875745619382,0.015810276679841896,0.6066952861135577,0.874,7/19,8.02%,Tjp2;Nlgn1;Stau2;Pclo;Nectin1;Tjp1;Shank1
prerank,Embryonic Limb Morphogenesis (GO:0030326),0.8515376955344076,1.6695173161542833,0.029535864978902954,0.5581485668314943,0.879,6/17,9.24%,Cacna1c;Ece1;Nipbl;Intu;Hdac1;Fbxw4
prerank,Peptide Biosynthetic Process (GO:0043043),-0.8851536250510235,-1.6693714281118062,0.0,0.0,0.0,79/136,7.91%,Rpl6;Eef1a1;Rps29;Rps2;Rps7;Rpl37;Rpl5;Rpl3;Rpl19;Rplp2;Rpsa;Rpl21;Rps5;Rpl18a;Rpl7;Rpl22;Rps11;Rps28;Rpl14;Rpl11;Rps25;Rps23;Rpl24;Rps24;Rpl27;Rpl29;Rpl28;Fau;Rps27a;Rps8;Rps6;Rpl4;Rpl27a;Rpl13;Rps4x;Rps15;Rpl7a;Rps17;Igf2bp3;Rpl8;Rps27;Rpl38;Rps21;Rpl12;Rpl23a;Rplp1;Rpl17;Mrpl36;Rpl9;Rpl37a;Rps3;Rps20;Rpl41;Rps10;Mrpl52;Rpl13a;Rps18;Rps15a;Mrpl18;Rps16;Rpl39;Rps14;Mrpl14;Rpl15;Eef1a2;Rpl30;Pabpc4;Rpl18;Rpl31;Mrpl23;Mrpl41;Rps9;Rpl26;Rpl36;Rpl34;Mrps21;Mrpl9;Rpl35a;Rpl32
