Name,Term,ES,nes,NOM p-val,fdr,FWER p-val,Tag %,Gene %,Lead_genes,Gene_Set,Direction
prerank,Cell adhesion molecules (CAMs),0.762319879852714,1.6295055172653823,0.0,0.21946817470821803,0.231,12/50,4.13%,Cntnap2;Negr1;Ncam2;Nlgn1;Cadm1;Alcam;Lrrc4c;Nrxn1;Itga8;Nectin3;Nrxn3;Cdh2,KEGG_2019_Mouse,Up
prerank,Ribosome,-0.8722656985868259,-1.5476064877034459,0.0,0.0,0.0,70/123,7.99%,Rpl17;Rps27;Rpl22l1;Rpl27a;Rpl38;Rpl37a;Rpl4;Rps6;Rps3a1;Rps23;Rps27a;Rplp1;Rpl30;Rps8;Rpl3;Rps24;Rpl9;Rps4x;Rpl35;Rps16;Rpl19;Rpl13;Rps10;Rps25;Rpl35a;Rpl22;Rps29;Rpl32;Rpl39;Rpl37;Rpl15;Rps2;Rps28;Rpl21;Rpl41;Rpl28;Mrpl11;Mrpl12;Rpl26;Rps21;Rpl36;Rpl6;Rpsa;Rpl14;Rpl36al;Rpl5;Rpl11;Rplp2;Rpl8;Rps3;Fau;Rps15a;Mrpl36;Rpl24;Rps7;Rpl29;Rpl23;Rpl13a;Rps9;Rpl12;Rpl23a;Mrpl20;Rps19;Mrps5;Rps5;Rpl7a;Rps20;Rpl10;Rps18;Rps12,KEGG_2019_Mouse,Down
prerank,Taste transduction,0.7294210465330652,1.5316372857621483,0.05263157894736842,0.23210203344964506,0.396,3/27,0.49%,Adcy8;Pde1a;Chrm3,KEGG_2019_Mouse,Up
prerank,Alzheimer disease,-0.8024391616178937,-1.4214377476792766,0.0,0.3069868920465793,0.396,45/132,9.42%,Calm1;Ppp3r1;Uqcrb;Ppp3ca;Atp5e;Calm3;Ndufa4;Ndufa1;Grin1;Cox7c;Cox6c;Cdk5r1;Cox8a;Calm2;Cox5a;Ndufa2;Atp5a1;Gapdh;Mapk1;Ndufb8;Cox7a2l;Uqcr11;Apoe;Cox5b;Atp5d;Cycs;Ppp3cb;Aph1a;Cox7a2;Sdhd;Ndufb9;Atp5h;Ndufc1;Atp5o;Ndufa13;Ndufa5;Ndufs5;Atp5b;Mapk3;Atp5g2;Cox6a1;Ndufb10;Ndufb6;Atp5g3;Uqcrfs1,KEGG_2019_Mouse,Down
prerank,Amyotrophic lateral sclerosis (ALS),-0.8258127553358646,-1.4071588596522908,0.00425531914893617,0.29848780865658536,0.518,8/39,4.87%,Ppp3r1;Ppp3ca;Gria2;Nefl;Grin1;Cycs;Nefm;Ppp3cb,KEGG_2019_Mouse,Down
prerank,Oxidative phosphorylation,-0.7972130140809868,-1.397374211668546,0.0,0.2899037344326916,0.599,42/102,9.42%,Uqcrb;Atp5e;Ndufa4;Ndufa1;Cox7c;Cox6c;Cox8a;Cox5a;Atp5k;Atp6v1d;Ndufa2;Atp6v1g1;Atp5a1;Atp6ap1;Ndufb8;Cox7a2l;Uqcr11;Atp6v1a;Atp6v1g2;Cox5b;Cox17;Atp5d;Atp6v1e1;Atp6v0c;Cox7a2;Sdhd;Ndufb9;Atp5h;Ndufc1;Atp5l;Atp5o;Ndufa13;Atp6v1f;Ndufa5;Ndufs5;Atp5b;Atp5g2;Cox6a1;Ndufb10;Ndufb6;Atp5g3;Uqcrfs1,KEGG_2019_Mouse,Down
prerank,Synaptic vesicle cycle,-0.8128398947255278,-1.3896380247125257,0.0,0.2772061038480407,0.656,14/57,9.45%,Cplx2;Atp6v1d;Slc1a3;Atp6v1g1;Vamp2;Ap2m1;Atp6v1a;Atp6v1g2;Atp6v1e1;Atp6v0c;Snap25;Atp6v1f;Stx1b;Ap2s1,KEGG_2019_Mouse,Down
prerank,Amphetamine addiction,-0.8181447952819033,-1.3895855180886236,0.006514657980456026,0.2311750682078338,0.656,12/45,5.41%,Calm1;Ppp3r1;Ppp3ca;Calm3;Gria2;Grin1;Camk2b;Calm2;Gnas;Ppp3cb;Camk2a;Jun,KEGG_2019_Mouse,Down
prerank,Tuberculosis,-0.7942310718123706,-1.3848053808833147,0.001049317943336831,0.2216075286202407,0.699,18/80,7.52%,Calm1;Ppp3r1;Cebpb;Ppp3ca;Calm3;Camk2b;Calm2;Irak1;Hspa9;Mapk1;Atp6ap1;Cycs;Ksr1;Ppp3cb;Camk2a;Atp6v0c;Rfxap;Mapk3,KEGG_2019_Mouse,Down
prerank,Collecting duct acid secretion,-0.8773094034151002,-1.3839685984177672,0.01473922902494331,0.19760368881735793,0.707,8/17,7.18%,Atp6v1d;Atp6v1g1;Atp6v1a;Atp6v1g2;Atp6v1e1;Atp6v0c;Car2;Atp6v1f,KEGG_2019_Mouse,Down
prerank,Glucagon signaling pathway,-0.7989956355435637,-1.3828316874561886,0.0010626992561105207,0.18086049453906997,0.716,14/65,7.59%,Calm1;Ppp3r1;Ppp3ca;Calm3;Camk2b;Calm2;Gnas;Pck2;Ppp3cb;Ppp4c;Camk2a;Prmt1;Pgam1;Ldhb,KEGG_2019_Mouse,Down
prerank,Parkinson disease,-0.7754050490590597,-1.360935349488749,0.0010427528675703858,0.26435548976236994,0.855,47/106,14.52%,Uqcrb;Atp5e;Slc25a4;Ndufa4;Ndufa1;Ubb;Cox7c;Cox6c;Cox8a;Cox5a;Gnal;Ndufa2;Atp5a1;Ndufb8;Slc25a5;Cox7a2l;Uqcr11;Pink1;Cox5b;Atp5d;Cycs;Cox7a2;Sdhd;Ndufb9;Atp5h;Ndufc1;Atp5o;Ndufa13;Ndufa5;Ndufs5;Atp5b;Atp5g2;Cox6a1;Ndufb10;Ndufb6;Atp5g3;Uqcrfs1;Uchl1;Cox7b;Ndufb3;Ndufab1;Ndufa3;Uqcrq;Vdac1;Htra2;Vdac2;Uqcrh,KEGG_2019_Mouse,Down
prerank,Pertussis,-0.8151311612139085,-1.3529267040951773,0.031385281385281384,0.2834367046168508,0.887,9/28,7.94%,Calm1;Calm3;Cfl1;Calm2;Irak1;Mapk1;Jun;Mapk3;Cfl2,KEGG_2019_Mouse,Down
prerank,Th17 cell differentiation,-0.7949886645901768,-1.3513707894834004,0.014989293361884369,0.26848604428990697,0.895,10/45,7.52%,Hsp90aa1;Ppp3r1;Ppp3ca;Il1r1;Mapk1;Hsp90ab1;Ppp3cb;Jun;Stat3;Mapk3,KEGG_2019_Mouse,Down
prerank,IL-17 signaling pathway,-0.8024721804400264,-1.347734809606281,0.018318965517241378,0.2676034471686384,0.907,9/35,8.70%,Hsp90aa1;Cebpb;Srsf1;Mapk1;Hsp90ab1;Ptgs2;Jun;Mapk3;Hsp90b1,KEGG_2019_Mouse,Down
prerank,Rheumatoid arthritis,-0.822224395034174,-1.3468078787696602,0.019715224534501644,0.25264132454141836,0.909,10/29,8.64%,Atp6v1d;Atp6v1g1;Atp6ap1;Atp6v1a;Atp6v1g2;Atp6v1e1;Atp6v0c;Jun;Atp6v1f;Ctsl,KEGG_2019_Mouse,Down
prerank,Spliceosome,-0.749342937063208,-1.3420859768741287,0.001037344398340249,0.26190775374605163,0.928,35/122,10.00%,Hnrnpa3;Srsf1;Ddx5;Pcbp1;Snrpc;Wbp11;Snrnp27;U2surp;Srsf5;Hnrnpk;Rbm8a;Snrnp70;Hspa8;Cwc15;Hnrnpu;Sf3b2;Sf3b1;Pqbp1;Snu13;Lsm8;Sf3a2;Alyref;Cdc40;Zmat2;Ddx42;Rbm25;Sf3b5;Snrpd2;Prpf38b;Sart1;Hnrnpa1;Dhx15;Srsf6;Tra2b;Rbmxl1,KEGG_2019_Mouse,Down
prerank,Carbohydrate digestion and absorption,-0.8216462864284003,-1.3349469773436,0.053763440860215055,0.2812346693748978,0.949,5/22,6.53%,Atp1b1;Lct;Atp1a2;Atp1a1;Atp1b2,KEGG_2019_Mouse,Down
prerank,C-type lectin receptor signaling pathway,-0.7765562192479489,-1.3345729326423448,0.010548523206751054,0.2663712723640438,0.95,11/60,5.41%,Calm1;Ppp3r1;Ppp3ca;Calm3;Calm2;Egr3;Mapk1;Ksr1;Ppp3cb;Ptgs2;Jun,KEGG_2019_Mouse,Down
prerank,Th1 and Th2 cell differentiation,-0.7903891770659764,-1.329493130555019,0.017970401691331923,0.27367048515780323,0.959,7/35,7.52%,Ppp3r1;Ppp3ca;Mapk1;Ppp3cb;Jun;Maml2;Mapk3,KEGG_2019_Mouse,Down
prerank,Necroptosis,-0.7602481887000767,-1.3229572837103734,0.012738853503184714,0.2898097971952232,0.97,23/68,14.35%,Hsp90aa1;Fth1;Ppia;Slc25a4;Camk2b;Slc25a5;Hsp90ab1;Sqstm1;Dnm1l;Camk2a;Stat3;Glul;Chmp2a;Ftl1;Parp2;Cyld;Chmp5;Trpm7;Chmp1a;Hmgb1;Vdac1;Tyk2;Vdac2,KEGG_2019_Mouse,Down
prerank,Mineral absorption,-0.814257075497124,-1.321999621684377,0.04555555555555556,0.2799598068663987,0.971,8/20,8.17%,Atp1b1;Fth1;Atp1a2;Atp1a1;Atp2b1;Mt1;Atp1b2;Ftl1,KEGG_2019_Mouse,Down
