Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
gsea,Myc Targets V1,-0.6632731400101397,-2.781530047208328,0.0,0.0,0.0,112/192,20.05%,HSP90AB1;RPL6;PPIA;SET;HNRNPA2B1;RPS6;HNRNPA3;RPS2;RPL22;RAN;RACK1;RPL14;H2AZ1;RPS10;RPS5;YWHAE;SLC25A3;PSMA7;RPS3;PABPC1;SERBP1;COX5A;CYC1;DEK;PCBP1;CNBP;ACP1;EIF1AX;SSB;VDAC1;NPM1;EIF4A1;SRSF1;CBX3;YWHAQ;NAP1L1;HDGF;EIF4H;HSPE1;EIF4G2;GLO1;HNRNPD;SNRPD2;PSMC6;RPL34;HNRNPA1;PSMA4;EEF1B2;HNRNPU;PABPC4;CANX;LDHA;HNRNPC;EIF2S2;SRSF3;RPL18;PCNA;PGK1;SNRPG;HSPD1;CCT2;PTGES3;VBP1;NME1;GOT2;NDUFAB1;PSMB3;HDAC2;SRSF2;ODC1;RPLP0;NOLC1;G3BP1;VDAC3;PHB2;PSMA1;TCP1;SYNCRIP;EIF3D;CDK4;USP1;MCM6;LSM2;MRPL9;TRA2B;MRPL23;CCT5;ETF1;PHB;SNRPA1;RANBP1;SRSF7;DHX15;PSMC4;GNL3;ERH;PSMD7;PSMD14;NHP2;UBE2E1;SRM;NOP56;PA2G4;PSMA2;LSM7;DDX18;TYMS;C1QBP;POLE3;SNRPD1;KPNB1;XPO1
gsea,Oxidative Phosphorylation,-0.6704139880786304,-2.6434738066617016,0.0,0.0,0.0,95/179,14.93%,ATP1B1;SLC25A4;ATP6V1D;ATP6V0C;COX6C;COX7C;COX8A;ATP5PB;UQCRB;NDUFA1;SLC25A3;NDUFA4;UQCRQ;COX5A;COX6A1;NDUFA2;NDUFA3;COX7A2L;CYC1;SLC25A5;GPX4;COX5B;IDH3B;MDH2;HSPA9;VDAC1;COX17;MDH1;UQCRH;NDUFB8;UQCR11;NDUFB1;CYCS;ATP6V1E1;COX7A2;NDUFB3;TIMM8B;COX4I1;COX6B1;LDHB;COX7B;ATP6V1F;UQCRC2;NDUFS7;LDHA;ATP6AP1;TOMM22;ALDH6A1;NDUFS2;SDHA;NDUFA5;MRPL11;IDH3A;UQCR10;NDUFA7;GLUD1;NDUFC1;DLAT;IDH2;MTX2;BAX;VDAC2;SLC25A11;ATP6V1G1;NDUFC2;PDK4;TIMM10;NDUFB6;TIMM13;GOT2;NDUFV1;NDUFAB1;OPA1;MAOB;SDHD;NDUFA8;NDUFS8;VDAC3;PHB2;ISCU;NDUFB2;UQCRFS1;ATP6V1H;NDUFS6;DLD;OXA1L;MRPL35;PMPCA;UQCRC1;NDUFB7;SURF1;NDUFV2;HTRA2;NDUFB5;NDUFS1
gsea,mTORC1 Signaling,-0.5237157914926358,-2.384297943444914,0.0,0.0,0.0,79/187,23.10%,PPIA;ALDOA;TUBA4A;ATP6V1D;GAPDH;ACTR2;ACSL3;MLLT11;CCT6A;PDAP1;HSPA9;SQSTM1;NMT1;HMGCS1;GMPS;PSMB5;HSPE1;HSP90B1;CACYBP;TPI1;PSMC2;PLOD2;PSMC6;SSR1;PSMA4;CANX;LDHA;ARPC5L;EIF2S2;GSK3B;PGK1;GTF2H1;ACTR3;HSPD1;TCEA1;HSPA4;BTG2;SLC7A11;IGFBP5;PRDX1;EBP;TBK1;INSIG1;PSMD12;PHGDH;CORO1A;GOT1;ADD3;RAB1A;TFRC;PSME3;PSMA3;PFKL;HSPA5;CALR;ETF1;CYB5B;XBP1;PSMC4;NUPR1;PSMD14;M6PR;HMGCR;DDIT4;TXNRD1;EEF1E1;DHFR;FKBP2;SC5D;NUP205;IDI1;PITPNB;ACLY;BHLHE40;YKT6;QDPR;GCLC;STARD4;ATP2A2
gsea,UV Response Up,-0.5187496302125646,-2.264835065573544,0.0,0.0,0.0,58/134,23.45%,SLC25A4;PLCL1;ALDOA;TUBA4A;SELENOW;DNAJA1;RASGRP1;BSG;CCK;RHOB;GRINA;PDAP1;EIF5;SQSTM1;OLFM1;PSMC3;ENO2;JUNB;ATP6V1F;HNRNPU;TMBIM6;AP2S1;MMP14;BTG2;HSPA2;TST;TFRC;NFKBIA;PRKACA;DLG4;PARP2;CCND3;H2AX;AMD1;MRPL23;CEBPG;RXRB;CYB5B;NPTXR;MAPK8IP2;CDO1;PPT1;CLTB;CDC5L;PPP1R2;POLE3;STK25;BTG3;SOD2;CREG1;FMO1;YKT6;IL6ST;FEN1;CDC34;GRPEL1;CCNE1;DDX21
gsea,Adipogenesis,-0.4865713076476246,-2.246090419244228,0.0,0.0,0.0,83/187,26.88%,SPARCL1;ALDOA;APOE;GHITM;COX8A;YWHAG;UQCRQ;COX6A1;CYC1;GPX4;REEP5;MDH2;APLP2;CHCHD10;NMT1;G3BP2;UQCR11;MTCH2;RTN3;COX7B;SOD1;TOB1;DNAJC15;GPD2;NDUFA5;ITGA7;GPHN;IDH3A;UQCR10;ABCA1;DHRS7;DLAT;ACOX1;NDUFAB1;MGLL;DDT;UBC;NKIRAS1;JAGN1;SCP2;PDCD4;TST;SOWAHC;DLD;DNAJB9;PFKL;CCNG2;RNF11;UQCRC1;VEGFB;NDUFB7;CIDEA;AGPAT3;ARAF;SLC27A1;GPAM;LPL;ALDH2;SUCLG1;ATL2;SQOR;PIM3;TANK;COQ3;ACADL;ACLY;LPCAT3;RETSAT;CD151;TALDO1;QDPR;ITIH5;CS;GRPEL1;ECH1;IDH3G;LAMA4;PLIN2;SDHC;UBQLN1;FZD4;IMMT;PPM1B
gsea,Fatty Acid Metabolism,-0.50866427885913,-2.2391818767841256,0.0,0.0,0.0,75/133,35.53%,HSP90AA1;SERINC1;YWHAH;ALDOA;H2AZ1;GABARAPL1;IDH3B;MDH2;MDH1;GLUL;HMGCS1;HSPH1;MIF;ENO2;LDHA;SDHA;GPD2;ALDH1A1;ACOX1;MGLL;BMPR1B;ODC1;PCBD1;SDHD;CBR1;DLD;GPD1;ACSS1;CIDEA;FASN;HMGCS2;NCAPH2;MCEE;EHHADH;SUCLG1;HSD17B10;KMT5A;HADHB;SMS;ECI1;FMO1;IDI1;METAP1;ACADL;RETSAT;GCDH;PSME1;HSD17B11;ECH1;HCCS;ELOVL5;HSDL2;IDH3G;RDH11;CPOX;SDHC;IL4I1;PDHA1;ACOT8;APEX1;PDHB;NTHL1;HSD17B7;OSTC;UROD;DHCR24;ADIPOR2;MAOA;ERP29;ACO2;NBN;PRDX6;SUCLA2;PTS;SLC22A5
gsea,E2F Targets,-0.47381183057513065,-2.2375920719086504,0.0,0.0,0.0,62/173,23.79%,PSIP1;RAN;H2AZ1;LUC7L3;DEK;STAG1;STMN1;SRSF1;SMC1A;NAP1L1;CBX5;RAD21;HNRNPD;CDKN1B;ANP32E;SMC3;PCNA;RBBP7;SMC6;CKS2;SMC4;NME1;CTCF;SRSF2;PDS5B;NOLC1;PAICS;SYNCRIP;PNN;TFRC;CDK4;NAA38;USP1;JPT1;UBE2S;GINS4;MCM6;H2AX;TRA2B;RANBP1;HMGA1;MCM3;NOP56;MSH2;PA2G4;BRCA2;PHF5A;RFC3;XPO1;ORC6;ASF1A;NUP205;SNRPB;SSRP1;RPA3;PAN2;CCNE1;RFC1;TMPO;XRCC6;PPM1D;RNASEH2A
gsea,PI3K/AKT/mTOR  Signaling,-0.5211606669657386,-2.2322162914599524,0.0,0.0,0.0,34/94,17.18%,YWHAB;CFL1;ACTR2;AP2M1;MAPK1;RAC1;UBE2N;DUSP3;SQSTM1;ARF1;PFN1;HSP90B1;ARHGDIA;CDKN1B;GSK3B;PPP1CA;ACTR3;ARPC3;NCK1;TBK1;PLCB1;HRAS;PRKCB;CDK4;CSNK2B;SMAD2;MAPK9;CLTC;CALR;PTEN;TIAM1;AKT1;EGFR;ECSIT
gsea,Unfolded Protein Response,-0.5182872437618842,-2.231451191184813,0.0,0.0,0.0,38/102,18.04%,EIF4A2;TUBB2A;YWHAZ;RPS14;HSPA9;NPM1;EIF4A1;BANF1;HSP90B1;SSR1;KIF5B;DCP2;EEF2;FUS;CEBPB;NOLC1;DCTN1;SPCS3;CNOT6;PAIP1;ATF4;LSM4;DNAJB9;SPCS1;ATF6;HSPA5;NFYB;H2AX;IMP3;CALR;CEBPG;XBP1;EXOSC9;NHP2;DKC1;NOP56;DDIT4;EXOSC4
gsea,Protein Secretion,-0.5127776076433063,-2.2070693359511964,0.0,0.0,0.0,50/90,28.24%,GNAS;ATP1A1;RAB14;AP2M1;MAPK1;RAB2A;ARF1;TMED2;SOD1;DNM1L;STX16;CLCN3;ANP32E;LAMP2;AP2S1;STX7;NAPG;ABCA1;VAMP4;CLTA;ATP6V1H;CD63;ADAM10;CLTC;SCAMP1;COPB2;AP2B1;PPT1;M6PR;STAM;EGFR;VPS4B;SEC22B;ARCN1;VAMP3;RAB22A;SNX2;RAB5A;SCAMP3;YKT6;AP1G1;SCRN1;COPE;CLN5;YIPF6;TSG101;LMAN1;COG2;ATP7A;USO1
