Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
gsea,Ribosome,-0.8183032268681654,-2.936527795357649,0.0,0.0,0.0,93/127,11.80%,RPL6;RPS29;RPL37;RPL23;RPS2;RPLP2;RPS7;RPL3;RPL5;RPS3A1;RPL19;RPSA;RPL21;RPS23;RPLP1;RPL18A;RPS28;RPL28;RPL11;RPS15;RPS24;RPS25;RPL13;RPS27A;RPS8;RPL7;RPL24;RPL27;RPL14;RPS21;RPL38;RPS5;RPS11;FAU;RPL22;RPS6;RPL17;RPL37A;RPS27;RPL29;RPL9;RPS15A;RPS4X;RPL27A;RPL13A;RPL8;RPS10;RPL7A;RPL12;RPS3;RPS17;RPL41;RPL23A;RPL4;RPS18;RPL15;RPS14;RPS20;RPS16;RPL22L1;RPL18;RPS12;RPL30;RPL36;UBA52;RPL26;RPL34;RPL39;RPS9;RPL31;MRPL36;RPL32;RPL35A;MRPL9;MRPS16;MRPL18;RPL36AL;MRPS21;RPL10;RPL36A;MRPL30;MRPL14;MRPL23;RPS26;MRPS14;RPLP0;RPS13;RPS19;MRPL19;MRPS2;MRPL11;RPS27L;MRPL33
gsea,Parkinson disease,-0.7342791935375971,-2.8032814445143863,0.0,0.0,0.0,80/109,17.68%,UBB;SLC25A4;ATP5B;COX6C;CYC1;COX8A;UQCRQ;NDUFA1;NDUFA3;NDUFS5;PARK7;COX4I1;COX5B;ATP5H;COX6B1;ATP5O;SLC25A5;NDUFA4;ATP5J;UQCRB;VDAC1;COX5A;ATP5D;ATP5G2;COX7C;COX7A2L;UQCR10;COX6A1;NDUFB11;ATP5E;NDUFS2;NDUFB3;NDUFA2;UQCRH;UQCRC1;NDUFA13;NDUFB10;ATP5G3;COX7A2;COX7B;UBE2J1;NDUFS8;CYCS;NDUFS7;UQCR11;UQCRC2;ATP5G1;PINK1;ATP5A1;NDUFA7;ATP5C1;VDAC3;GNAI1;NDUFB8;UBA1;NDUFV2;NDUFA8;SNCA;NDUFC1;NDUFV1;NDUFC2;UCHL1;GNAI2;NDUFA12;NDUFB6;SLC18A2;VDAC2;NDUFA10;NDUFB4;NDUFA5;NDUFS6;NDUFB5;SDHA;SDHD;PRKACB;NDUFAB1;UQCRFS1;SDHB;GPR37;NDUFA9
gsea,Oxidative phosphorylation,-0.746857484217629,-2.7857898447863207,0.0,0.0,0.0,75/103,16.29%,ATP6V0C;ATP5B;COX6C;ATP6V1D;CYC1;COX8A;UQCRQ;ATP6V1A;NDUFA1;NDUFA3;NDUFS5;COX4I1;COX5B;ATP5H;ATP6V1G2;COX6B1;ATP5O;COX17;ATP6V0E2;NDUFA4;ATP5J;UQCRB;COX5A;ATP5D;ATP5G2;COX7C;COX7A2L;UQCR10;COX6A1;ATP5K;NDUFB11;ATP5E;NDUFS2;NDUFB3;NDUFA2;ATP6V0B;UQCRH;UQCRC1;NDUFA13;NDUFB10;ATP5G3;COX7A2;COX7B;NDUFS8;ATP6V1F;ATP5L;NDUFS7;UQCR11;UQCRC2;ATP5G1;ATP5A1;NDUFA7;ATP5C1;NDUFB8;NDUFV2;NDUFA8;NDUFC1;NDUFV1;NDUFC2;ATP5J2;ATP6V1C1;NDUFA12;NDUFB6;NDUFA10;NDUFB4;ATP6V1E1;NDUFA5;ATP6V1B2;NDUFS6;NDUFB5;SDHA;SDHD;NDUFAB1;ATP6V1G1;UQCRFS1
gsea,Alzheimer disease,-0.6527749631205535,-2.6579476238200317,0.0,0.0,0.0,74/135,14.20%,CALM1;CALM2;GAPDH;CALM3;ATP5B;COX6C;PPP3CA;APOE;CYC1;COX8A;UQCRQ;NDUFA1;NDUFA3;NDUFS5;COX4I1;COX5B;ATP5H;COX6B1;ATP5O;NDUFA4;ATP5J;UQCRB;COX5A;ATP5D;ATP5G2;COX7C;COX7A2L;UQCR10;COX6A1;NDUFB11;ATP5E;NDUFS2;NDUFB3;NDUFA2;UQCRH;UQCRC1;NDUFA13;NDUFB10;ATP5G3;PSENEN;COX7A2;COX7B;NDUFS8;PPP3R1;CYCS;NDUFS7;UQCR11;UQCRC2;ATP5G1;PPP3CB;ATP5A1;NDUFA7;ATP5C1;APH1A;NDUFB8;RTN4;NDUFV2;NDUFA8;SNCA;NDUFC1;NDUFV1;CDK5R1;NDUFC2;BAD;NDUFA12;NDUFB6;NDUFA10;MAPK3;NDUFB4;NDUFA5;NDUFS6;NDUFB5;SDHA;GSK3B
gsea,Huntington disease,-0.6269974028630422,-2.6454414461198636,0.0,0.0,0.0,91/154,20.47%,SLC25A4;ATP5B;COX6C;CYC1;COX8A;UQCRQ;NDUFA1;NDUFA3;NDUFS5;COX4I1;CLTA;COX5B;ATP5H;COX6B1;ATP5O;SLC25A5;NDUFA4;ATP5J;BDNF;UQCRB;VDAC1;COX5A;AP2M1;ATP5D;ATP5G2;COX7C;COX7A2L;UQCR10;COX6A1;NDUFB11;ATP5E;NDUFS2;NDUFB3;NDUFA2;UQCRH;UQCRC1;NDUFA13;NDUFB10;BAX;ATP5G3;COX7A2;COX7B;NDUFS8;POLR2G;POLR2F;SOD1;CYCS;NDUFS7;UQCR11;UQCRC2;ATP5G1;ATP5A1;NDUFA7;POLR2I;ATP5C1;VDAC3;NDUFB8;NDUFV2;NDUFA8;DNAL4;NDUFC1;NDUFV1;POLR2E;POLR2C;NDUFC2;NDUFA12;NDUFB6;VDAC2;NDUFA10;NDUFB4;NDUFA5;NDUFS6;NDUFB5;SDHA;TFAM;AP2S1;SDHD;NDUFAB1;UQCRFS1;DNAH7B;TBPL1;SDHB;NDUFA9;POLR2L;AP2B1;DCTN1;NDUFA11;CREB3L2;NDUFB7;NDUFB9;NDUFB2
gsea,Non-alcoholic fatty liver disease (NAFLD),-0.61114953187905,-2.5306582518190783,0.0,0.0,0.0,66/116,20.47%,COX6C;CYC1;COX8A;RAC1;UQCRQ;NDUFA1;NDUFA3;NDUFS5;JUN;COX4I1;COX5B;COX6B1;NDUFA4;UQCRB;COX5A;CDC42;COX7C;COX7A2L;UQCR10;COX6A1;NDUFB11;NDUFS2;NDUFB3;NDUFA2;UQCRH;UQCRC1;NDUFA13;NDUFB10;BAX;COX7A2;COX7B;NDUFS8;CYCS;NDUFS7;UQCR11;UQCRC2;IRS2;NDUFA7;NDUFB8;NDUFV2;CEBPA;NDUFA8;NDUFC1;NDUFV1;NDUFC2;NDUFA12;NDUFB6;NDUFA10;XBP1;NDUFB4;NDUFA5;NDUFS6;NDUFB5;SDHA;GSK3B;SDHD;NDUFAB1;UQCRFS1;SDHB;NDUFA9;NDUFA11;NDUFB7;NDUFB9;PIK3R2;ADIPOR2;NDUFB2
gsea,Thermogenesis,-0.551256558562732,-2.471582356626379,0.0,0.0,0.0,97/182,20.47%,ACTB;ATP5B;GNAS;COX6C;CYC1;COX8A;UQCRQ;ACTG1;RPS6;NDUFA1;NDUFA3;NDUFS5;ACSL3;COX4I1;COX5B;ATP5H;COX6B1;ATP5O;COX17;NDUFA4;ATP5J;UQCRB;COX5A;ATP5D;ATP5G2;COX7C;COX7A2L;UQCR10;COX6A1;ATP5K;COA3;NDUFB11;ATP5E;NDUFS2;NDUFB3;NDUFA2;RHEB;UQCRH;UQCRC1;NDUFA13;NDUFB10;ATP5G3;COX7A2;COX7B;NDUFS8;ATP5L;NDUFS7;UQCR11;UQCRC2;ATP5G1;ATP5A1;NDUFA7;ATP5C1;HRAS;NDUFB8;COX20;NDUFV2;NDUFA8;NDUFC1;NDUFV1;NDUFC2;COX14;FGFR1;KRAS;ATP5J2;COA7;NDUFA12;NDUFB6;NDUFA10;NDUFB4;NDUFA5;AKT1S1;SIRT6;NDUFS6;NDUFB5;SDHA;SDHD;COX19;PRKACB;NDUFAB1;UQCRFS1;NDUFAF3;ADCY10;SDHB;SMARCE1;NDUFA9;SLC25A29;ATF2;NDUFAF2;NDUFA11;NRAS;CREB3L2;NDUFB7;COA5;NDUFB9;SMARCB1;NDUFB2
gsea,Nicotine addiction,0.721061309808568,2.4155840461785103,0.0,0.0,0.0,10/29,2.49%,GRIA3;GRIN2A;GRIA1;GRIN1;GABRA2;CACNA1A;GABRG3;GRIA4;CHRNA4;CACNA1B
gsea,Proteasome,-0.6469435264612315,-2.282117160361225,0.0,0.0,0.0,23/40,14.24%,PSMA7;PSMB5;PSMC3;SEM1;PSMC2;PSMA4;PSMA5;PSMD2;PSMD4;PSMC5;POMP;PSMB1;PSMA3;PSMD6;PSMA1;PSMB3;ADRM1;PSMC1;PSMD7;PSMC4;PSME3;PSMA2;PSMC6
gsea,Legionellosis,-0.6714574690033577,-2.241658938066524,0.0,0.0,0.0,11/30,9.11%,EEF1A1;HSPA8;ARF1;EEF1G;EEF1A2;HSPA2;RAB1B;IL18;CYCS;NFKB2;SAR1A
