Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
gsea,Cytoplasmic Translation (GO:0002181),-0.8354236250154637,-2.9565469292434665,0.0,0.0,0.0,73/89,9.58%,RPL17;RPL38;RPS27;RPL27A;RPLP1;RPL22L1;RPL37A;EIF4A2;RPS8;RPL3;RPS27A;RPS23;RPS16;RPL9;RPL13;RPS6;RPL30;RPS29;RPL4;RPL19;RPL35A;RPS21;RPS24;RPL41;RPL21;RPL37;FAU;RPS10;RPL39;RPL15;RPSA;RPS25;RPL32;RPL5;RPL22;RPS28;RPL35;RPS15A;RPL26;RPS4X;RPL14;RPL24;RPL6;RPLP2;RPS15;RPL13A;RPS2;RPL36;RPL11;RPL8;RPS9;RPS7;RPS19;RPS3;RPS20;RPL12;RPL36AL;RPL28;RPL10A;RPL18A;RPS11;RPL29;RPL23A;RACK1;RPS14;RPL7A;RPS5;EIF3M;RPS17;RPS26;RPS18;RPL27;RPL10
gsea,Gene Expression (GO:0010467),-0.6208870186768539,-2.881653010347994,0.0,0.0,0.0,135/266,18.64%,RPL17;EEF1A1;RPL38;RPS27;RPL27A;HNRNPA2B1;RPLP1;PABPN1;RBM39;RPL37A;RPS8;RPL3;RPS27A;RPS23;RPS16;RPL9;RPL13;RPS6;HNRNPH1;RPL30;RPS29;RPL4;RPL19;RPL35A;RPS21;RPS24;RPL41;RPL21;RPL37;FAU;HNRNPK;RPS10;HNRNPU;RPL39;RPL15;RPSA;RPS25;RPL32;RPL5;RPL22;RPS28;RPL35;RPS15A;RPL26;RPS4X;RPL14;RPL24;RPL6;RPLP2;TPR;HNRNPD;RPS15;RPL13A;RBM8A;RPS2;UPF2;RPL36;RPL11;RPL8;RPS9;RPS7;DNAJB11;RPS19;RPS3;RPS20;MRPL52;RPL12;RPL36AL;RPL28;AGFG1;RPL10A;THOC2;RPL18A;RPS11;SETX;SYNCRIP;RPL29;RPL23A;DUSP11;BICD1;MRPL11;HNRNPUL1;RPS14;RPL7A;SRSF3;RPS5;MRPL12;RRBP1;HSPD1;SORL1;XRN2;DDX17;NUP88;HNRNPH3;MRPL36;RPS17;RPS26;RPS18;EEF1A2;SMG6;RPL27;RPL10;FYTTD1;YTHDC1;RBM6;HBS1L;TESC;MBTPS2;RPL34;SMG7;NXF1;RBM3;RPL7;MRPS5;PABPC4;MRPS21;HNRNPL;RPS13;DIS3;MRPS7;MRPL35;THOC1;MRPS14;RPLP0;MRPS17;SMG1;MRPS33;RPL31;ALYREF;DNTTIP2;TSPAN33;MRPL18;HNRNPF;SMG5;EXOSC5
gsea,Macromolecule Biosynthetic Process (GO:0009059),-0.6817561976007505,-2.8688596638110386,0.0,0.0,0.0,92/169,14.81%,RPL17;EEF1A1;RPL38;RPS27;RPL27A;RPLP1;RPL37A;RPS8;RPL3;RPS27A;RPS23;RPS16;RPL9;RPL13;RPS6;RPL30;B4GAT1;RPS29;APOE;RPL4;RPL19;RPL35A;RPS21;RPS24;RPL41;RPL21;RPL37;FAU;RPS10;RPL39;RPL15;RPSA;RPS25;RPL32;RPL5;RPL22;RPS28;RPL35;RPS15A;RPL26;RPS4X;RPL14;RPL24;RPL6;RPLP2;RPS15;RPL13A;RPS2;RPL36;RPL11;RPL8;EIF4G2;RPS9;RPS7;RPS19;RPS3;RPS20;MRPL52;RPL12;RPL36AL;RPL28;RPL10A;EIF5A;RPL18A;RPS11;RPL29;RPL23A;MRPL11;RPS14;RPL7A;RPS5;MRPL12;EEF1G;RRBP1;MRPL36;RPS17;RPS26;RPS18;EEF1A2;RPL27;RPL10;HBS1L;RPL34;RPL7;MRPS5;PABPC4;TYMS;MRPS21;RPS13;LARGE1;MRPS7;MRPL35
gsea,Peptide Biosynthetic Process (GO:0043043),-0.6905577092397387,-2.8123220291276203,0.0,0.0,0.0,92/140,17.56%,RPL17;EEF1A1;RPL38;RPS27;RPL27A;RPLP1;RPL37A;RPS8;RPL3;RPS27A;RPS23;RPS16;RPL9;RPL13;RPS6;RPL30;RPS29;RPL4;RPL19;RPL35A;RPS21;RPS24;RPL41;RPL21;RPL37;FAU;RPS10;RPL39;RPL15;RPSA;RPS25;RPL32;RPL5;RPL22;RPS28;RPL35;RPS15A;RPL26;RPS4X;RPL14;RPL24;RPL6;RPLP2;RPS15;RPL13A;RPS2;RPL36;RPL11;RPL8;RPS9;RPS7;RPS19;RPS3;RPS20;MRPL52;RPL12;RPL36AL;RPL28;RPL10A;RPL18A;RPS11;RPL29;RPL23A;MRPL11;RPS14;RPL7A;RPS5;MRPL12;RRBP1;MRPL36;RPS17;RPS26;RPS18;EEF1A2;RPL27;RPL10;HBS1L;RPL34;RPL7;MRPS5;PABPC4;MRPS21;RPS13;GGT7;MRPS7;MRPL35;MRPS14;CARNS1;RPLP0;MRPS17;MRPS33;RPL31
gsea,Translation (GO:0006412),-0.6312072317814813,-2.7640252910247787,0.0,0.0,0.0,108/212,17.56%,RPL17;EEF1A1;RPL38;RPS27;RPL27A;RPLP1;RPL22L1;RPL37A;RPS8;RPL3;RPS27A;RPS23;RPS16;RPL9;RPL13;RPS6;RPL30;RPS29;RPL4;RPL19;RPL35A;RPS21;RPS24;RPL41;RPL21;RPL37;FAU;RPS10;LARS2;RPL39;RPL15;RPSA;RPS25;RPL32;RPL5;RPL22;RPS28;RPL35;RPS15A;RPL26;RPS4X;RPL14;RPL24;RPL6;RPLP2;RPS15;RPL13A;RPS2;RPL36;RPL11;RPL8;RPS9;RPS7;RPS19;RPS3;RPS20;MRPL52;RPL12;RPL36AL;RPL28;RPL10A;EIF5A;RPL18A;RPS11;RPL29;RPL23A;RACK1;MRPL11;RPS14;AURKAIP1;RPL7A;MRPS34;RPS5;MRPL12;EEF1G;RRBP1;MRPL20;MRPL36;RPS17;MRPL47;RPS26;RPS18;EEF1A2;RPL27;RPL10;MRPS9;HBS1L;RPL34;NDUFA7;MRPS2;RPL7;MRPL57;MRPS5;PABPC4;ZC3H15;MRPS21;RPS13;MRPL49;MRPS7;MRPL35;CHCHD1;MRPS14;MTG1;RPLP0;MRPS17;MRPS33;ETF1;RPL31
gsea,protein-RNA Complex Assembly (GO:0022618),-0.5823131162989685,-2.6428807082145878,0.0,0.0,0.0,71/140,22.13%,HSP90AA1;RPL38;RPS27;SRSF1;LUC7L3;HSP90AB1;RSRP1;CELF3;SRSF5;RPSA;EIF3C;RPL5;RPS28;RPL6;SF3B1;EIF5;CPSF6;RPS15;RPL11;LUC7L2;RPS19;CELF1;HNRNPC;SETX;RPL23A;RPS27L;EIF3F;RPS14;RPS5;EIF3M;MRPL20;SRSF10;SCAF11;SNRPD2;KHDC4;RPL10;CDC73;EIF2S2;SMN1;SF3A2;DHX9;YTHDC1;SRSF6;STRAP;DICER1;SNRNP200;DDX1;ZRSR2;AGO4;EIF3L;CELF4;SART1;HEXIM1;TGS1;MRPS7;EIF3D;EIF3I;SNRPF;RPLP0;MCTS1;RRP7A;PTGES3;WDR77;DDX20;CELF5;PRPF19;EIF3E;DHX29;RRS1;CPSF7;EIF3G
gsea,mRNA Processing (GO:0006397),-0.5544669310101016,-2.616438460366312,0.0,0.0,0.0,99/201,24.72%,DDX5;HNRNPA3;SON;HNRNPA2B1;SRSF1;SNRNP70;HNRNPA0;HNRNPH1;SRRM2;HSPA8;HTATSF1;PABPC1;HNRNPK;HNRNPU;SRSF5;CWF19L2;SF3B1;CPSF6;RBM8A;CDC40;SNRNP27;PNN;SRSF2;TRA2B;ZMAT2;SF3B2;RALY;FBXO11;CELF1;PRPF4B;HNRNPC;SYNCRIP;CWC15;SNU13;TRA2A;SRSF3;DHX15;SRSF7;HNRNPA1;SRSF10;SCAF11;PRPF40A;RNPC3;HNRNPH3;SNRPD2;HNRNPM;SRRM4;WBP4;LSM8;FRG1;SF3A2;YTHDC1;RBM6;BCAS2;SRSF6;SF3B5;SNIP1;SNRNP200;GPATCH1;ZRSR2;CMTR1;METTL14;PRPF8;PPWD1;SART1;HEXIM1;SRRM1;PRKACA;DDX46;SNRPF;LSM5;SNRPA1;PAPOLA;SRSF12;ALYREF;HNRNPF;CWC27;RPRD1A;RBM22;TCERG1;DDX41;PRPF19;IK;CPSF7;RNMT;CDC5L;SF3A1;RPRD2;EFTUD2;WDR83;SF3B3;RBM42;SNW1;RSRC1;SF3B4;CWF19L1;BUD31;RAMAC;NUDT21
gsea,Regulation Of RNA Splicing (GO:0043484),-0.622377969098887,-2.6000453262339156,0.0,0.0,0.0,43/85,21.07%,SON;RBM39;SRSF1;SNRNP70;HNRNPH1;FUS;HNRNPK;SLC38A2;TIA1;PTBP2;HNRNPH2;QKI;CCNL2;TRA2B;PTBP3;CELF1;SETX;PIK3R1;USP22;SRSF3;HNRNPA1;SRSF10;HNRNPH3;TMBIM6;RPS26;PQBP1;SRRM4;YTHDC1;HABP4;SF3B5;HNRNPL;RPS13;SRRM1;LARP7;CLK1;CLK4;ENY2;HNRNPF;AHNAK;RBM22;KAT2B;HNRNPLL;MBNL2
gsea,Ribonucleoprotein Complex Biogenesis (GO:0022613),-0.5871960819942015,-2.588158392200187,0.0,0.0,0.0,41/112,14.09%,RPL38;RPS27;RPS8;RPS23;RPS16;RPS6;RPL35A;RPS24;RPS25;RPL5;RPS28;RPS15A;RPL26;RPS4X;RPL14;RPS15;NPM1;RPL11;NOL7;RPS9;RPS7;RPS19;NOP58;GLUL;RPS11;SPATA5;NOP56;SNU13;RPS14;RPS5;MRPL36;RPS17;NVL;UTP3;KRR1;RPL7;GTPBP4;RIOK1;PAK1IP1;RPS13;TGS1
gsea,Aerobic Electron Transport Chain (GO:0019646),-0.6960103059331809,-2.575352075193523,0.0,0.0,0.0,45/63,19.49%,COX7C;COX6C;UQCRB;NDUFA4;COX8A;COX5A;NDUFA2;NDUFA1;COX6A1;NDUFB8;UQCR11;COX5B;CYCS;NDUFB9;NDUFS5;UQCRH;NDUFA5;SDHA;UQCRC2;COX7A2;NDUFB10;UQCRQ;COX7B;NDUFB1;NDUFB3;NDUFAB1;NDUFC1;NDUFA3;NDUFA7;NDUFS7;NDUFS4;NDUFB6;UQCRFS1;COX4I1;COX6B1;SDHD;NDUFV1;NDUFB2;SLC25A51;NDUFS1;NDUFC2;NDUFS2;CYC1;NDUFS6;NDUFA6
gsea,"mRNA Splicing, Via Spliceosome (GO:0000398)",-0.541448305519266,-2.5625695908373984,0.0,0.0,0.0,93/199,24.60%,DDX5;HNRNPA3;HNRNPA2B1;SRSF1;SNRNP70;HNRNPH1;SRRM2;HSPA8;HTATSF1;RSRP1;PABPC1;HNRNPK;HNRNPU;SRSF5;CWF19L2;SF3B1;RBM8A;CDC40;SNRNP27;PNN;SRSF2;TRA2B;ZMAT2;SF3B2;RALY;PRPF4B;HNRNPC;SYNCRIP;CWC15;SNU13;TRA2A;SRSF3;DHX15;SRSF7;HNRNPA1;SRSF10;SCAF11;DDX17;PRPF40A;RNPC3;HNRNPH3;SNRPD2;PQBP1;HNRNPM;WBP4;LSM8;FRG1;SMN1;SF3A2;DHX9;YTHDC1;RBM6;BCAS2;SRSF6;SF3B5;STRAP;SNIP1;CDK13;SNRNP200;DDX1;GPATCH1;ZRSR2;METTL14;PRPF8;PPWD1;CELF4;SART1;TGS1;SRRM1;DDX46;SNRPF;LSM5;SNRPA1;SRSF12;HNRNPF;CWC27;WDR77;RBM22;DDX20;DDX41;PRPF19;IK;CDC5L;SF3A1;EFTUD2;WDR83;SF3B3;RBM42;SNW1;RSRC1;SF3B4;CWF19L1;BUD31
gsea,"RNA Splicing, Via Transesterification Reactions With Bulged Adenosine As Nucleophile (GO:0000377)",-0.5478459868486756,-2.5470988254633693,0.0,0.0,0.0,80/169,24.60%,DDX5;HNRNPA3;HNRNPA2B1;SRSF1;SNRNP70;HNRNPH1;SRRM2;HSPA8;HTATSF1;PABPC1;HNRNPK;HNRNPU;SRSF5;CWF19L2;SF3B1;RBM8A;CDC40;SNRNP27;PNN;SRSF2;TRA2B;ZMAT2;SF3B2;RALY;PRPF4B;HNRNPC;SYNCRIP;CWC15;SNU13;TRA2A;SRSF3;DHX15;SRSF7;HNRNPA1;SRSF10;PRPF40A;RNPC3;HNRNPH3;SNRPD2;HNRNPM;WBP4;LSM8;FRG1;SF3A2;YTHDC1;RBM6;BCAS2;SRSF6;SF3B5;SNIP1;SNRNP200;GPATCH1;ZRSR2;METTL14;PRPF8;PPWD1;SART1;SRRM1;DDX46;SNRPF;LSM5;SNRPA1;SRSF12;HNRNPF;CWC27;RBM22;DDX41;PRPF19;IK;CDC5L;SF3A1;EFTUD2;WDR83;SF3B3;RBM42;SNW1;RSRC1;SF3B4;CWF19L1;BUD31
gsea,Mitochondrial ATP Synthesis Coupled Electron Transport (GO:0042775),-0.6807741542476293,-2.5361096375656103,0.0,0.0,0.0,44/65,19.49%,COX7C;COX6C;UQCRB;NDUFA4;COX8A;COX5A;NDUFA2;NDUFA1;COX6A1;NDUFB8;UQCR11;COX5B;CYCS;NDUFB9;NDUFS5;UQCRH;NDUFA5;SDHA;UQCRC2;COX7A2;NDUFB10;UQCRQ;COX7B;NDUFB1;NDUFB3;NDUFAB1;NDUFC1;NDUFA3;NDUFA7;NDUFS7;NDUFS4;NDUFB6;UQCRFS1;COX4I1;COX6B1;SDHD;NDUFV1;NDUFB2;NDUFS1;NDUFC2;NDUFS2;CYC1;NDUFS6;NDUFA6
