Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
gsea,Myc Targets V1,-0.5875723558636452,-2.66155079422706,0.0,0.0,0.0,94/188,21.30%,HNRNPA3;HNRNPA2B1;SRSF1;PPIA;SET;SSB;RPS6;HNRNPU;HSP90AB1;RAN;RPS10;PABPC1;COX5A;RPL6;PCBP1;RPS2;RPL22;H2AZ1;HSPE1;SERBP1;RPL14;HNRNPD;DEK;NPM1;RPS3;EIF1AX;DHX15;PSMA7;YWHAE;EIF4G2;TRA2B;CNBP;RACK1;HDAC2;ACP1;PSMC6;YWHAQ;HDGF;TCP1;HNRNPC;NOP56;EIF4H;SLC25A3;GLO1;RPS5;HNRNPA1;SRSF3;SYNCRIP;VDAC1;SRSF7;CANX;SRSF2;NAP1L1;EIF4A1;PABPC4;CBX3;PCNA;NDUFAB1;HSPD1;SNRPD2;NME1;ILF2;EIF2S2;PSMA1;EIF3D;PSMA4;PHB2;VBP1;USP1;MCM6;DDX21;RPL34;LDHA;G3BP1;SF3B3;PRDX3;POLE3;PSMD14;PSMD1;TYMS;GOT2;PGK1;GNL3;SF3A1;RAD23B;PTGES3;CYC1;ERH;RPLP0;UBE2L3;FBL;RFC4;ODC1;CSTF2
gsea,Oxidative Phosphorylation,-0.5627810408619316,-2.5111242838797536,0.0,0.0,0.0,114/176,32.16%,ATP1B1;SLC25A4;UQCRB;NDUFA4;COX7C;COX6C;COX8A;ATP6V1D;COX5A;OPA1;HSPA9;ATP6AP1;ATP6V0C;TOMM22;NDUFA1;COX7A2L;ATP6V1E1;GPX4;NDUFA2;ATP5PB;UQCR11;NDUFB8;ATP6V1G1;COX5B;SLC25A5;COX7A2;CYCS;COX6A1;SLC25A3;MRPL11;COX17;LRPPRC;NDUFA5;SLC25A11;DLD;NDUFC1;COX7B;LDHB;ISCU;VDAC1;ATP6V1F;UQCRC2;MTX2;ATP6V1H;MDH2;NDUFB3;SDHA;IDH3A;NDUFAB1;VDAC2;MDH1;NDUFB6;SDHD;UQCRQ;UQCRH;NDUFB1;TIMM10;NDUFA3;UQCRFS1;OXA1L;NDUFB2;PHB2;HADHB;IDH2;LDHA;NDUFS7;SUPV3L1;PRDX3;HCCS;SURF1;NDUFS4;NDUFS1;GOT2;NDUFV1;COX6B1;GLUD1;ABCB7;OAT;MRPL35;IDH3B;CYC1;HTRA2;ECI1;TIMM8B;NDUFA6;COX4I1;TIMM9;RHOT1;AIFM1;NDUFA9;NDUFS6;CS;ALDH6A1;PMPCA;NDUFC2;PHYH;PDHX;OGDH;NDUFS2;RETSAT;NDUFA7;COX15;ACO2;COX11;BAX;SUCLG1;NDUFB7;VDAC3;DLAT;PDHB;MRPS15;ACADSB;MPC1;ECH1
gsea,G2-M Checkpoint,-0.4605489540511272,-2.1676563974170167,0.0,0.0,0.0,52/163,19.34%,ATRX;SRSF1;TOP1;MARCKS;NCL;PURA;HNRNPU;HSPA8;PDS5B;RASAL2;H2AZ1;KIF5B;CDKN1B;HNRNPD;STMN1;CDC27;SMC1A;TRA2B;PAFAH1B1;PRPF4B;SMC4;CKS2;RAD21;STAG1;YTHDC1;ODF2;EWSR1;SYNCRIP;SRSF2;SS18;SRSF10;CUL5;CBX1;SLC38A1;GINS2;CUL3;HMGN2;CTCF;MCM6;CCNT1;CHMP1A;G3BP1;MTF2;CUL4A;NUMA1;SMAD3;TMPO;SLC12A2;H2AX;BRCA2;RAD23B;AMD1
gsea,mTORC1 Signaling,-0.46202175760808095,-2.163706061597491,0.0,0.0,0.0,64/180,21.70%,PPIA;NMT1;ACTR2;ATP6V1D;ACTR3;TUBA4A;CCT6A;HSPA9;ALDOA;HSPE1;GTF2H1;GAPDH;SQSTM1;GMPS;MLLT11;HMGCS1;HSP90B1;PSMC6;HSPA4;ACSL3;RAB1A;SSR1;GSK3B;PSMC2;TPI1;STARD4;TCEA1;TBK1;ADD3;GOT1;CANX;PLOD2;HSPD1;CORO1A;TFRC;EIF2S2;INSIG1;PSMA4;EEF1E1;PSMD12;CACYBP;ATP2A2;PSME3;IGFBP5;BHLHE40;LDHA;HSPA5;TOMM40;PRDX1;PSMD14;BTG2;PSMB5;HMGCR;PGK1;HMBS;GGA2;ARPC5L;SC5D;VLDLR;PDAP1;TM7SF2;XBP1;M6PR;CYB5B
gsea,Protein Secretion,-0.5022496669450158,-2.1475250730984863,0.0,0.0,0.0,51/89,28.47%,MAPK1;GNAS;ATP1A1;DNM1L;RAB14;AP2M1;MON2;SCAMP1;VAMP4;CLCN3;BNIP3;OCRL;AP2S1;CLTC;ANP32E;ATP6V1H;ADAM10;TMED2;STX16;DOP1A;SOD1;NAPA;NAPG;COPB1;SEC22B;ARF1;ABCA1;ARFGEF1;STX7;SNX2;STAM;GBF1;YIPF6;COG2;RAB2A;LAMP2;VPS45;SCAMP3;M6PR;VPS4B;SEC24D;SCRN1;BET1;ARFIP1;PPT1;KIF1B;AP1G1;STX12;ATP7A;AP2B1;ARCN1
gsea,UV Response Up,-0.47914050298636796,-2.1070726248433314,0.0,0.00030096685602498023,0.001,52/118,25.16%,PLCL1;SLC25A4;HNRNPU;CCK;RHOB;TUBA4A;DNAJA1;ALDOA;DLG4;SQSTM1;EIF5;SELENOW;RASGRP1;BSG;ENO2;FEN1;GRINA;ATP6V1F;AP2S1;TMBIM6;JUNB;NXF1;PARP2;TFRC;STK25;CEBPG;RXRB;PPP1R2;DDX21;OLFM1;PRKACA;POLE3;BTG2;CCNE1;H2AX;MARK2;AMD1;NFKBIA;PDAP1;SOD2;RFC4;CDC34;CYB5B;MAPK8IP2;IL6ST;POLG2;UROD;SIGMAR1;PSMC3;CDC5L;BTG3;CDO1
gsea,Adipogenesis,-0.42965084484520727,-2.0693746406344182,0.0,0.0002579715908785545,0.001,73/175,30.06%,SPARCL1;NMT1;COX8A;GHITM;ALDOA;RTN3;ITGA7;GPX4;PDCD4;GPHN;DNAJC15;UQCR11;APOE;CHCHD10;MGLL;G3BP2;COX6A1;YWHAG;MAP4K3;NDUFA5;DLD;MTCH2;COX7B;ITIH5;UBC;ACOX1;APLP2;MDH2;IDH3A;NDUFAB1;REEP5;UQCRQ;AGPAT3;JAGN1;SOD1;GPD2;CIDEA;TOB1;ARAF;ATL2;ABCA1;RIOK3;ADCY6;NKIRAS1;DHRS7;PRDX3;TANK;CHUK;LPCAT3;CYC1;SLC27A1;BCL2L13;PTCD3;AIFM1;SOWAHC;ELMOD3;CCNG2;CAT;CS;QDPR;SCP2;ENPP2;PHYH;RETSAT;LPL;PFKL;VEGFB;DHCR7;ACO2;PPM1B;DNAJB9;SUCLG1;NDUFB7
gsea,heme Metabolism,-0.43642980862566344,-2.0410459212735237,0.0,0.00045145028403747035,0.002,57/160,24.41%,TOP1;SDCBP;ADD2;NFE2L1;FOXO3;GMPS;KDM7A;BSG;CDC27;TNRC6B;RNF19A;HDGF;SYNJ1;H4C3;EPB41;ARL2BP;ARHGEF12;CTSB;TCEA1;USP15;CLCN3;TRAK2;CIR1;PRDX2;GLRX5;EPOR;TFRC;CPOX;TFDP2;OSBP2;RIOK3;MPP1;PICALM;IGSF3;SLC66A2;EZH1;BNIP3L;BTG2;TSPAN5;HMBS;GDE1;BLVRA;LAMP2;HTRA2;DMTN;SLC11A2;HAGH;SLC30A1;RBM5;CAT;MBOAT2;SNCA;ALDH6A1;SPTB;MYL4;UROD;UBAC1
gsea,Unfolded Protein Response,-0.45649820425662146,-1.9857020049727963,0.0,0.00040128914136664033,0.002,49/100,34.76%,EIF4A2;FUS;YWHAZ;HSPA9;CEBPB;TUBB2A;KIF5B;DCP2;NPM1;HSP90B1;ATF6;NOP56;CNOT6;SSR1;SPCS3;BANF1;DCTN1;KHSRP;RPS14;EIF4A1;PAIP1;CEBPG;EXOC2;HSPA5;H2AX;CNOT4;XBP1;EXOSC5;EEF2;EXOSC4;ATF4;DDIT4;EIF4G1;XPOT;NOLC1;EXOSC1;DDX10;SERP1;ATP6V0D1;SPCS1;DNAJB9;ALDH18A1;TSPYL2;EXOSC9;EXOSC2;DNAJC3;SEC11A;BAG3;ERO1A
gsea,E2F Targets,-0.4183543852639982,-1.9806295952310455,0.0,0.0003611602272299763,0.002,82/165,39.21%,PSIP1;SRSF1;LUC7L3;RAN;PDS5B;SMC6;H2AZ1;SMC3;CDKN1B;HNRNPD;DEK;STMN1;PNN;SMC1A;TRA2B;CBX5;SMC4;CKS2;NOP56;RAD21;STAG1;RBBP7;IPO7;SYNCRIP;SRSF2;NAP1L1;ANP32E;PCNA;TFRC;NME1;ING3;POP7;RFC1;USP1;CTCF;MCM6;GINS4;TMPO;CCNE1;H2AX;BRCA2;PAN2;NUDT21;ORC6;PAICS;PRPS1;DNMT1;RNASEH2A;NOLC1;MSH2;UBR7;LBR;PRKDC;BRMS1L;TACC3;CHEK1;CCP110;GSPT1;WEE1;TBRG4;PA2G4;SUV39H1;AK2;SNRPB;XPO1;SSRP1;HMGA1;RAD51C;RFC3;PHF5A;CDK4;PLK1;DCTPP1;EXOSC8;RFC2;SLBP;CDC25B;NAA38;NASP;UBE2S;NUP205;GINS3
