"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","direction"
1.51373039576862e-37,0.345135284596607,1,1,4.06739357343027e-33,"Pcdh9","Up"
3.39658352289323e-36,1.60304722087091,0.665,0.406,9.12661992601411e-32,"Brinp3","Up"
6.71490232656072e-36,-0.78499493883621,0.994,0.999,1.80429425514687e-31,"Plp1","Down"
2.45938701975467e-30,0.57966285372714,0.976,0.966,6.60837292208079e-26,"Grik2","Up"
1.47301040163335e-29,0.596841674228934,0.972,0.96,3.95797894918882e-25,"Naaladl2","Up"
3.30481763730037e-28,0.981741292063357,0.816,0.701,8.88004499142609e-24,"Ralyl","Up"
3.48532965854591e-26,-0.903333903394925,0.561,0.867,9.36508079251285e-22,"Hsp90aa1","Down"
9.65739757530565e-26,0.740874722042602,0.91,0.881,2.59494272848463e-21,"Lingo2","Up"
1.64917047601784e-25,0.834741465359714,0.838,0.726,4.43132106905993e-21,"Mir99ahg","Up"
2.38638003007028e-25,-0.363024676335913,1,1,6.41220314079884e-21,"Malat1","Down"
2.94486604949763e-25,0.465641884489641,0.996,0.987,7.91285507500013e-21,"Erbb4","Up"
1.56459041997714e-24,0.46467605472747,0.992,0.994,4.20405445847858e-20,"Cadm2","Up"
3.29184843975722e-23,0.619253037927704,0.92,0.887,8.84519675762764e-19,"Dpp10","Up"
4.19924728046796e-20,0.473409662635996,0.966,0.959,1.12833774426174e-15,"Tenm2","Up"
1.95759295811038e-19,0.332503985680974,1,1,5.26005227844259e-15,"Tmeff2","Up"
3.15065298642549e-19,0.46507724853493,0.98,0.978,8.4658045745253e-15,"Il1rapl1","Up"
5.76824215323239e-17,-0.843282856087942,0.367,0.656,1.54992666657354e-12,"Calm1","Down"
6.8621699168765e-17,-1.19656983685839,0.176,0.431,1.84386505666472e-12,"Sparcl1","Down"
8.33003570188428e-17,1.53043849595904,0.377,0.175,2.23828059309631e-12,"Dach2","Up"
2.11080434887769e-16,-0.855339986913861,0.242,0.513,5.67173128543435e-12,"Kcna1","Down"
2.15332062364928e-16,0.387368432873578,0.972,0.982,5.78597251574562e-12,"Nlgn1","Up"
3.35348424788361e-16,-0.889551760075107,0.301,0.573,9.01081217406326e-12,"Tmsb4x","Down"
1.18620968057934e-15,-1.59082641483726,0.076,0.265,3.1873454117167e-11,"Aldoa","Down"
1.54863197317184e-15,-0.944152289429909,0.21,0.47,4.16117411191273e-11,"Nrgn","Down"
1.85213345531805e-15,-0.559073786843624,0.675,0.865,4.9766825944396e-11,"Aspa","Down"
3.45778893730638e-15,-0.968779891274876,0.194,0.444,9.29107887454224e-11,"Rplp1","Down"
5.88423248725385e-15,-1.60038389870932,0.08,0.268,1.58109326932511e-10,"Actg1","Down"
6.10622035953782e-15,-1.47121016314484,0.048,0.213,1.64074141060781e-10,"Atp1a2","Down"
9.66513268011449e-15,-0.748733371450209,0.345,0.633,2.59702115114676e-10,"Calm2","Down"
1.42381721137466e-14,-0.949765052255646,0.21,0.452,3.82579684696372e-10,"Olfm1","Down"
1.57398435220167e-14,-0.704005033303909,0.513,0.769,4.22929595436588e-10,"Hsp90ab1","Down"
2.07241310939867e-14,-1.25342940843197,0.104,0.301,5.56857402495423e-10,"Rasgrp3","Down"
2.28905010414633e-14,-0.65529131675502,0.301,0.588,6.15067762984118e-10,"Itm2b","Down"
2.57067545219459e-14,-0.944348870328277,0.148,0.372,6.90740494004685e-10,"Cox4i1","Down"
2.98845813132194e-14,-1.20852031728006,0.126,0.33,8.02998699886206e-10,"Ubb","Down"
3.04543822227034e-14,-0.791282143903576,0.377,0.658,8.18309250324041e-10,"Atp1b1","Down"
5.18418229145231e-14,-1.57458608430935,0.062,0.23,1.39298978171323e-09,"Ndufa4","Down"
1.0677221473414e-13,-0.534232424175995,0.573,0.813,2.86896940990634e-09,"Cmss1","Down"
1.47639311206876e-13,-0.609656605364759,0.533,0.778,3.96706829212876e-09,"Car2","Down"
2.96682666249223e-13,0.639755565033396,0.788,0.735,7.97186324211661e-09,"Adgrl3","Up"
3.93133544137295e-13,-1.37882925347655,0.098,0.28,1.05634983309691e-08,"C1ql3","Down"
4.81130101333707e-13,-0.706355366089981,0.265,0.521,1.29279658228367e-08,"Pabpn1","Down"
6.32653961612933e-13,-0.561631333521297,0.619,0.803,1.69994119485395e-08,"Scd2","Down"
6.83203795836049e-13,0.928267601549672,0.685,0.581,1.83576859941146e-08,"Pcdh7","Up"
1.03796566612409e-12,0.46712855827543,0.91,0.867,2.78901374487542e-08,"Cdh10","Up"
1.04559045589136e-12,-0.877530818272144,0.168,0.385,2.80950155498009e-08,"Eef1a1","Down"
1.29850328353513e-12,0.305302036694175,0.958,0.979,3.48907832285888e-08,"Celf2","Up"
2.81345475033692e-12,-1.35724281429507,0.084,0.247,7.55975291415529e-08,"Eif1","Down"
3.82750415461699e-12,0.301185468856992,0.958,0.966,1.02845036634558e-07,"Nrg3","Up"
3.88707044100455e-12,1.00738522234559,0.613,0.487,1.04445582749792e-07,"Pcdh11x","Up"
3.93705470402612e-12,-0.913850911947759,0.146,0.344,1.05788659897182e-07,"Rps29","Down"
4.21725446490173e-12,-1.04102249070292,0.09,0.258,1.13317627471909e-07,"Cplx2","Down"
5.62497594934041e-12,-0.411701435028841,0.834,0.939,1.51143103758777e-07,"Gphn","Down"
6.02632118995441e-12,-0.368312523566058,0.892,0.953,1.61927250374075e-07,"St6galnac3","Down"
9.38223275238372e-12,-1.16718586780676,0.088,0.252,2.52100594056551e-07,"Grin1","Down"
9.41600967755285e-12,-0.751485831695137,0.18,0.387,2.53008180035845e-07,"A330015K06Rik","Down"
9.58380220175641e-12,-0.404870838138079,0.808,0.927,2.57516765161195e-07,"Atp8a1","Down"
1.2047525884644e-11,-1.18310608391762,0.094,0.259,3.23717020520384e-07,"Rpl17","Down"
1.35205123629011e-11,-1.04657395617801,0.13,0.311,3.63296167191153e-07,"Ppia","Down"
2.20558017939835e-11,-0.88888486857242,0.118,0.296,5.92639394204336e-07,"mt-Nd2","Down"
2.27066808825094e-11,3.29143146296875,0.102,0.015,6.10128515313027e-07,"Gm28175","Up"
2.45711572725064e-11,-0.565403403785299,0.441,0.69,6.60226995912248e-07,"Rtn1","Down"
2.70610125714758e-11,0.840456227496832,0.645,0.532,7.27129407795555e-07,"Spock1","Up"
2.86467721360911e-11,1.03505330484243,0.509,0.407,7.69738767296767e-07,"Pcdh17","Up"
3.12845625938094e-11,-0.493135790971766,0.808,0.908,8.40616196895658e-07,"Ctnna3","Down"
5.64519667089030e-11,-0.779932562655141,0.178,0.375,1.51686434546822e-06,"mt-Co1","Down"
6.33922382786441e-11,-1.12137812253399,0.102,0.262,1.70334944254717e-06,"Cox7c","Down"
7.41150382077623e-11,-1.16432923081535,0.106,0.267,1.99147107664257e-06,"Syp","Down"
8.17780857368799e-11,-0.472592881018967,0.689,0.846,2.19737716374996e-06,"Elmo1","Down"
9.0408621669638e-11,-1.19061800064942,0.082,0.231,2.42927966426317e-06,"Mt3","Down"
9.22655974907777e-11,-0.51615139475974,0.443,0.699,2.4791766045772e-06,"Map1b","Down"
9.3413949060693e-11,-0.979055673904227,0.11,0.274,2.51003281126082e-06,"Camk2n1","Down"
9.5008993230571e-11,0.369566445975767,0.89,0.914,2.55289164810544e-06,"Adgrb3","Up"
9.87653682650786e-11,-1.15183520100919,0.068,0.212,2.65382544528266e-06,"Pgrmc1","Down"
1.14518565965739e-10,-0.780101789800533,0.224,0.428,3.0771138674994e-06,"Ptma","Down"
1.17026710319035e-10,-0.99421950884814,0.17,0.367,3.14450770627246e-06,"Chgb","Down"
1.28497806912922e-10,0.302005624855938,0.898,0.911,3.45273607175023e-06,"Cntnap2","Up"
1.45901226800917e-10,-0.649617687721572,0.319,0.554,3.92036596414064e-06,"Hspa8","Down"
1.69924230546669e-10,-1.11280435885349,0.1,0.258,4.56586407478899e-06,"Itm2c","Down"
1.83216532858507e-10,1.27550952412587,0.375,0.249,4.92302823790808e-06,"Gm28307","Up"
2.06916071786026e-10,-1.27298747898006,0.052,0.181,5.55983484889053e-06,"Rpl9","Down"
2.2773579607915e-10,-1.33622255659722,0.05,0.176,6.11926084064677e-06,"Rps28","Down"
2.53194818977007e-10,-0.786415120283621,0.126,0.298,6.80334478591217e-06,"Rpl38","Down"
2.6319571040715e-10,-0.627629905464843,0.311,0.524,7.07206873864013e-06,"Trim59","Down"
2.66650549049589e-10,-1.58786726001845,0.042,0.161,7.16490025296245e-06,"Tubb2a","Down"
3.21590336513398e-10,-1.05326526405541,0.102,0.259,8.641132342115e-06,"Uchl1","Down"
3.42007714467069e-10,-0.714285989434664,0.156,0.338,9.18974728773014e-06,"Gm56971","Down"
4.24761174907174e-10,-2.07558428826828,0.04,0.153,1.14133327697558e-05,"Chst1","Down"
4.52962883151803e-10,0.724154887985065,0.627,0.542,1.21711126702889e-05,"Cntn3","Up"
4.54814310199468e-10,-1.2118848595381,0.072,0.209,1.22208605150597e-05,"Pcp4","Down"
4.80494989771212e-10,-0.660368482077628,0.246,0.459,1.29109003751525e-05,"Prnp","Down"
5.84375529015179e-10,-0.679464741907383,0.244,0.452,1.57021704646378e-05,"Plppr4","Down"
6.02816812923995e-10,-1.17134948192574,0.078,0.218,1.61976877632677e-05,"Rps23","Down"
6.30571985035319e-10,-0.711913125176221,0.363,0.59,1.6943469237899e-05,"Ptgds","Down"
6.69639208898875e-10,0.784668715889148,0.637,0.553,1.79932055431128e-05,"Fam13c","Up"
6.6999826943482e-10,0.283396270065907,0.95,0.951,1.80028534997136e-05,"Rbfox1","Up"
8.16255692857566e-10,-0.621965617232026,0.232,0.434,2.19327904670828e-05,"Olfml1","Down"
