"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","peak","direction"
1.91200848796016e-45,-13.5115207558902,0,0.549,5.76040357210196e-40,"chr7-49991793-49993084","Less_Accessible"
4.22481288999431e-38,-13.5240098377146,0,0.472,1.27283050343304e-32,"JH584304.1-94187-98323","Less_Accessible"
5.33999437373199e-28,5.66318359507967,0.485,0.015,1.60880680494611e-22,"chr7-49133825-49135351","More_Accessible"
2.11648288598363e-27,4.2482362147329,0.502,0.036,6.3764338147472e-22,"JH584304.1-101721-103772","More_Accessible"
2.95321603834188e-24,-13.2995263750982,0,0.313,8.8973016195145e-19,"chr6-86153701-86154139","Less_Accessible"
5.26841135785379e-23,-13.165922348446,0,0.297,1.5872406318374e-17,"chr7-45303664-45304457","Less_Accessible"
2.42713391729595e-22,-6.85969543367383,0.003,0.297,7.31234770933338e-17,"chr18-55310898-55311102","Less_Accessible"
9.08688757881942e-22,-13.2834226878569,0,0.282,2.73765205530882e-16,"chr1-72275209-72276638","Less_Accessible"
9.08688757881942e-22,-12.9881542983668,0,0.282,2.73765205530882e-16,"JH584304.1-58795-61029","Less_Accessible"
1.01820754317839e-21,-6.13821944419174,0.003,0.292,3.0676047757107e-16,"chr10-75086663-75087095","Less_Accessible"
4.24302788357543e-20,-6.21511038428726,0.003,0.272,1.27831822562419e-14,"chr5-92534544-92534768","Less_Accessible"
7.07365575444317e-20,-6.8118704274329,0.003,0.267,2.13111563741987e-14,"chr16-49612145-49613165","Less_Accessible"
2.448752228715e-19,-13.1275066481661,0,0.251,7.37747827706113e-14,"chr2-104682040-104682266","Less_Accessible"
2.448752228715e-19,-12.9481210317718,0,0.251,7.37747827706113e-14,"chr4-138973319-138974106","Less_Accessible"
2.448752228715e-19,-13.3461198382062,0,0.251,7.37747827706113e-14,"chr7-127779207-127779949","Less_Accessible"
5.345352192902e-19,-6.54195271928201,0.003,0.256,1.61042098191655e-13,"chr14-122140677-122142396","Less_Accessible"
1.26354615354739e-18,-6.50341406370207,0.003,0.251,3.8067486740999e-13,"chr19-17302706-17302918","Less_Accessible"
1.53702232973787e-18,-13.1107627704518,0,0.241,4.63066402391776e-13,"chr4-76004471-76004729","Less_Accessible"
1.53702232973787e-18,-13.1174354549242,0,0.241,4.63066402391776e-13,"chr10-21341099-21342337","Less_Accessible"
