"seqnames","start","end","width","strand","score","gene","peak","zscore","pvalue","celltype","genotype"
"chr1",38641013,38664955,23943,"*",0.143655515875392,"Aff3","chr1-38640570-38641456",2.07722420714492,0.018890435322092,"CA3","Nestin"
"chr1",40225080,40385821,160742,"*",0.1313791915187,"Il1r1","chr1-40385743-40385899",1.77953002525712,0.0375764534252622,"CA3","Nestin"
"chr1",42695768,42724738,28971,"*",0.114381281988142,"Pou3f3","chr1-42723114-42726362",2.06138522891083,0.0196331514599286,"CA3","Nestin"
"chr1",78488897,78544371,55475,"*",-0.1179694369443,"Farsb","chr1-78543661-78545080",-1.65293316320363,0.0491722334392853,"CA3","Nestin"
"chr1",105826605,105990406,163802,"*",0.147143494579609,"Zcchc2","chr1-105825925-105827284",1.8730572880398,0.0305302372803138,"CA3","Nestin"
"chr1",106759727,106811525,51799,"*",0.189641748753284,"Kdsr","chr1-106811193-106811856",1.90575690842878,0.0283408760435466,"CA3","Nestin"
"chr1",119426518,119504794,78277,"*",0.196496296700152,"Ralb","chr1-119426203-119426833",2.25459974236858,0.0120792318228244,"CA3","Nestin"
"chr1",120064053,120121187,57135,"*",0.165264209714642,"3110009E18Rik","chr1-120063557-120064548",1.89962341916544,0.0287412783157386,"CA3","Nestin"
"chr1",120121187,120270209,149023,"*",0.175831224556674,"3110009E18Rik","chr1-120270029-120270389",1.72105381933368,0.0426205291034857,"CA3","Nestin"
"chr1",121318328,121332589,14262,"*",0.232507596560412,"Insig2","chr1-121317435-121319220",3.05514988192742,0.00112474037383082,"CA3","Nestin"
"chr1",121332589,121406400,73812,"*",0.134256067516442,"Insig2","chr1-121405773-121407026",1.6903921423397,0.0454764786695912,"CA3","Nestin"
"chr1",121396530,121567989,171460,"*",-0.139642264689733,"Ddx18","chr1-121395954-121397106",-2.0648588344088,0.0194681795482556,"CA3","Nestin"
"chr1",121567989,121726330,158342,"*",-0.122724925100476,"Ddx18","chr1-121725946-121726713",-1.95764018297889,0.025136124380598,"CA3","Nestin"
"chr1",137850086,137898595,48510,"*",0.162900803492826,"Gm4258","chr1-137849398-137850773",1.99893883623131,0.0228074860354726,"CA3","Nestin"
"chr1",155942095,156036480,94386,"*",-0.198398618021205,"Tor1aip1","chr1-155941900-155942290",-2.58267368097533,0.00490190011931758,"CA3","Nestin"
"chr1",156409103,156474331,65229,"*",-0.132870847578806,"Soat1","chr1-156408155-156410051",-1.73420373888324,0.0414409699052105,"CA3","Nestin"
"chr1",160690780,160793211,102432,"*",-0.181945892497074,"Rabgap1l","chr1-160690680-160690879",-2.43059418968334,0.00753704371730378,"CA3","Nestin"
"chr1",172206804,172390317,183514,"*",-0.140514284096325,"Pea15a","chr1-172389403-172391230",-1.72167994861981,0.042563755788918,"CA3","Nestin"
