"seqnames","start","end","width","strand","score","gene","peak","zscore","pvalue","celltype","genotype"
"chr1",38664955,38769679,104725,"*",-0.229468041475669,"Aff3","chr1-38768862-38770495",-3.16742729681516,0.000768970798909506,"Immature GC","Nestin"
"chr1",39367842,39435369,67528,"*",0.194910771138775,"Rpl31","chr1-39435068-39435670",2.28076802010825,0.011281088852458,"Immature GC","Nestin"
"chr1",39443296,39478755,35460,"*",0.192680117524171,"Tbc1d8","chr1-39443157-39443435",2.18875283949396,0.014307404586205,"Immature GC","Nestin"
"chr1",39900913,39963132,62220,"*",0.155170697267681,"Map4k4","chr1-39960714-39965549",1.66128921295436,0.0483276877151637,"Immature GC","Nestin"
"chr1",39900913,40051075,150163,"*",-0.0896618999990078,"Map4k4","chr1-40051017-40051132",-1.65133001609123,0.049335603212493,"Immature GC","Nestin"
"chr1",40146052,40225080,79029,"*",0.164813198412958,"Il1r1","chr1-40145674-40146430",1.83167905721845,0.0334996253154399,"Immature GC","Nestin"
"chr1",51478425,51549003,70579,"*",-0.159306855152621,"Nabp1","chr1-51548242-51549764",-1.85179057321009,0.0320279509173744,"Immature GC","Nestin"
"chr1",51848372,51916071,67700,"*",0.155589143571595,"Myo1b","chr1-51847558-51849186",2.26200571412324,0.0118485251294814,"Immature GC","Nestin"
"chr1",66175273,66369020,193748,"*",0.127393241364084,"Map2","chr1-66368063-66369977",1.76737525601036,0.0385827020274977,"Immature GC","Nestin"
"chr1",66863277,67004045,140769,"*",0.167912243181349,"Acadl","chr1-67003866-67004224",1.9086397764601,0.0281542884977876,"Immature GC","Nestin"
"chr1",66901890,67038872,136983,"*",0.192277081815783,"Lancl1","chr1-66901129-66902650",2.28167492133087,0.0112542698830677,"Immature GC","Nestin"
"chr1",67004045,67038872,34828,"*",0.187854191499879,"Lancl1","chr1-67003866-67004224",2.36282152626053,0.00906820072237135,"Immature GC","Nestin"
"chr1",83310868,83408200,97333,"*",0.134370969111209,"Sphkap","chr1-83310413-83311322",1.7502998512617,0.0400332932877149,"Immature GC","Nestin"
"chr1",86058158,86064387,6230,"*",0.155877705970186,"Psmd1","chr1-86058121-86058194",1.75517247268915,0.0396149054507669,"Immature GC","Nestin"
"chr1",86058158,86154780,96623,"*",0.172156321935436,"Armc9","chr1-86058121-86058194",2.76787754571846,0.00282113255856515,"Immature GC","Nestin"
"chr1",86154780,86196891,42112,"*",-0.167258555575271,"Armc9","chr1-86196453-86197329",-1.99825988329769,0.0228442461580435,"Immature GC","Nestin"
"chr1",86161697,86359574,197878,"*",-0.112672661325988,"C130036L24Rik","chr1-86161590-86161803",-1.7234295608883,0.0424054365082665,"Immature GC","Nestin"
"chr1",87853287,87862561,9275,"*",-0.135047161702918,"Dgkd","chr1-87860542-87864579",-2.53193170901328,0.00567180408575389,"Immature GC","Nestin"
"chr1",90896015,90998737,102723,"*",0.181007158890235,"Lrrfip1","chr1-90895393-90896637",1.66590265912544,0.0478664019581375,"Immature GC","Nestin"
"chr1",121143973,121332589,188617,"*",0.213602006406873,"Insig2","chr1-121143374-121144572",2.23125421196106,0.012832147403372,"Immature GC","Nestin"
"chr1",125435727,125465624,29898,"*",0.146140664479786,"Actr3","chr1-125465450-125465797",2.00318498620469,0.0225787182846932,"Immature GC","Nestin"
"chr1",132837406,132880273,42868,"*",-0.146878901393159,"Lrrn2","chr1-132836451-132838361",-1.769122385068,0.0384367265021744,"Immature GC","Nestin"
"chr1",135167681,135223968,56288,"*",0.190483171747258,"Gpr37l1","chr1-135223763-135224173",1.75506205137467,0.0396243472480028,"Immature GC","Nestin"
"chr1",155812889,155942095,129207,"*",0.12708208945755,"Qsox1","chr1-155941900-155942290",2.26602137614535,0.0117250372421969,"Immature GC","Nestin"
"chr1",155812889,156011131,198243,"*",0.214385781652413,"Qsox1","chr1-156010722-156011540",3.3672337272583,0.000379631544076359,"Immature GC","Nestin"
"chr1",158362273,158485842,123570,"*",0.116891197969135,"Astn1","chr1-158485570-158486113",1.83796797818319,0.0330335620053571,"Immature GC","Nestin"
"chr1",162478034,162521399,43366,"*",-0.14572657633989,"Dnm3","chr1-162520985-162521812",-2.22033638323211,0.0131979709657706,"Immature GC","Nestin"
"chr1",162659750,162740556,80807,"*",-0.130026929189255,"Prrc2c","chr1-162659409-162660090",-1.96481727849188,0.0247176948189065,"Immature GC","Nestin"
"chr1",164219491,164275585,56095,"*",0.134855811945193,"Ccdc181","chr1-164218988-164219993",1.81499765919182,0.0347621346074547,"Immature GC","Nestin"
"chr1",174501825,174582692,80868,"*",0.128607215266969,"Fmn2","chr1-174582374-174583010",1.83315937395131,0.0333894367704565,"Immature GC","Nestin"
"chr1",174501825,174608906,107082,"*",-0.159192197243176,"Fmn2","chr1-174608621-174609191",-2.07061056129314,0.0191976021986377,"Immature GC","Nestin"
"chr1",179518041,179588054,70014,"*",-0.139361584546111,"Smyd3","chr1-179587666-179588441",-1.78088187022284,0.0374658754861701,"Immature GC","Nestin"
"chr1",180641150,180780899,139750,"*",0.22038011570099,"Lin9","chr1-180780477-180781321",2.51189834189038,0.00600418376129539,"Immature GC","Nestin"
"chr1",180780899,180942344,161446,"*",0.186473868165005,"Tmem63a","chr1-180780477-180781321",2.2691077277245,0.0116308877778559,"Immature GC","Nestin"
"chr1",182115716,182282804,167089,"*",0.240208426902635,"Degs1","chr1-182115217-182116214",2.02925478202486,0.021216173186995,"Immature GC","Nestin"
"chr1",182282804,182443205,160402,"*",0.350119522616885,"Degs1","chr1-182443153-182443256",3.00007584938342,0.00134956191690355,"Immature GC","Nestin"
"chr1",182287990,182292678,4689,"*",0.262199383718906,"1700047M11Rik","chr1-182291530-182293825",2.73905713720061,0.00308078320819407,"Immature GC","Nestin"
"chr1",182341629,182443205,101577,"*",0.146618181781936,"Fbxo28","chr1-182443153-182443256",1.82000178874894,0.0343793662449113,"Immature GC","Nestin"
"chr1",182763860,182839592,75733,"*",-0.187152825760456,"Susd4","chr1-182838867-182840317",-2.66933706808693,0.00380005684326126,"Immature GC","Nestin"
"chr1",189728268,189808775,80508,"*",0.23461530105922,"Ptpn14","chr1-189808345-189809204",2.23282904799971,0.0127801099663279,"Immature GC","Nestin"
"chr1",191906767,192072475,165709,"*",0.153317719169381,"Slc30a1","chr1-192072020-192072930",2.10399446655309,0.0176894648493986,"Immature GC","Nestin"
"chr1",192579680,192771223,191544,"*",0.186343819247019,"Hhat","chr1-192579501-192579859",2.39328720731922,0.00834908210997556,"Immature GC","Nestin"
"chr2",4482001,4652113,170113,"*",0.246979861224587,"Prpf18","chr2-4481602-4482399",3.1042728962348,0.000953736518426605,"Immature GC","Nestin"
"chr2",6322667,6422083,99417,"*",-0.139952022664773,"Usp6nl","chr2-6422033-6422132",-1.92618964597275,0.0270403490981216,"Immature GC","Nestin"
"chr2",17731464,17850154,118691,"*",-0.109245898497897,"Nebl","chr2-17849864-17850444",-1.64683590740535,0.0497958893082981,"Immature GC","Nestin"
"chr2",25256022,25308520,52499,"*",0.178608145523038,"Ndor1","chr2-25308311-25308728",2.11760900189954,0.0171040975868684,"Immature GC","Nestin"
"chr2",25293628,25319187,25560,"*",0.196975650903779,"Grin1","chr2-25292382-25294873",2.37303090653682,0.00882139378437268,"Immature GC","Nestin"
"chr2",25293628,25332338,38711,"*",0.190492880575252,"Man1b1","chr2-25292382-25294873",1.96542697950261,0.0246824197055639,"Immature GC","Nestin"
"chr2",25308520,25428703,120184,"*",-0.119634718690926,"Abca2","chr2-25308311-25308728",-1.88519020122697,0.0297020816428852,"Immature GC","Nestin"
"chr2",25930002,26021747,91746,"*",0.387332655205105,"Ubac1","chr2-25929246-25930758",3.81256497544967,6.87660288980325e-05,"Immature GC","Nestin"
"chr2",28192992,28336802,143811,"*",-0.168414350765767,"Olfm1","chr2-28336013-28337591",-2.34202935935944,0.00958960307031118,"Immature GC","Nestin"
"chr2",28512336,28583751,71416,"*",0.175701244822727,"Gtf3c5","chr2-28511886-28512786",2.18027978421232,0.0146183643206997,"Immature GC","Nestin"
"chr2",58475865,58567298,91434,"*",0.142585587670918,"Upp2","chr2-58474924-58476805",1.94105164080542,0.0261260069637307,"Immature GC","Nestin"
"chr2",62664285,62768371,104087,"*",-0.130709072002252,"Gca","chr2-62768221-62768520",-1.89593956534544,0.0289840181814776,"Immature GC","Nestin"
"chr2",65774842,65845767,70926,"*",0.197424809527439,"Csrnp3","chr2-65774014-65775670",2.14316929690266,0.0160497533521882,"Immature GC","Nestin"
"chr2",67565871,67677847,111977,"*",-0.264092716618234,"B3galt1","chr2-67677207-67678487",-2.72136792770423,0.00325061788499489,"Immature GC","Nestin"
"chr2",71673358,71745616,72259,"*",0.194578377878426,"Itga6","chr2-71672871-71673844",2.72241132040983,0.00324037121172052,"Immature GC","Nestin"
"chr2",90746507,90940382,193876,"*",-0.128896267259732,"Celf1","chr2-90744131-90748882",-1.67590626408184,0.0468782772810104,"Immature GC","Nestin"
"chr2",90971628,91082390,110763,"*",0.257330121220809,"Spi1","chr2-90971357-90971899",3.48373516491317,0.00024723425426528,"Immature GC","Nestin"
"chr2",91082390,91155116,72727,"*",0.223797443626822,"Spi1","chr2-91154588-91155643",2.36089162735898,0.00911552871025396,"Immature GC","Nestin"
"chr2",91202885,91328730,125846,"*",-0.105851222413321,"Acp2","chr2-91328527-91328933",-1.70038317634181,0.0445294371128274,"Immature GC","Nestin"
"chr2",91236982,91328730,91749,"*",0.126399308850981,"Ddb2","chr2-91328527-91328933",2.13019879351547,0.0165776023177995,"Immature GC","Nestin"
"chr2",91710576,91853754,143179,"*",-0.14687965032026,"Atg13","chr2-91852486-91855021",-1.71784129509872,0.0429127834960032,"Immature GC","Nestin"
"chr2",91730134,91789598,59465,"*",-0.24375833820609,"Ambra1","chr2-91789423-91789773",-2.09021126039215,0.018299413233801,"Immature GC","Nestin"
"chr2",91730134,91891798,161665,"*",-0.228943044712181,"Ambra1","chr2-91891678-91891918",-2.06177681145062,0.0196144948657474,"Immature GC","Nestin"
"chr2",92434043,92529885,95843,"*",0.0965604951217854,"Cry2","chr2-92529794-92529975",1.6652409409334,0.047932347980351,"Immature GC","Nestin"
"chr2",92434043,92559879,125837,"*",-0.131317716439758,"Cry2","chr2-92558818-92560939",-1.65957866742806,0.0484996214028867,"Immature GC","Nestin"
"chr2",92559879,92599707,39829,"*",-0.120155099794453,"Chst1","chr2-92558818-92560939",-1.76024664571277,0.0391829980993964,"Immature GC","Nestin"
"chr2",94141074,94157964,16891,"*",0.192487539644263,"Hsd17b12","chr2-94139764-94142383",2.17071752876927,0.0149762656704774,"Immature GC","Nestin"
"chr2",94157964,94171845,13882,"*",0.233422585157546,"Hsd17b12","chr2-94171278-94172412",2.39480509301424,0.00831460115672652,"Immature GC","Nestin"
"chr2",102409889,102452499,42611,"*",-0.112336378610575,"Fjx1","chr2-102409512-102410265",-1.66430318932852,0.0480259276932692,"Immature GC","Nestin"
"chr2",102452499,102546391,93893,"*",0.192705728129405,"Fjx1","chr2-102546176-102546606",2.2132117962836,0.0134415236042995,"Immature GC","Nestin"
"chr2",117121374,117252702,131329,"*",-0.150943848809768,"Spred1","chr2-117252022-117253382",-2.07417434873434,0.0190315608056078,"Immature GC","Nestin"
"chr2",118479711,118662080,182370,"*",0.122581186088601,"Srp14","chr2-118661969-118662191",1.7414143642034,0.0408054860731024,"Immature GC","Nestin"
"chr2",119578096,119742337,164242,"*",-0.24244363277778,"Itpka","chr2-119577802-119578389",-2.42658652471436,0.00762080770984278,"Immature GC","Nestin"
"chr2",119787537,119895646,108110,"*",0.142628456209025,"Rpap1","chr2-119895235-119896056",1.83800242045779,0.0330310243225265,"Immature GC","Nestin"
"chr2",119787537,119959572,172036,"*",0.126957809317818,"Rpap1","chr2-119959123-119960020",1.66043335835976,0.0484136519994467,"Immature GC","Nestin"
"chr2",119897228,119900013,2786,"*",-0.103659277818126,"Mga","chr2-119899022-119901003",-1.85967416378541,0.0314658197485002,"Immature GC","Nestin"
"chr2",120291068,120403896,112829,"*",0.188075646786909,"Ganc","chr2-120290286-120291850",1.71387382085871,0.0432759509820426,"Immature GC","Nestin"
"chr2",121474067,121578741,104675,"*",0.167335104020905,"Mfap1b","chr2-121578691-121578790",2.00822092893153,0.0223099099792569,"Immature GC","Nestin"
"chr2",121506665,121629800,123136,"*",0.145474438763021,"Mfap1a","chr2-121629379-121630220",1.94679114273353,0.0257798896392406,"Immature GC","Nestin"
"chr2",121807087,121978241,171155,"*",-0.174940920965651,"Frmd5","chr2-121977252-121979229",-1.88514579649186,0.0297050782431029,"Immature GC","Nestin"
"chr2",121956001,121978241,22241,"*",0.124683440578075,"Ctdspl2","chr2-121977252-121979229",1.81159065711315,0.0350247348142053,"Immature GC","Nestin"
"chr2",122028546,122073603,45058,"*",0.133905766854551,"Eif3j1","chr2-122072581-122074624",1.95428599904434,0.0253337018516629,"Immature GC","Nestin"
"chr2",128967402,129054013,86612,"*",0.12766905519784,"Zc3h6","chr2-129053127-129054899",2.17945155272305,0.0146490699836799,"Immature GC","Nestin"
"chr2",130424339,130443385,19047,"*",0.231969323535532,"Vps16","chr2-130443328-130443442",2.11109136141721,0.017382229904827,"Immature GC","Nestin"
"chr2",130424339,130625100,200762,"*",0.208412814790517,"Vps16","chr2-130623977-130626223",1.89716722229928,0.0289029356974232,"Immature GC","Nestin"
"chr2",130443385,130630038,186654,"*",-0.146073769294869,"Ubox5","chr2-130443328-130443442",-1.88506514447606,0.0297105215891214,"Immature GC","Nestin"
"chr2",130546967,130563749,16783,"*",0.152854990947363,"4930473A02Rik","chr2-130546077-130547857",2.02528783626788,0.0214189084028639,"Immature GC","Nestin"
