"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","peak","direction"
1.63760061517127e-297,-11.3214514443079,0.001,0.627,4.93368125335723e-292,"chr7-49991793-49993084","Less_Accessible"
1.55026561795784e-244,-9.07581539987195,0.001,0.537,4.67056274050249e-239,"JH584304.1-94187-98323","Less_Accessible"
5.80006618134286e-191,5.27067903553778,0.551,0.022,1.74741493878407e-185,"chr7-49133825-49135351","More_Accessible"
1.22806012672482e-189,4.59784842377559,0.559,0.029,3.69983814679021e-184,"JH584304.1-101721-103772","More_Accessible"
4.11287495840101e-150,-7.46223522770512,0.002,0.36,1.23910640309227e-144,"chr18-55310898-55311102","Less_Accessible"
1.25955467200002e-129,-8.28756553776688,0.001,0.314,3.79472333806805e-124,"chr6-86153701-86154139","Less_Accessible"
4.80630213409332e-127,-6.94257702167655,0.003,0.314,1.44801867544897e-121,"JH584304.1-58795-61029","Less_Accessible"
1.88744859089067e-126,-6.19051112401841,0.005,0.317,5.68641074220585e-121,"chr7-45303664-45304457","Less_Accessible"
3.51636266405596e-124,-6.02326179360674,0.005,0.314,1.05939216161346e-118,"chr4-138973319-138974106","Less_Accessible"
1.25365827832103e-123,-7.26071816976635,0.002,0.305,3.77695897801169e-118,"chr10-75086663-75087095","Less_Accessible"
5.24188380744769e-119,6.34429685894572,0.367,0.006,1.5792485440888e-113,"chr18-54036060-54038055","More_Accessible"
8.98456899479505e-115,-13.2304793733674,0,0.279,2.70682602390688e-109,"chr4-76004471-76004729","Less_Accessible"
9.51071297533567e-115,-7.93925526353033,0.001,0.283,2.86534005164426e-109,"chr2-104682040-104682266","Less_Accessible"
2.25085503798154e-114,-5.0526278693429,0.011,0.305,6.78126351567888e-109,"chr15-84250102-84252896","Less_Accessible"
3.09651036404507e-112,-6.88689721002781,0.003,0.281,9.32901159927679e-107,"chr8-48043282-48043721","Less_Accessible"
8.30027309280928e-112,-13.1038918466787,0,0.273,2.50066477603612e-106,"chr2-179509934-179510117","Less_Accessible"
4.9325114482909e-110,-5.57241339065941,0.007,0.286,1.48604238658384e-104,"chr5-92534544-92534768","Less_Accessible"
5.87119189840193e-109,-6.38113962058265,0.004,0.276,1.76884333919104e-103,"chr12-12857956-12858453","Less_Accessible"
6.50673763608479e-109,-5.7800893703466,0.005,0.281,1.96031738131144e-103,"chr16-17686900-17687804","Less_Accessible"
1.24753298917085e-108,-5.03250976234009,0.01,0.291,3.75850501312448e-103,"chr12-103302079-103304822","Less_Accessible"
4.00967213805347e-108,-13.2343775590107,0,0.265,1.20801397339206e-102,"chr4-105648080-105648261","Less_Accessible"
1.08569833573672e-107,-6.78336138820259,0.003,0.271,3.27093766099082e-102,"chr18-56495571-56496259","Less_Accessible"
6.13212762591036e-106,-8.91085898830363,0.001,0.261,1.84745675049614e-100,"chr13-55823249-55823858","Less_Accessible"
6.53732996025779e-106,-5.70771133864402,0.005,0.274,1.96953408377667e-100,"chr1-72275209-72276638","Less_Accessible"
6.68467993924328e-106,-7.18408929718773,0.002,0.265,2.01392694869552e-100,"chr16-49612145-49613165","Less_Accessible"
5.3945292678811e-105,-6.01639704942627,0.004,0.269,1.62523680518088e-99,"chr16-34293607-34294553","Less_Accessible"
7.58654538691125e-105,-8.88669214310717,0.001,0.259,2.28563646144169e-99,"chr7-139245833-139247446","Less_Accessible"
3.02842175767477e-104,-6.04530113698079,0.004,0.266,9.12387765043468e-99,"chr12-87027897-87028232","Less_Accessible"
4.2291246483612e-104,-13.0784305378086,0,0.256,1.27412952843502e-98,"chr12-4436158-4436263","Less_Accessible"
1.94708642012876e-102,-6.65211778702567,0.003,0.26,5.86608461224291e-97,"chrX-95544008-95545428","Less_Accessible"
2.33930387666458e-102,-9.08777226590094,0.001,0.253,7.0477377544212e-97,"chr2-171972994-171973534","Less_Accessible"
6.42467906213026e-102,-13.2281958240969,0,0.251,1.9355951844433e-96,"chr17-87671689-87671782","Less_Accessible"
1.06174002477059e-100,-5.18728184020045,0.009,0.269,3.19875725962758e-95,"chr4-149701334-149701750","Less_Accessible"
4.100344623068e-100,-5.35233615871355,0.007,0.265,1.23533132631481e-94,"chr2-130546077-130547857","Less_Accessible"
